time,ir_center,ir_bulk,ir_p95,ir_p99,ir_p25,ir_std,ir_grad,ir_area
1.0,377.0672607421875,373.29998779296875,377.5,378.97998046875,251.6199951171875,70.85498046875,-0.88726806640625,108242
2.0,377.0552673339844,373.3199768066406,377.5,379.0199890136719,253.53997802734375,69.32183074951172,-0.895263671875,108242
3.0,377.18658447265625,373.4599914550781,377.7599792480469,379.29998779296875,254.72500610351562,68.23859405517578,-0.806610107421875,108242
4.0,377.105712890625,373.3999938964844,377.6999816894531,379.1999816894531,256.2049865722656,67.04937744140625,-0.7457275390625,108242
5.0,377.150390625,373.41998291015625,377.8199768066406,379.47998046875,257.17999267578125,66.41911315917969,-0.690399169921875,108242
6.0,377.4764709472656,373.5199890136719,378.0,379.6999816894531,258.0199890136719,65.98689270019531,-0.916473388671875,108242
7.0,377.66912841796875,373.7799987792969,378.17999267578125,379.7200012207031,258.4649963378906,65.67835998535156,-0.849151611328125,108242
8.0,377.42431640625,373.739990234375,378.0199890136719,379.53997802734375,259.3999938964844,65.18482208251953,-0.704315185546875,108242
9.0,377.5243835449219,373.7599792480469,378.0,379.53997802734375,260.2200012207031,64.71910095214844,-0.844390869140625,108242
10.0,377.2179260253906,373.5199890136719,377.7599792480469,379.29998779296875,260.29998779296875,64.5089111328125,-0.797943115234375,108242
11.0,377.1667785644531,373.4599914550781,377.67999267578125,379.3199768066406,261.2850036621094,63.838748931884766,-0.746795654296875,108242
12.0,377.13348388671875,373.41998291015625,377.6600036621094,379.2799987792969,262.2250061035156,63.363468170166016,-0.753509521484375,108242
13.0,377.1753845214844,373.3799743652344,377.6999816894531,379.239990234375,262.7649841308594,62.977317810058594,-0.815399169921875,108242
14.0,377.27630615234375,373.45001220703125,377.79998779296875,379.3599853515625,262.8800048828125,62.96710205078125,-0.8563232421875,108242
15.0,377.2344665527344,373.3799743652344,377.7200012207031,379.3599853515625,263.1449890136719,62.99142837524414,-0.83447265625,108242
16.0,377.1343688964844,373.3799743652344,377.6999816894531,379.3199768066406,263.9599914550781,62.68765640258789,-0.75439453125,108242
17.0,377.2458190917969,373.3199768066406,377.6999816894531,379.3799743652344,264.0,62.56871032714844,-0.885833740234375,108242
18.0,377.3135070800781,373.3199768066406,377.6600036621094,379.3599853515625,263.7200012207031,62.537818908691406,-0.953521728515625,108242
19.0,377.19329833984375,373.3199768066406,377.6199951171875,379.239990234375,264.1399841308594,62.145713806152344,-0.893310546875,108242
20.0,377.25189208984375,373.3799743652344,377.67999267578125,379.239990234375,264.7599792480469,61.89291000366211,-0.89190673828125,108242
21.0,377.5041198730469,373.239990234375,377.5799865722656,379.3199768066406,264.94000244140625,61.8438835144043,-1.204132080078125,108242
22.0,377.21966552734375,373.2599792480469,377.5999755859375,379.239990234375,265.1399841308594,61.61507034301758,-0.899688720703125,108242
23.0,377.15948486328125,373.239990234375,377.5199890136719,379.1999816894531,265.3800048828125,61.369903564453125,-0.91949462890625,108242
24.0,377.0251770019531,373.1600036621094,377.44000244140625,379.0999755859375,265.67999267578125,61.13981246948242,-0.86517333984375,108242
25.0,376.82537841796875,373.0199890136719,377.2799987792969,378.8799743652344,266.1399841308594,60.8176155090332,-0.82537841796875,108242
26.0,376.84649658203125,373.0799865722656,377.29998779296875,378.8199768066406,266.0199890136719,60.82380676269531,-0.8065185546875,108242
27.0,376.6618957519531,373.0999755859375,377.2200012207031,378.739990234375,266.47998046875,60.6451530456543,-0.681915283203125,108242
28.0,376.7876281738281,373.0999755859375,377.3399963378906,378.8799743652344,266.7799987792969,60.4873046875,-0.76763916015625,108242
29.0,376.95758056640625,373.0799865722656,377.3399963378906,378.8999938964844,267.05999755859375,60.41826629638672,-0.8975830078125,108242
