time,value
532,255.80
533,255.66
534,255.83
535,255.79
536,255.64
537,255.51
538,255.62
539,255.60
540,255.56
541,255.42
542,255.33
543,255.18
544,255.18
545,255.14
546,255.00
547,255.00
548,254.87
549,254.69
550,254.79
551,254.71
552,254.71
553,254.71
554,254.58
555,254.56
556,254.50
557,254.36
558,254.15
559,254.11
560,254.02
561,253.90
562,253.94
563,253.93
564,253.95
565,253.77
566,253.71
567,253.70
568,253.54
569,253.49
570,253.44
571,253.42
572,253.26
573,253.19
574,253.13
575,253.25
576,253.31
577,253.22
578,253.25
579,253.18
580,253.12
581,253.12
582,252.94
583,252.88
584,252.81
585,252.74
586,252.72
587,252.75
588,252.65
