time,value
0,215.44
1,215.78
2,216.38
3,216.86
4,217.50
5,217.98
6,218.48
7,218.87
8,219.18
9,219.67
10,220.16
11,220.53
12,220.88
13,221.28
14,221.58
15,222.12
16,222.49
17,222.78
18,223.14
19,223.42
20,223.70
21,224.29
22,224.66
23,224.94
24,225.55
25,225.92
26,226.28
27,226.53
28,226.84
29,227.06
30,227.44
31,227.89
32,228.14
33,228.66
34,228.97
35,229.41
36,229.54
37,229.52
38,230.13
39,230.08
40,230.45
41,230.55
42,230.81
43,231.30
44,231.69
45,231.95
46,232.09
47,232.39
48,232.63
49,233.10
50,233.41
51,233.64
52,233.83
53,233.94
54,234.01
55,234.20
56,234.48
57,234.65
58,235.06
59,235.27
60,235.62
61,235.83
62,236.01
63,236.35
64,236.64
65,236.83
66,236.95
67,237.30
68,237.36
69,237.59
70,237.76
71,238.11
72,238.26
73,238.54
74,238.77
75,238.98
76,239.17
77,239.41
78,239.43
79,240.04
80,240.16
81,240.34
82,240.84
83,241.19
84,240.93
85,241.12
86,241.37
87,241.60
88,241.81
89,242.11
90,242.25
91,242.48
92,242.29
93,242.51
94,242.57
95,242.83
96,242.88
97,243.17
98,243.31
99,243.53
100,243.62
101,243.74
102,243.85
103,244.19
104,244.44
105,244.53
106,244.62
107,244.79
108,244.81
109,245.24
110,245.33
111,245.30
112,245.50
113,245.59
114,245.81
115,245.94
116,246.07
117,246.26
118,246.41
119,246.62
120,246.74
121,246.93
122,247.32
123,247.34
124,247.45
125,247.37
126,247.57
127,247.77
128,247.91
129,248.01
130,248.15
131,248.20
132,248.31
133,248.55
134,248.77
135,248.62
136,248.88
137,248.97
138,249.04
139,249.28
140,249.42
141,249.53
142,249.59
143,249.75
144,249.98
145,250.20
146,250.12
147,250.10
148,250.17
149,250.42
150,251.16
151,251.21
152,250.55
153,250.60
154,250.54
155,250.78
156,250.70
157,250.85
158,250.84
159,250.79
160,250.99
161,251.26
162,251.27
163,251.29
164,251.15
165,251.32
166,251.55
167,251.66
168,251.79
169,252.40
170,252.06
171,251.73
172,251.84
173,252.01
174,252.05
175,252.05
176,252.13
177,252.19
178,252.41
179,252.51
180,252.53
181,252.52
182,252.56
183,252.66
184,252.74
185,252.86
186,252.89
187,252.92
188,253.02
189,253.51
190,253.44
191,253.68
192,253.64
193,253.61
194,253.78
195,253.86
196,254.01
197,254.00
198,254.12
199,254.14
200,254.26
201,254.32
202,254.39
203,254.49
204,254.64
205,254.72
206,254.61
207,254.82
208,254.87
209,255.02
210,254.97
211,254.95
212,255.10
213,255.11
214,255.09
215,255.22
216,255.28
217,255.53
218,255.60
219,255.66
220,255.71
221,255.80
222,255.83
223,255.81
224,255.84
225,255.83
226,255.76
227,255.87
228,256.05
229,256.21
230,256.38
231,256.42
232,256.46
233,256.51
234,256.56
235,256.45
236,256.57
237,256.52
238,256.49
239,256.61
240,256.65
241,256.62
242,256.68
243,256.80
244,256.83
245,256.82
246,256.99
247,256.98
248,257.01
249,257.18
250,257.28
251,257.23
252,257.43
253,257.40
254,257.45
255,257.55
256,257.63
257,257.71
258,257.73
259,257.92
260,258.07
261,258.07
262,258.10
263,258.19
264,258.21
265,258.26
266,258.28
267,258.29
268,258.38
269,258.11
270,258.38
271,258.42
272,258.59
273,258.62
274,258.82
275,258.84
276,258.78
277,258.77
278,258.82
279,258.74
280,258.74
281,258.67
282,258.62
283,258.83
284,258.83
285,258.83
286,259.17
287,259.28
288,259.19
289,259.20
290,259.07
291,259.19
292,259.13
293,259.26
294,259.22
295,259.20
296,259.27
297,259.27
298,259.13
299,259.23
300,259.20
301,259.28
302,259.29
303,259.34
304,259.35
305,259.44
306,259.46
307,259.54
308,259.46
309,259.51
310,259.59
311,259.68
312,259.85
313,259.99
314,260.02
315,259.93
316,260.02
317,260.03
318,260.12
319,260.01
320,260.19
321,260.20
322,260.16
323,260.22
324,260.23
325,260.30
326,260.38
327,260.36
328,260.35
329,260.54
330,260.56
331,260.58
332,260.56
333,260.50
334,260.43
335,260.47
336,260.49
337,260.49
338,260.55
339,260.57
340,260.51
341,260.56
342,260.50
343,260.57
344,260.55
345,260.62
346,260.58
347,260.55
348,260.65
349,260.59
350,260.72
351,260.66
352,260.74
353,260.78
354,260.83
355,260.66
356,260.67
357,260.72
358,260.78
359,260.90
360,260.95
361,260.95
362,261.00
363,261.03
364,261.04
365,261.13
366,261.19
367,261.14
368,261.18
369,261.20
370,261.03
371,261.18
372,261.06
373,261.16
374,261.22
375,261.27
376,261.13
377,261.14
378,261.30
379,261.34
380,261.28
381,261.54
382,261.57
383,261.57
384,261.52
385,261.50
386,261.58
387,261.68
388,261.63
389,261.67
390,261.88
391,261.91
392,261.82
393,261.91
394,261.82
395,261.80
396,262.04
397,262.17
398,262.10
399,261.98
400,262.07
401,261.95
402,261.96
403,261.91
404,261.99
405,262.02
406,262.26
407,262.19
408,262.16
409,262.22
410,262.16
411,262.28
412,262.32
413,262.34
414,262.43
415,262.44
416,262.45
417,262.50
418,262.45
419,262.46
420,262.39
421,262.41
422,262.58
423,262.58
424,262.71
425,262.67
426,262.65
427,262.54
428,262.70
429,262.75
430,262.73
431,262.63
432,262.76
433,262.82
434,262.77
435,262.67
436,262.81
437,262.81
438,262.84
439,263.10
440,262.99
441,262.78
