time,value
0,341.68
1,341.82
2,341.81
3,341.80
4,341.85
5,341.94
6,342.01
7,342.08
8,342.18
9,342.26
10,342.23
11,342.17
12,342.05
13,342.18
14,342.20
15,342.27
16,342.29
17,342.29
18,342.30
19,342.39
20,342.42
21,342.38
22,342.44
23,342.42
24,342.43
25,342.42
26,342.40
27,342.46
28,342.50
29,342.42
30,342.58
31,342.47
32,342.52
33,342.49
34,342.32
35,342.40
36,342.49
37,342.54
38,342.43
39,342.51
40,342.54
41,342.45
42,342.53
43,342.48
44,342.51
45,342.59
46,342.57
47,342.54
48,342.54
49,342.66
50,342.65
51,342.70
52,342.71
53,342.75
54,342.76
55,342.86
56,342.88
57,342.90
58,342.92
59,342.89
60,342.96
61,342.87
62,343.00
63,342.99
64,343.01
65,343.04
66,343.03
67,342.97
68,343.02
69,342.95
70,343.04
71,343.04
72,343.16
73,343.25
74,343.16
75,343.19
76,343.24
77,343.23
78,343.18
79,343.26
80,343.29
81,343.40
82,343.31
83,343.26
84,343.25
85,343.25
86,343.23
87,343.24
88,343.30
89,343.32
90,343.49
91,343.46
92,343.36
93,343.38
94,343.43
95,343.45
96,343.41
97,343.25
98,343.27
99,343.42
100,343.51
101,343.41
102,343.45
103,343.50
104,343.59
105,343.52
106,343.61
107,343.64
108,343.73
109,343.60
110,343.62
111,343.66
112,343.61
113,343.66
114,343.69
115,343.74
116,343.61
117,343.54
118,343.57
119,343.62
120,343.64
121,343.52
122,343.63
123,343.70
124,343.68
125,343.88
126,343.78
127,343.68
128,343.82
129,343.77
130,343.76
131,343.89
132,343.96
133,343.98
134,343.94
135,343.84
136,343.78
137,343.71
138,343.96
139,343.96
140,343.96
141,343.93
142,343.90
143,343.89
144,343.87
145,343.88
146,343.91
147,343.97
148,343.98
149,343.91
150,344.04
151,344.08
152,344.00
153,344.03
154,343.98
155,344.00
156,344.01
157,343.99
158,343.84
159,343.92
160,344.14
161,344.17
162,344.03
163,344.05
164,344.08
165,344.17
166,344.23
167,344.25
168,344.31
169,344.23
170,344.16
171,344.07
172,344.06
173,344.01
174,344.24
175,344.28
176,344.24
177,344.28
178,344.32
179,344.34
180,344.37
181,344.32
182,344.36
183,344.47
184,344.46
185,344.42
186,344.39
187,344.53
188,344.51
189,344.46
190,344.38
191,344.42
192,344.43
193,344.50
194,344.50
195,344.40
196,344.45
197,344.52
198,344.48
199,344.64
200,344.72
201,344.67
202,344.58
203,344.71
204,344.75
205,344.72
206,344.69
207,344.65
208,344.59
209,344.61
210,344.69
211,344.66
212,344.65
213,344.70
214,344.92
215,344.86
216,344.75
217,344.76
218,344.84
219,344.69
220,344.68
221,344.80
222,344.92
223,344.92
224,344.84
225,344.80
226,344.91
227,344.78
228,344.86
229,344.85
230,344.89
231,344.92
232,344.82
233,344.94
234,344.88
235,344.83
236,344.92
237,344.90
238,344.95
239,344.93
240,344.96
241,345.00
242,344.97
243,344.86
244,344.90
245,344.90
246,345.06
247,345.12
248,345.00
249,344.88
250,344.92
251,345.04
252,344.94
253,345.00
254,344.95
255,344.99
256,345.05
257,345.17
258,345.10
259,345.05
260,345.03
261,345.10
262,345.05
263,345.07
264,345.16
265,345.23
