time,value
532,245.46
533,245.63
534,245.64
535,245.72
536,245.72
537,245.75
538,245.76
539,245.75
540,245.90
541,245.76
542,245.72
543,245.75
544,245.78
545,245.85
546,245.92
547,246.05
548,246.03
549,245.95
550,246.07
551,246.16
552,246.23
553,246.19
554,246.08
555,246.14
556,246.15
557,246.14
558,246.18
559,246.11
560,246.28
561,246.30
562,246.38
563,246.52
564,246.50
565,246.49
566,246.67
567,246.63
568,246.66
569,246.64
570,246.66
571,246.62
572,246.68
573,246.81
574,246.74
575,246.70
576,246.70
577,246.78
578,246.78
579,246.83
580,246.87
581,246.88
582,247.13
583,247.24
584,247.26
585,247.18
586,247.28
587,247.32
588,247.21
589,247.29
590,247.29
591,247.19
592,247.29
593,247.33
594,247.26
595,247.20
596,247.17
597,247.38
598,247.45
599,247.49
600,247.52
601,247.62
602,247.69
603,247.72
604,247.75
605,247.71
606,247.80
607,247.71
608,247.71
609,247.80
610,247.79
611,247.91
612,247.96
613,247.87
614,247.92
615,247.85
616,248.00
617,248.14
618,248.32
619,248.59
620,248.50
621,248.68
622,248.71
623,248.63
624,248.64
625,248.58
626,248.53
627,248.52
628,248.58
629,248.37
630,248.81
631,248.94
632,248.92
633,249.06
634,249.03
635,249.15
636,248.52
637,248.61
638,248.69
639,248.48
640,249.23
641,249.26
642,249.24
643,249.08
644,249.10
645,248.66
646,248.68
647,248.67
648,248.78
649,248.81
650,248.85
651,248.82
652,248.68
653,248.72
654,248.80
655,248.85
656,248.90
657,249.06
658,249.21
659,249.14
660,249.07
661,249.12
662,249.05
663,249.17
664,249.17
665,249.10
666,249.18
667,249.24
668,249.31
669,249.29
670,249.42
671,249.62
672,249.65
673,249.59
674,249.78
675,249.81
676,249.79
677,249.65
678,249.65
679,249.75
680,249.68
681,249.80
682,249.89
683,249.93
684,249.96
685,249.93
686,250.04
687,250.12
688,250.12
689,250.17
690,250.11
691,250.20
692,250.32
693,250.21
694,250.20
695,250.12
696,250.70
697,250.72
698,250.54
699,250.39
700,250.46
701,250.36
702,250.41
703,250.51
704,250.57
705,250.69
706,250.80
707,250.87
708,250.89
709,250.89
710,250.59
711,250.62
712,250.66
713,250.62
714,250.58
715,250.58
716,250.59
717,250.55
718,250.47
719,250.42
720,250.52
721,250.82
722,250.99
723,250.56
724,250.56
725,250.69
726,250.73
727,250.80
728,250.70
729,250.70
730,250.74
731,250.66
732,250.65
733,250.80
734,250.80
735,250.82
736,250.92
737,251.02
738,251.16
739,251.04
740,251.06
741,251.16
742,251.30
743,251.27
744,251.18
745,251.37
746,251.30
747,251.24
748,251.23
749,251.23
750,251.23
751,251.48
752,251.43
753,251.25
754,251.31
755,251.38
756,251.51
757,251.35
758,251.48
759,251.58
760,251.56
761,251.55
762,251.63
763,251.61
764,251.58
765,251.58
766,251.67
767,251.71
768,251.70
769,251.82
770,251.89
771,251.84
772,251.76
773,251.79
774,251.84
775,251.93
776,251.91
777,251.98
778,252.10
779,252.14
780,252.22
781,252.08
782,252.11
783,252.17
784,252.14
785,252.13
786,252.14
787,252.17
788,252.24
789,252.24
790,252.22
791,252.32
792,252.30
793,252.35
794,252.38
795,252.41
796,252.24
797,252.26
798,252.39
799,252.40
800,252.56
801,252.41
802,252.50
803,252.58
804,252.64
805,252.72
806,252.80
807,252.67
808,252.60
809,252.53
810,252.69
811,252.67
812,252.75
813,252.81
814,252.81
815,252.83
816,252.72
817,252.78
818,252.92
819,252.99
820,253.03
821,253.05
822,253.11
823,252.61
824,252.48
825,252.34
826,252.18
827,251.66
828,251.57
829,251.42
830,251.37
831,251.24
832,250.99
833,250.75
834,250.74
835,250.50
836,250.58
837,250.61
838,250.59
839,250.56
840,250.44
841,250.27
842,250.18
843,250.04
844,249.87
845,249.73
846,249.65
847,249.57
848,249.43
849,249.35
850,249.24
851,249.13
852,249.00
853,248.94
854,248.79
855,248.78
856,248.83
857,248.66
858,248.48
859,248.46
860,248.21
861,248.24
862,248.14
863,247.96
864,247.89
865,247.78
866,247.69
867,247.55
868,247.54
869,247.58
870,247.51
871,247.42
872,247.44
873,247.29
874,247.31
875,247.25
876,247.25
877,247.17
878,247.20
879,247.01
880,246.92
881,246.99
882,246.76
883,246.68
884,246.68
885,246.57
886,246.49
887,246.34
888,246.24
889,246.16
890,246.02
891,245.95
892,245.81
893,245.80
894,245.73
895,245.73
896,245.46
897,245.44
898,245.37
899,245.30
900,245.32
901,245.30
902,245.31
903,245.24
904,245.06
905,245.04
906,244.89
907,244.85
908,244.70
909,244.71
910,244.63
911,244.55
912,244.59
913,244.44
914,244.44
915,244.35
916,244.14
917,244.08
918,244.01
919,243.92
920,243.75
921,243.77
922,243.60
923,243.70
924,243.65
925,243.52
926,243.61
927,243.45
928,243.49
929,243.33
930,243.20
