Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
1,359.76,359.49,359.89,360.44,359.77,361.78,359.26,359.78,355.33,325.61,210.79,308.439200952143,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,359.422997516553,0.1575,19400,3,0.76
2,359.79,359.58,359.92,360.49,359.8,361.81,359.41,360.01,355.41,325.56,211.2,308.469605525172,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,359.456102661014,0.1575,19400,3,0.76
3,359.89,359.75,360.01,360.53,359.86,361.84,359.63,360.16,355.61,325.54,211.73,308.500007674633,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,359.489205449046,0.1575,19400,3,0.76
4,360.0,359.89,360.09,360.63,359.94,361.9,359.8,360.39,355.85,325.55,212.27,308.53040740041,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,359.522305880467,0.1575,19400,3,0.76
5,360.1,360.02,360.19,360.72,360.03,361.98,359.97,360.6,356.15,325.6,212.88,308.560804702384,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,359.555403955097,0.1575,19400,3,0.76
6,360.19,360.13,360.26,360.83,360.11,362.08,360.15,360.79,356.44,325.69,213.46,308.591199580435,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,359.588499672753,0.1575,19400,3,0.76
7,360.3,360.25,360.35,360.94,360.2,362.17,360.29,360.95,356.73,325.8,214.0,308.621592034446,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,359.621593033254,0.1575,19400,3,0.76
8,360.39,360.37,360.42,361.07,360.29,362.28,360.46,361.11,356.98,325.93,214.35,308.651982064299,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,359.654684036418,0.1575,19400,3,0.76
9,360.5,360.48,360.49,361.17,360.38,362.38,360.59,361.24,357.21,326.09,214.85,308.682369669875,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,359.687772682064,0.1575,19400,3,0.76
10,360.58,360.57,360.56,361.23,360.47,362.45,360.72,361.32,357.44,326.23,215.36,308.712754851056,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,359.72085897001,0.1575,19400,3,0.76
11,360.7,360.7,360.66,361.34,360.6,362.55,360.92,361.46,357.75,326.47,215.79,308.743137607725,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,359.753942900075,0.1575,19400,3,0.76
12,360.77,360.8,360.73,361.42,360.72,362.64,361.07,361.59,358.03,326.71,216.35,308.773517939763,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,359.787024472078,0.1575,19400,3,0.76
13,360.82,360.85,360.78,361.5,360.79,362.73,361.11,361.67,358.21,326.87,216.74,308.803895847052,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,359.820103685838,0.1575,19400,3,0.76
14,360.87,360.9,360.84,361.58,360.87,362.83,361.14,361.74,358.39,327.01,217.32,308.834271329474,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,359.853180541172,0.1575,19400,3,0.76
15,360.88,360.93,360.86,361.64,360.94,362.9,361.15,361.79,358.56,327.13,217.67,308.864644386912,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,359.886255037902,0.1575,19400,3,0.76
16,360.89,360.96,360.89,361.71,360.99,362.97,361.16,361.79,358.72,327.25,218.26,308.895015019248,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,359.919327175844,0.1575,19400,3,0.76
17,360.91,360.99,360.93,361.74,361.05,363.03,361.14,361.79,358.84,327.35,218.65,308.925383226364,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,359.952396954818,0.1575,19400,3,0.76
18,360.92,361.0,360.96,361.78,361.09,363.09,361.13,361.81,358.9,327.46,219.02,308.955749008143,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,359.985464374643,0.1575,19400,3,0.76
19,360.94,361.01,361.0,361.82,361.14,363.14,361.13,361.84,358.93,327.57,219.49,308.986112364467,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,360.018529435139,0.1575,19400,3,0.76
20,360.99,361.0,361.05,361.86,361.21,363.19,361.12,361.83,358.86,327.75,219.91,309.016473295218,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,360.051592136125,0.1575,19400,3,0.76
21,361.04,360.97,361.1,361.89,361.28,363.23,361.11,361.83,358.7,327.9,220.3,309.046831800279,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,360.084652477419,0.1575,19400,3,0.76
22,361.07,360.97,361.14,361.93,361.31,363.26,361.09,361.81,358.61,328.01,220.72,309.077187879533,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,360.117710458841,0.1575,19400,3,0.76
23,361.11,360.96,361.17,361.98,361.34,363.28,361.05,361.83,358.51,328.09,221.48,309.107541532862,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,360.150766080211,0.1575,19400,3,0.76
24,361.14,360.97,361.2,361.99,361.37,363.29,361.03,361.84,358.46,328.19,221.79,309.137892760148,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,360.183819341348,0.1575,19400,3,0.76
25,361.18,361.0,361.24,362.03,361.42,363.31,361.03,361.85,358.45,328.29,222.2,309.168241561277,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,360.216870242071,0.1575,19400,3,0.76
26,361.22,361.03,361.28,362.05,361.45,363.33,361.04,361.86,358.46,328.37,222.55,309.198587936128,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,360.249918782199,0.1575,19400,3,0.76
27,361.27,361.04,361.31,362.07,361.5,363.36,361.1,361.9,358.49,328.48,222.87,309.228931884586,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,360.282964961554,0.1575,19400,3,0.76
28,361.3,361.04,361.35,362.08,361.53,363.39,361.19,361.95,358.51,328.58,223.15,309.259273406533,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,360.316008779953,0.1575,19400,3,0.76
29,361.34,361.04,361.39,362.09,361.57,363.42,361.3,362.04,358.54,328.74,223.14,309.289612501854,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,360.349050237217,0.1575,19400,3,0.76
30,361.39,361.05,361.44,362.11,361.59,363.45,361.3,362.11,358.55,328.92,223.45,309.319949170429,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,360.382089333166,0.1575,19400,3,0.76
31,361.43,361.06,361.46,362.1,361.58,363.46,361.3,362.12,358.53,329.05,223.77,309.350283412144,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,360.415126067619,0.1575,19400,3,0.76
32,361.47,361.07,361.48,362.08,361.58,363.49,361.3,362.09,358.51,329.17,224.17,309.380615226881,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,360.448160440396,0.1575,19400,3,0.76
33,361.52,361.07,361.49,362.05,361.57,363.53,361.35,362.08,358.48,329.29,224.59,309.410944614522,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,360.481192451318,0.1575,19400,3,0.76
34,361.58,361.09,361.5,362.02,361.57,363.58,361.43,362.08,358.44,329.42,224.81,309.441271574953,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,360.514222100204,0.1575,19400,3,0.76
35,361.61,361.15,361.51,362.01,361.56,363.62,361.48,362.09,358.34,329.54,225.4,309.471596108055,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,360.547249386874,0.1575,19400,3,0.76
36,361.65,361.19,361.51,362.03,361.57,363.67,361.52,362.14,358.21,329.66,225.68,309.501918213713,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,360.580274311149,0.1575,19400,3,0.76
37,361.68,361.23,361.52,362.05,361.57,363.7,361.55,362.19,358.06,329.8,225.97,309.53223789181,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,360.613296872849,0.1575,19400,3,0.76
38,361.74,361.23,361.51,362.07,361.56,363.71,361.47,362.22,357.85,329.98,226.37,309.562555142229,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,360.646317071793,0.1575,19400,3,0.76
39,361.8,361.22,361.53,362.07,361.57,363.71,361.39,362.26,357.74,330.18,226.79,309.592869964854,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,360.679334907802,0.1575,19400,3,0.76
40,361.84,361.21,361.54,362.09,361.58,363.71,361.38,362.26,357.71,330.31,227.14,309.62318235957,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,360.712350380698,0.1575,19400,3,0.76
41,361.88,361.2,361.54,362.11,361.59,363.7,361.35,362.25,357.73,330.45,227.26,309.653492326258,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,360.745363490299,0.1575,19400,3,0.76
42,361.89,361.16,361.54,362.13,361.58,363.69,361.31,362.22,357.75,330.57,227.62,309.683799864804,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,360.778374236426,0.1575,19400,3,0.76
43,361.93,361.15,361.54,362.15,361.59,363.69,361.26,362.22,357.79,330.7,227.92,309.714104975092,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,360.811382618901,0.1575,19400,3,0.76
44,361.95,361.12,361.54,362.16,361.58,363.67,361.19,362.21,357.83,330.82,228.11,309.744407657004,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,360.844388637543,0.1575,19400,3,0.76
45,361.97,361.1,361.55,362.16,361.58,363.66,361.13,362.2,357.86,330.92,228.44,309.774707910425,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,360.877392292174,0.1575,19400,3,0.76
46,361.98,361.09,361.56,362.13,361.58,363.64,361.08,362.17,357.89,331.09,228.69,309.80500573524,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,360.910393582613,0.1575,19400,3,0.76
