Sequence Length (s),Prediction Horizon (s),MAE (C),RMSE (C),R2
20,60,1.74,6.67,0.907
20,180,2.98,9.83,0.82
20,300,3.52,10.31,0.791
20,480,4.57,10.4,0.798
20,600,8.21,15.14,0.602
