Sequence Length (s),Prediction Horizon (s),MAE (C),RMSE (C),R2
20,60,1.06,1.82,0.995
20,180,1.54,2.75,0.99
20,300,1.61,2.68,0.99
20,480,3.17,4.42,0.976
20,600,2.61,3.87,0.983
20,900,6.81,29.67,0.107
