Time,TC1_tip,TC2,TC3,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
21,365.72,362.03,334.23,355.978498504962,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,382.346726109452,437.2883782704,0.0375,25900,3,0.98
22,365.87,362.11,334.62,356.125254151994,382.51194306767,382.51194306767,382.51194306767,382.51194306767,382.51194306767,382.51194306767,382.51194306767,382.51194306767,382.51194306767,437.453595228619,0.0375,25900,3,0.98
23,366.0,362.27,334.96,356.271932866684,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,382.677082023897,437.618734184846,0.0375,25900,3,0.98
24,366.15,362.41,335.22,356.418534647161,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,382.842142964491,437.78379512544,0.0375,25900,3,0.98
25,366.21,362.62,335.55,356.565059491611,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,383.007125875874,437.948778036823,0.0375,25900,3,0.98
26,366.24,362.75,336.03,356.711507398274,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,383.172030744528,438.113682905477,0.0375,25900,3,0.98
27,366.29,362.87,336.33,356.857878365444,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,383.336857556997,438.278509717945,0.0375,25900,3,0.98
28,366.39,363.0,336.61,357.004172391469,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,383.501606299886,438.443258460834,0.0375,25900,3,0.98
29,366.37,363.13,336.89,357.150389474751,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,383.666276959862,438.60792912081,0.0375,25900,3,0.98
30,366.43,363.31,337.13,357.296529613747,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,383.830869523652,438.7725216846,0.0375,25900,3,0.98
31,366.44,363.34,337.33,357.442592806967,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,383.995383978046,438.937036138995,0.0375,25900,3,0.98
32,366.34,363.27,337.45,357.588579052974,384.159820309895,384.159820309895,384.159820309895,384.159820309895,384.159820309895,384.159820309895,384.159820309895,384.159820309895,384.159820309895,439.101472470844,0.0375,25900,3,0.98
33,366.16,363.26,337.68,357.73448835039,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,384.324178506112,439.265830667061,0.0375,25900,3,0.98
34,366.09,363.34,337.96,357.880320697884,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,384.48845855367,439.430110714618,0.0375,25900,3,0.98
35,366.02,363.48,338.07,358.026076094185,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,384.652660439603,439.594312600552,0.0375,25900,3,0.98
36,365.89,363.6,338.1,358.171754538073,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,384.81678415101,439.758436311958,0.0375,25900,3,0.98
37,365.76,363.62,338.16,358.317356028382,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,384.980829675047,439.922481835995,0.0375,25900,3,0.98
38,365.64,363.65,338.23,358.462880564001,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,385.144796998934,440.086449159882,0.0375,25900,3,0.98
39,365.54,363.64,338.24,358.608328143873,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,385.308686109952,440.2503382709,0.0375,25900,3,0.98
40,365.46,363.61,338.3,358.753698766993,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,385.472496995443,440.414149156391,0.0375,25900,3,0.98
41,365.39,363.55,338.35,358.898992432413,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,385.636229642811,440.577881803759,0.0375,25900,3,0.98
42,365.4,363.51,338.43,359.044209139236,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,385.799884039521,440.74153620047,0.0375,25900,3,0.98
43,365.47,363.39,338.64,359.189348886621,385.9634601731,385.9634601731,385.9634601731,385.9634601731,385.9634601731,385.9634601731,385.9634601731,385.9634601731,385.9634601731,440.905112334048,0.0375,25900,3,0.98
44,365.58,363.38,338.76,359.334411673779,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,386.126958031134,441.068610192083,0.0375,25900,3,0.98
45,365.73,363.34,338.74,359.479397499977,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,386.290377601276,441.232029762224,0.0375,25900,3,0.98
46,365.91,363.28,338.77,359.624306364532,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,386.453718871234,441.395371032182,0.0375,25900,3,0.98
47,366.08,363.29,338.79,359.769138266819,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,386.616981828781,441.558633989729,0.0375,25900,3,0.98
48,366.31,363.38,338.78,359.913893206265,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,386.78016646175,441.721818622699,0.0375,25900,3,0.98
49,366.66,363.47,338.81,360.058571182351,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,386.943272758039,441.884924918987,0.0375,25900,3,0.98
50,367.09,363.59,338.83,360.20317219461,387.1063007056,387.1063007056,387.1063007056,387.1063007056,387.1063007056,387.1063007056,387.1063007056,387.1063007056,387.1063007056,442.047952866549,0.0375,25900,3,0.98
51,367.45,363.71,338.88,360.347696242632,387.269250292456,387.269250292456,387.269250292456,387.269250292456,387.269250292456,387.269250292456,387.269250292456,387.269250292456,387.269250292456,442.210902453404,0.0375,25900,3,0.98
52,367.7,363.69,339.16,360.492143326056,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,387.432121506682,442.37377366763,0.0375,25900,3,0.98
53,367.82,363.78,339.41,360.636513444581,387.594914336422,387.594914336422,387.594914336422,387.594914336422,387.594914336422,387.594914336422,387.594914336422,387.594914336422,387.594914336422,442.53656649737,0.0375,25900,3,0.98
54,367.85,363.91,339.51,360.780806597952,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,387.757628769876,442.699280930825,0.0375,25900,3,0.98
55,367.71,364.08,339.61,360.925022785974,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,387.920264795309,442.861916956258,0.0375,25900,3,0.98
56,367.35,364.23,339.69,361.069162008504,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,388.082822401046,443.024474561995,0.0375,25900,3,0.98
57,367.11,364.34,339.81,361.213224265449,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,388.245301575473,443.186953736421,0.0375,25900,3,0.98
58,367.12,364.36,339.91,361.357209556774,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,388.407702307038,443.349354467987,0.0375,25900,3,0.98
59,367.07,364.35,340.04,361.501117882495,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,388.570024584251,443.511676745199,0.0375,25900,3,0.98
60,367.0,364.37,340.16,361.644949242683,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,388.732268395682,443.67392055663,0.0375,25900,3,0.98
61,366.84,364.43,340.25,361.78870363746,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,388.894433729963,443.836085890911,0.0375,25900,3,0.98
62,366.65,364.58,340.28,361.932381067005,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,443.998172736737,0.0375,25900,3,0.98
63,366.6,364.65,340.35,362.075981531547,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,444.160181082861,0.0375,25900,3,0.98
64,366.63,364.64,340.4,362.21950503137,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,444.322110918099,0.0375,25900,3,0.98
65,366.59,364.62,340.44,362.362951566812,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,444.483962231331,0.0375,25900,3,0.98
66,366.45,364.6,340.43,362.506321138262,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,444.645735011495,0.0375,25900,3,0.98
67,366.44,364.54,340.4,362.649613746166,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,444.807429247591,0.0375,25900,3,0.98
68,366.54,364.48,340.43,362.792829391019,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,444.969044928682,0.0375,25900,3,0.98
69,366.67,364.45,340.45,362.935968073373,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,445.130582043889,0.0375,25900,3,0.98
70,366.99,364.42,340.48,363.07902979383,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,445.2920405824,0.0375,25900,3,0.98
71,367.32,364.23,340.55,363.222014553048,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,445.453420533458,0.0375,25900,3,0.98
72,367.53,364.05,340.55,363.364922351737,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,445.614721886372,0.0375,25900,3,0.98
73,367.69,363.93,340.6,363.507753190659,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,445.775944630509,0.0375,25900,3,0.98
74,367.81,363.97,340.64,363.65050707063,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,445.937088755301,0.0375,25900,3,0.98
75,367.94,364.22,340.69,363.793183992521,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,446.098154250239,0.0375,25900,3,0.98
76,368.08,364.43,340.76,363.935783957254,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,391.317488943926,446.259141104875,0.0375,25900,3,0.98
77,368.36,364.53,340.84,364.078306965804,391.478397147874,391.478397147874,391.478397147874,391.478397147874,391.478397147874,391.478397147874,391.478397147874,391.478397147874,391.478397147874,446.420049308823,0.0375,25900,3,0.98
78,368.61,364.54,340.92,364.2207530192,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,391.639226690811,446.580878851759,0.0375,25900,3,0.98
79,368.53,364.39,341.01,364.363122118523,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,391.799977562471,446.74162972342,0.0375,25900,3,0.98
80,368.29,364.4,341.12,364.505414264907,391.960649752654,391.960649752654,391.960649752654,391.960649752654,391.960649752654,391.960649752654,391.960649752654,391.960649752654,391.960649752654,446.902301913603,0.0375,25900,3,0.98
81,368.16,364.48,341.17,364.647629459541,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,392.12124325122,447.062895412168,0.0375,25900,3,0.98
82,367.99,364.61,341.25,364.789767703665,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,392.281758048088,447.223410209036,0.0375,25900,3,0.98
83,367.75,364.6,341.32,364.931828998571,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,392.44219413324,447.383846294189,0.0375,25900,3,0.98
84,367.53,364.49,341.4,365.073813345607,392.60255149672,392.60255149672,392.60255149672,392.60255149672,392.60255149672,392.60255149672,392.60255149672,392.60255149672,392.60255149672,447.544203657669,0.0375,25900,3,0.98
85,367.36,364.45,341.46,365.21572074617,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,392.762830128633,447.704482289582,0.0375,25900,3,0.98
86,367.28,364.44,341.5,365.357551201714,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,392.923030019144,447.864682180093,0.0375,25900,3,0.98
87,367.06,364.37,341.52,365.499304713743,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,448.024803319429,0.0375,25900,3,0.98
88,366.78,364.27,341.52,365.640981283814,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,448.184845697879,0.0375,25900,3,0.98
89,366.56,364.21,341.4,365.782580913536,393.403157144844,393.403157144844,393.403157144844,393.403157144844,393.403157144844,393.403157144844,393.403157144844,393.403157144844,393.403157144844,448.344809305793,0.0375,25900,3,0.98
90,366.52,364.2,341.38,365.924103604574,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,448.504694133581,0.0375,25900,3,0.98
91,366.7,364.27,341.38,366.065549358643,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,448.664500171715,0.0375,25900,3,0.98
92,366.84,364.38,341.45,366.206918177511,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,448.824227410729,0.0375,25900,3,0.98
93,366.88,364.34,341.55,366.348210062999,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,448.983875841217,0.0375,25900,3,0.98
94,366.85,364.17,341.66,366.48942501698,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,449.143445453836,0.0375,25900,3,0.98
95,366.79,363.92,341.67,366.630563041381,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,449.302936239301,0.0375,25900,3,0.98
96,366.79,363.82,341.64,366.771624138179,394.520696027444,394.520696027444,394.520696027444,394.520696027444,394.520696027444,394.520696027444,394.520696027444,394.520696027444,394.520696027444,449.462348188393,0.0375,25900,3,0.98
97,366.88,363.85,341.67,366.912608309407,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,449.621681291949,0.0375,25900,3,0.98
98,367.08,363.94,341.64,367.053515557148,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,449.780935540871,0.0375,25900,3,0.98
99,366.99,364.07,341.71,367.194345883537,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,449.940110926119,0.0375,25900,3,0.98
100,366.92,364.18,341.79,367.335099290764,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,450.099207438719,0.0375,25900,3,0.98
101,366.79,364.18,341.86,367.475775781069,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,450.258225069752,0.0375,25900,3,0.98
102,366.65,364.09,341.88,367.616375356747,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,450.417163810366,0.0375,25900,3,0.98
103,366.53,364.01,341.9,367.756898020142,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,450.576023651765,0.0375,25900,3,0.98
104,366.46,363.94,341.87,367.897343773652,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,450.734804585218,0.0375,25900,3,0.98
105,366.4,363.92,341.84,368.037712619729,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,450.893506602054,0.0375,25900,3,0.98
106,366.39,363.96,341.74,368.178004560874,396.110477532712,396.110477532712,396.110477532712,396.110477532712,396.110477532712,396.110477532712,396.110477532712,396.110477532712,396.110477532712,451.052129693661,0.0375,25900,3,0.98
107,366.41,364.01,341.67,368.318219599642,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,451.210673851491,0.0375,25900,3,0.98
108,366.44,364.11,341.62,368.458357738642,396.427486906108,396.427486906108,396.427486906108,396.427486906108,396.427486906108,396.427486906108,396.427486906108,396.427486906108,396.427486906108,451.369139067057,0.0375,25900,3,0.98
109,366.52,364.1,341.6,368.59841898053,396.585873170981,396.585873170981,396.585873170981,396.585873170981,396.585873170981,396.585873170981,396.585873170981,396.585873170981,396.585873170981,451.52752533193,0.0375,25900,3,0.98
110,366.63,364.01,341.66,368.738403328021,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,451.685832637746,0.0375,25900,3,0.98
111,366.79,364.05,341.8,368.878310783875,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,451.844060976198,0.0375,25900,3,0.98
112,366.89,364.12,341.92,369.018141350911,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,452.002210339045,0.0375,25900,3,0.98
113,367.06,364.23,342.0,369.157895031995,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,452.160280718102,0.0375,25900,3,0.98
114,367.07,364.38,342.06,369.297571830046,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,452.318272105248,0.0375,25900,3,0.98
115,367.04,364.46,342.26,369.437171748037,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,452.476184492424,0.0375,25900,3,0.98
116,366.91,364.54,342.47,369.576694788992,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,452.634017871627,0.0375,25900,3,0.98
117,366.78,364.54,342.53,369.716140955985,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,452.791772234921,0.0375,25900,3,0.98
118,366.7,364.58,342.52,369.855510252146,398.007795413479,398.007795413479,398.007795413479,398.007795413479,398.007795413479,398.007795413479,398.007795413479,398.007795413479,398.007795413479,452.949447574427,0.0375,25900,3,0.98
119,366.68,364.54,342.5,369.994802680653,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,453.107043882328,0.0375,25900,3,0.98
120,366.66,364.38,342.49,370.134018244737,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,453.26456115087,0.0375,25900,3,0.98
121,366.66,364.29,342.53,370.273156947683,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,453.421999372357,0.0375,25900,3,0.98
122,366.63,364.19,342.59,370.412218792824,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,453.579358539154,0.0375,25900,3,0.98
123,366.59,364.07,342.68,370.551203783548,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,453.73663864369,0.0375,25900,3,0.98
124,366.55,364.06,342.76,370.690111923293,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517504,453.893839678452,0.0375,25900,3,0.98
125,366.43,364.13,342.7,370.82894321555,399.109309475041,399.109309475041,399.109309475041,399.109309475041,399.109309475041,399.109309475041,399.109309475041,399.109309475041,399.109309475041,454.050961635989,0.0375,25900,3,0.98
126,366.3,364.18,342.56,370.96769766386,399.266352347962,399.266352347962,399.266352347962,399.266352347962,399.266352347962,399.266352347962,399.266352347962,399.266352347962,399.266352347962,454.20800450891,0.0375,25900,3,0.98
127,366.19,364.22,342.43,371.106375271816,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,454.364968289886,0.0375,25900,3,0.98
128,366.18,364.24,342.33,371.244976043064,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,454.521852971649,0.0375,25900,3,0.98
129,366.19,364.28,342.26,371.383499981302,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,454.678658546991,0.0375,25900,3,0.98
