Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
39,370.28,371.43,372.63,374.06,373.68,376.04,374.46,376.18,372.53,337.26,0,,,,,,,,,,,0,,,,,,,,,,
40,370.22,371.47,372.66,374.05,373.69,376.05,374.4,376.02,372.61,337.21,0,,,,,,,,,,,0,,,,,,,,,,
41,370.13,371.51,372.66,374.03,373.67,376.03,374.34,375.75,372.67,337.16,0,,,,,,,,,,,0,,,,,,,,,,
42,370.02,371.54,372.67,374.01,373.66,376.03,374.29,375.64,372.7,337.14,0,,,,,,,,,,,0,,,,,,,,,,
43,369.85,371.55,372.68,374,373.63,376.02,374.2,375.56,372.74,337.16,0,,,,,,,,,,,0,,,,,,,,,,
44,369.67,371.56,372.68,373.98,373.6,376,374.1,375.39,372.73,337.24,0,,,,,,,,,,,0,,,,,,,,,,
45,369.58,371.59,372.69,373.96,373.58,375.99,374.04,375.2,372.71,337.43,0,,,,,,,,,,,0,,,,,,,,,,
46,369.47,371.61,372.7,373.95,373.56,375.98,373.99,375.11,372.76,337.61,0,,,,,,,,,,,0,,,,,,,,,,
47,369.38,371.62,372.7,373.92,373.56,375.96,373.95,375.06,372.9,337.73,0,,,,,,,,,,,0,,,,,,,,,,
48,369.29,371.62,372.71,373.92,373.55,375.95,373.91,375.01,373,337.87,0,,,,,,,,,,,0,,,,,,,,,,
49,369.21,371.62,372.71,373.92,373.57,375.94,373.88,374.91,373.08,338.02,0,,,,,,,,,,,0,,,,,,,,,,
50,369.14,371.62,372.71,373.92,373.57,375.94,373.84,374.83,373.11,338.19,0,,,,,,,,,,,0,,,,,,,,,,
51,369.04,371.6,372.73,373.94,373.58,375.93,373.8,374.76,373.2,338.29,0,,,,,,,,,,,0,,,,,,,,,,
52,368.92,371.56,372.74,373.94,373.6,375.92,373.77,374.68,373.32,338.29,0,,,,,,,,,,,0,,,,,,,,,,
53,368.81,371.51,372.75,373.92,373.6,375.9,373.74,374.64,373.33,338.37,0,,,,,,,,,,,0,,,,,,,,,,
54,368.75,371.5,372.75,373.92,373.6,375.9,373.73,374.6,373.3,338.45,0,,,,,,,,,,,0,,,,,,,,,,
55,368.7,371.47,372.74,373.91,373.59,375.88,373.72,374.57,373.26,338.51,0,,,,,,,,,,,0,,,,,,,,,,
56,368.64,371.45,372.73,373.89,373.59,375.87,373.7,374.52,373.19,338.52,0,,,,,,,,,,,0,,,,,,,,,,
57,368.57,371.42,372.74,373.88,373.58,375.86,373.7,374.51,373.1,338.57,0,,,,,,,,,,,0,,,,,,,,,,
58,368.5,371.4,372.74,373.87,373.57,375.84,373.67,374.5,373.07,338.57,0,,,,,,,,,,,0,,,,,,,,,,
59,368.43,371.37,372.73,373.86,373.56,375.83,373.67,374.49,373.12,338.58,0,,,,,,,,,,,0,,,,,,,,,,
60,368.34,371.35,372.73,373.85,373.54,375.82,373.66,374.48,373.13,338.58,0,,,,,,,,,,,0,,,,,,,,,,
61,368.21,371.32,372.73,373.84,373.53,375.81,373.64,374.47,373.21,338.62,0,,,,,,,,,,,0,,,,,,,,,,
62,368.08,371.28,372.73,373.83,373.51,375.81,373.63,374.46,373.23,338.69,0,,,,,,,,,,,0,,,,,,,,,,
63,368.02,371.28,372.74,373.83,373.5,375.8,373.64,374.45,373.2,338.74,0,,,,,,,,,,,0,,,,,,,,,,
64,367.94,371.26,372.73,373.82,373.48,375.79,373.62,374.45,373.19,338.81,0,,,,,,,,,,,0,,,,,,,,,,
65,367.88,371.24,372.73,373.81,373.46,375.78,373.63,374.47,373.2,338.85,0,,,,,,,,,,,0,,,,,,,,,,
66,367.81,371.21,372.73,373.8,373.45,375.77,373.63,374.48,373.18,338.85,0,,,,,,,,,,,0,,,,,,,,,,
67,367.76,371.19,372.72,373.79,373.45,375.76,373.63,374.5,373.15,338.89,0,,,,,,,,,,,0,,,,,,,,,,
68,367.7,371.18,372.73,373.79,373.44,375.75,373.64,374.52,373.1,338.93,0,,,,,,,,,,,0,,,,,,,,,,
69,367.64,371.16,372.71,373.77,373.42,375.74,373.66,374.54,373.09,339,0,,,,,,,,,,,0,,,,,,,,,,
70,367.53,371.12,372.7,373.77,373.4,375.74,373.66,374.56,373.18,339.09,0,,,,,,,,,,,0,,,,,,,,,,
71,367.42,371.07,372.69,373.75,373.38,375.74,373.68,374.58,373.33,339.12,0,,,,,,,,,,,0,,,,,,,,,,
72,367.38,371.04,372.68,373.74,373.38,375.74,373.69,374.61,373.44,339.12,0,,,,,,,,,,,0,,,,,,,,,,
73,367.32,371.01,372.67,373.73,373.38,375.74,373.69,374.64,373.5,339.14,0,,,,,,,,,,,0,,,,,,,,,,
74,367.28,370.99,372.67,373.74,373.37,375.74,373.7,374.65,373.5,339.15,0,,,,,,,,,,,0,,,,,,,,,,
75,367.24,370.96,372.66,373.73,373.35,375.73,373.69,374.65,373.49,339.14,0,,,,,,,,,,,0,,,,,,,,,,
76,367.19,370.92,372.65,373.7,373.33,375.72,373.69,374.64,373.47,339.1,0,,,,,,,,,,,0,,,,,,,,,,
77,367.17,370.9,372.64,373.69,373.35,375.71,373.7,374.64,373.42,339.07,0,,,,,,,,,,,0,,,,,,,,,,
78,367.14,370.89,372.63,373.69,373.34,375.72,373.71,374.65,373.35,339.01,0,,,,,,,,,,,0,,,,,,,,,,
79,367.06,370.85,372.62,373.69,373.33,375.71,373.71,374.63,373.28,338.92,0,,,,,,,,,,,0,,,,,,,,,,
80,366.98,370.82,372.61,373.68,373.32,375.71,373.7,374.63,373.24,338.89,0,,,,,,,,,,,0,,,,,,,,,,
81,366.92,370.78,372.59,373.67,373.3,375.7,373.68,374.65,373.2,338.93,0,,,,,,,,,,,0,,,,,,,,,,
82,366.86,370.75,372.58,373.67,373.31,375.7,373.68,374.68,373.22,338.91,0,,,,,,,,,,,0,,,,,,,,,,
83,366.81,370.74,372.58,373.66,373.3,375.69,373.69,374.73,373.32,338.87,0,,,,,,,,,,,0,,,,,,,,,,
84,366.76,370.71,372.56,373.65,373.29,375.69,373.69,374.78,373.48,338.85,0,,,,,,,,,,,0,,,,,,,,,,
85,366.72,370.68,372.56,373.65,373.29,375.69,373.68,374.79,373.55,338.85,0,,,,,,,,,,,0,,,,,,,,,,
86,366.67,370.66,372.54,373.65,373.29,375.68,373.69,374.81,373.58,338.93,0,,,,,,,,,,,0,,,,,,,,,,
87,366.63,370.64,372.54,373.64,373.29,375.67,373.69,374.83,373.58,339.01,0,,,,,,,,,,,0,,,,,,,,,,
88,366.58,370.59,372.53,373.64,373.28,375.67,373.69,374.86,373.54,339.09,0,,,,,,,,,,,0,,,,,,,,,,
89,366.52,370.54,372.51,373.63,373.27,375.66,373.68,374.87,373.48,339.17,0,,,,,,,,,,,0,,,,,,,,,,
90,366.47,370.51,372.5,373.62,373.27,375.66,373.7,374.87,373.42,339.19,0,,,,,,,,,,,0,,,,,,,,,,
91,366.44,370.48,372.5,373.62,373.27,375.65,373.7,374.9,373.38,339.17,0,,,,,,,,,,,0,,,,,,,,,,
92,366.4,370.46,372.5,373.62,373.27,375.64,373.73,374.95,373.37,339.13,0,,,,,,,,,,,0,,,,,,,,,,
93,366.37,370.43,372.48,373.61,373.27,375.63,373.73,375.01,373.55,339.14,0,,,,,,,,,,,0,,,,,,,,,,
94,366.34,370.4,372.47,373.6,373.26,375.63,373.73,375.03,373.76,339.15,0,,,,,,,,,,,0,,,,,,,,,,
95,366.31,370.38,372.46,373.61,373.26,375.62,373.74,375.06,373.84,339.16,0,,,,,,,,,,,0,,,,,,,,,,
96,366.27,370.34,372.45,373.6,373.26,375.61,373.75,375.08,373.85,339.14,0,,,,,,,,,,,0,,,,,,,,,,
97,366.21,370.3,372.44,373.59,373.26,375.61,373.74,375.1,373.81,339.1,0,,,,,,,,,,,0,,,,,,,,,,
98,366.15,370.26,372.42,373.59,373.24,375.59,373.73,375.1,373.77,339.13,0,,,,,,,,,,,0,,,,,,,,,,
99,366.11,370.24,372.41,373.59,373.26,375.61,373.73,375.09,373.72,339.21,0,,,,,,,,,,,0,,,,,,,,,,
100,366.07,370.21,372.4,373.58,373.25,375.6,373.72,375.06,373.67,339.26,0,,,,,,,,,,,0,,,,,,,,,,
101,366.02,370.18,372.39,373.57,373.25,375.59,373.72,375.03,373.61,339.3,0,,,,,,,,,,,0,,,,,,,,,,
102,365.98,370.16,372.38,373.57,373.24,375.6,373.73,375.02,373.54,339.3,0,,,,,,,,,,,0,,,,,,,,,,
103,365.95,370.13,372.38,373.55,373.24,375.6,373.75,375.07,373.5,339.29,0,,,,,,,,,,,0,,,,,,,,,,
104,365.92,370.1,372.36,373.54,373.24,375.6,373.79,375.17,373.48,339.29,0,,,,,,,,,,,0,,,,,,,,,,
105,365.88,370.08,372.35,373.53,373.23,375.61,373.82,375.27,373.45,339.29,0,,,,,,,,,,,0,,,,,,,,,,
106,365.84,370.04,372.34,373.52,373.22,375.62,373.86,375.3,373.46,339.34,0,,,,,,,,,,,0,,,,,,,,,,
107,365.78,370,372.31,373.52,373.22,375.62,373.9,375.32,373.66,339.41,0,,,,,,,,,,,0,,,,,,,,,,
108,365.73,369.96,372.3,373.5,373.21,375.63,373.91,375.31,373.81,339.47,0,,,,,,,,,,,0,,,,,,,,,,
109,365.7,369.94,372.29,373.51,373.21,375.65,373.93,375.28,373.93,339.52,0,,,,,,,,,,,0,,,,,,,,,,
110,365.67,369.92,372.28,373.5,373.21,375.66,373.93,375.25,374.01,339.56,0,,,,,,,,,,,0,,,,,,,,,,
