Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,369.43,371.16,373.02,373.83,373.25,375.49,373,373.7,372.55,380.36,356.78,,,,,,,,,,,,,,,,,,,,,,
1,369.38,371.11,373,373.8,373.23,375.47,372.98,373.66,372.6,380.46,356.85,0,,,,,,,,,,,0,,,,,,,,,,
2,369.32,371.07,372.95,373.77,373.21,375.45,372.95,373.64,372.61,380.98,356.92,0,,,,,,,,,,,0,,,,,,,,,,
3,369.24,371.03,372.92,373.76,373.19,375.43,372.92,373.62,372.58,380.95,357,0,,,,,,,,,,,0,,,,,,,,,,
4,369.14,371,372.88,373.73,373.17,375.4,372.89,373.6,372.53,380.52,357.09,0,,,,,,,,,,,0,,,,,,,,,,
5,369,370.94,372.83,373.7,373.14,375.38,372.87,373.58,372.47,380.24,357.25,0,,,,,,,,,,,0,,,,,,,,,,
6,368.87,370.87,372.78,373.69,373.11,375.36,372.86,373.57,372.47,379.72,357.38,0,,,,,,,,,,,0,,,,,,,,,,
7,368.79,370.84,372.75,373.67,373.1,375.34,372.84,373.56,372.48,380.21,357.46,0,,,,,,,,,,,0,,,,,,,,,,
8,368.73,370.79,372.72,373.65,373.07,375.32,372.83,373.56,372.48,381.49,357.52,0,,,,,,,,,,,0,,,,,,,,,,
9,368.66,370.74,372.7,373.62,373.06,375.3,372.81,373.56,372.46,381.48,357.58,0,,,,,,,,,,,0,,,,,,,,,,
10,368.6,370.71,372.68,373.6,373.04,375.28,372.8,373.57,372.46,381.4,357.62,0,,,,,,,,,,,0,,,,,,,,,,
11,368.55,370.66,372.65,373.6,373.02,375.26,372.78,373.57,372.42,381.19,357.65,0,,,,,,,,,,,0,,,,,,,,,,
12,368.49,370.62,372.62,373.57,373,375.23,372.76,373.59,372.36,380.65,357.67,0,,,,,,,,,,,0,,,,,,,,,,
13,368.46,370.59,372.6,373.55,372.99,375.21,372.75,373.63,372.34,380.55,357.67,0,,,,,,,,,,,0,,,,,,,,,,
14,368.4,370.56,372.57,373.52,372.97,375.2,372.77,373.68,372.45,380.89,357.7,0,,,,,,,,,,,0,,,,,,,,,,
15,368.31,370.52,372.52,373.5,372.94,375.18,372.79,373.73,372.56,380.15,357.76,0,,,,,,,,,,,0,,,,,,,,,,
