Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
1091,357.92,357.31,359.15,359.29,358.9,360.87,358.97,359.36,355.38,333.05,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.582878881386,341.083690963176,341.083690963176,341.083690963176,341.083690963176,341.083690963176,341.083690963176,341.083690963176,341.083690963176,341.083690963176,377.241219748065
1092,357.91,357.3,359.14,359.28,358.9,360.87,358.97,359.31,355.29,332.97,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.615992350093,341.11989045137,341.11989045137,341.11989045137,341.11989045137,341.11989045137,341.11989045137,341.11989045137,341.11989045137,341.11989045137,377.277419236259
1093,357.9,357.28,359.12,359.27,358.88,360.86,358.98,359.19,355.2,332.89,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.649102981812,341.156087181295,341.156087181295,341.156087181295,341.156087181295,341.156087181295,341.156087181295,341.156087181295,341.156087181295,341.156087181295,377.313615966184
1094,357.87,357.28,359.09,359.25,358.86,360.85,358.97,359.08,355.07,332.82,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.682210776402,341.192281152727,341.192281152727,341.192281152727,341.192281152727,341.192281152727,341.192281152727,341.192281152727,341.192281152727,341.192281152727,377.349809937615
1095,357.85,357.25,359.08,359.25,358.86,360.84,358.96,359.03,354.9,332.81,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.715315733723,341.228472365441,341.228472365441,341.228472365441,341.228472365441,341.228472365441,341.228472365441,341.228472365441,341.228472365441,341.228472365441,377.386001150329
1096,357.84,357.25,359.05,359.24,358.85,360.83,358.96,358.91,354.66,332.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.748417853632,341.264660819214,341.264660819214,341.264660819214,341.264660819214,341.264660819214,341.264660819214,341.264660819214,341.264660819214,341.264660819214,377.422189604103
1097,357.81,357.24,359.02,359.22,358.83,360.83,358.94,358.82,354.42,332.71,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.781517135989,341.300846513824,341.300846513824,341.300846513824,341.300846513824,341.300846513824,341.300846513824,341.300846513824,341.300846513824,341.300846513824,377.458375298713
1098,357.8,357.23,359.01,359.21,358.81,360.82,358.9,358.8,354.29,332.69,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.814613580652,341.337029449047,341.337029449047,341.337029449047,341.337029449047,341.337029449047,341.337029449047,341.337029449047,341.337029449047,341.337029449047,377.494558233935
1099,357.77,357.21,358.98,359.19,358.8,360.8,358.88,358.79,354.2,332.65,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.847707187481,341.373209624659,341.373209624659,341.373209624659,341.373209624659,341.373209624659,341.373209624659,341.373209624659,341.373209624659,341.373209624659,377.530738409547
1100,357.76,357.21,358.98,359.17,358.79,360.79,358.88,358.72,354.16,332.62,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.880797956335,341.409387040437,341.409387040437,341.409387040437,341.409387040437,341.409387040437,341.409387040437,341.409387040437,341.409387040437,341.409387040437,377.566915825326
1101,357.75,357.21,358.97,359.16,358.79,360.77,358.84,358.59,354.13,332.58,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.913885887073,341.445561696159,341.445561696159,341.445561696159,341.445561696159,341.445561696159,341.445561696159,341.445561696159,341.445561696159,341.445561696159,377.603090481047
1102,357.73,357.21,358.96,359.15,358.77,360.74,358.81,358.54,354.15,332.56,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.946970979554,341.4817335916,341.4817335916,341.4817335916,341.4817335916,341.4817335916,341.4817335916,341.4817335916,341.4817335916,341.4817335916,377.639262376489
1103,357.69,357.2,358.94,359.14,358.76,360.71,358.78,358.48,354.2,332.52,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,322.980053233637,341.517902726539,341.517902726539,341.517902726539,341.517902726539,341.517902726539,341.517902726539,341.517902726539,341.517902726539,341.517902726539,377.675431511428
1104,357.68,357.19,358.92,359.13,358.74,360.69,358.71,358.43,354.21,332.5,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.013132649183,341.554069100752,341.554069100752,341.554069100752,341.554069100752,341.554069100752,341.554069100752,341.554069100752,341.554069100752,341.554069100752,377.711597885641
1105,357.64,357.16,358.89,359.11,358.71,360.65,358.57,358.44,354.28,332.49,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.04620922605,341.590232714017,341.590232714017,341.590232714017,341.590232714017,341.590232714017,341.590232714017,341.590232714017,341.590232714017,341.590232714017,377.747761498906
1106,357.6,357.15,358.87,359.09,358.68,360.6,358.42,358.5,354.39,332.49,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.079282964098,341.626393566111,341.626393566111,341.626393566111,341.626393566111,341.626393566111,341.626393566111,341.626393566111,341.626393566111,341.626393566111,377.783922351
1107,357.59,357.14,358.86,359.09,358.64,360.56,358.37,358.5,354.51,332.51,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.112353863187,341.662551656811,341.662551656811,341.662551656811,341.662551656811,341.662551656811,341.662551656811,341.662551656811,341.662551656811,341.662551656811,377.820080441699
1108,357.56,357.12,358.84,359.05,358.61,360.52,358.37,358.47,354.64,332.5,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.145421923177,341.698706985894,341.698706985894,341.698706985894,341.698706985894,341.698706985894,341.698706985894,341.698706985894,341.698706985894,341.698706985894,377.856235770783
1109,357.54,357.1,358.81,359.03,358.57,360.49,358.37,358.46,354.77,332.52,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.178487143927,341.734859553139,341.734859553139,341.734859553139,341.734859553139,341.734859553139,341.734859553139,341.734859553139,341.734859553139,341.734859553139,377.892388338028
1110,357.52,357.09,358.8,358.99,358.55,360.46,358.34,358.46,354.86,332.51,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.211549525297,341.771009358323,341.771009358323,341.771009358323,341.771009358323,341.771009358323,341.771009358323,341.771009358323,341.771009358323,341.771009358323,377.928538143211
1111,357.5,357.07,358.78,358.95,358.52,360.43,358.26,358.48,354.91,332.52,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.244609067148,341.807156401223,341.807156401223,341.807156401223,341.807156401223,341.807156401223,341.807156401223,341.807156401223,341.807156401223,341.807156401223,377.964685186111
1112,357.49,357.05,358.77,358.92,358.51,360.41,358.21,358.54,354.96,332.54,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.277665769339,341.843300681617,341.843300681617,341.843300681617,341.843300681617,341.843300681617,341.843300681617,341.843300681617,341.843300681617,341.843300681617,378.000829466506
1113,357.47,357.04,358.75,358.91,358.48,360.38,358.22,358.59,355.02,332.51,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.31071963173,341.879442199284,341.879442199284,341.879442199284,341.879442199284,341.879442199284,341.879442199284,341.879442199284,341.879442199284,341.879442199284,378.036970984172
1114,357.44,357.01,358.73,358.88,358.45,360.35,358.24,358.6,355.13,332.51,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,323.343770654183,341.915580954,341.915580954,341.915580954,341.915580954,341.915580954,341.915580954,341.915580954,341.915580954,341.915580954,378.073109738888
