Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
44,358.33,362.93,366.83,369.91,370.51,374.19,379.51,376.11,374.84,361.39,0,,,,,,,,,,,0,,,,,,,,,,
45,358.3,362.91,366.82,369.92,370.52,374.19,379.55,376.11,374.93,361.36,0,,,,,,,,,,,0,,,,,,,,,,
46,358.28,362.9,366.82,369.92,370.52,374.21,379.56,376.12,374.98,361.32,0,,,,,,,,,,,0,,,,,,,,,,
47,358.27,362.89,366.82,369.93,370.54,374.23,379.56,376.09,374.98,361.28,0,,,,,,,,,,,0,,,,,,,,,,
48,358.26,362.88,366.81,369.93,370.54,374.24,379.61,376.09,374.94,361.25,0,,,,,,,,,,,0,,,,,,,,,,
49,358.24,362.86,366.81,369.93,370.56,374.26,379.74,376.13,374.92,361.23,0,,,,,,,,,,,0,,,,,,,,,,
50,358.22,362.84,366.8,369.94,370.55,374.28,379.93,376.21,374.91,361.21,0,,,,,,,,,,,0,,,,,,,,,,
51,358.19,362.82,366.79,369.94,370.56,374.3,380.13,376.29,374.92,361.18,0,,,,,,,,,,,0,,,,,,,,,,
52,358.18,362.81,366.79,369.95,370.58,374.32,380.34,376.36,374.88,361.19,0,,,,,,,,,,,0,,,,,,,,,,
53,358.16,362.8,366.79,369.96,370.59,374.34,380.59,376.47,374.86,361.23,0,,,,,,,,,,,0,,,,,,,,,,
54,358.14,362.78,366.78,369.95,370.6,374.36,380.77,376.6,374.93,361.25,0,,,,,,,,,,,0,,,,,,,,,,
55,358.13,362.77,366.78,369.96,370.6,374.39,380.84,376.7,374.99,361.24,0,,,,,,,,,,,0,,,,,,,,,,
56,358.11,362.76,366.78,369.96,370.62,374.4,380.88,376.76,375,361.23,0,,,,,,,,,,,0,,,,,,,,,,
57,358.09,362.76,366.78,369.97,370.62,374.43,380.91,376.8,374.99,361.22,0,,,,,,,,,,,0,,,,,,,,,,
58,358.08,362.74,366.77,369.97,370.62,374.44,380.94,376.8,375,361.22,0,,,,,,,,,,,0,,,,,,,,,,
59,358.07,362.73,366.77,369.97,370.63,374.47,381.04,376.81,375.02,361.22,0,,,,,,,,,,,0,,,,,,,,,,
60,358.06,362.72,366.77,369.98,370.65,374.49,381.22,376.82,375.02,361.24,0,,,,,,,,,,,0,,,,,,,,,,
61,358.04,362.7,366.77,369.98,370.66,374.52,381.46,376.86,374.98,361.28,0,,,,,,,,,,,0,,,,,,,,,,
62,358.01,362.68,366.76,369.99,370.66,374.53,381.9,376.93,374.95,361.32,0,,,,,,,,,,,0,,,,,,,,,,
63,358,362.67,366.77,369.98,370.67,374.56,382.27,377.02,374.91,361.41,0,,,,,,,,,,,0,,,,,,,,,,
64,357.98,362.65,366.76,369.99,370.69,374.59,382.43,377.08,374.9,361.43,0,,,,,,,,,,,0,,,,,,,,,,
65,357.96,362.64,366.76,370,370.69,374.61,382.55,377.11,374.94,361.43,0,,,,,,,,,,,0,,,,,,,,,,
66,357.94,362.63,366.75,370,370.7,374.62,382.65,377.14,374.99,361.45,0,,,,,,,,,,,0,,,,,,,,,,
67,357.93,362.61,366.75,370,370.7,374.64,382.69,377.17,375.12,361.47,0,,,,,,,,,,,0,,,,,,,,,,
68,357.92,362.61,366.75,370,370.71,374.66,382.72,377.21,375.31,361.51,0,,,,,,,,,,,0,,,,,,,,,,
69,357.91,362.6,366.75,370.01,370.71,374.68,382.71,377.24,375.37,361.53,0,,,,,,,,,,,0,,,,,,,,,,
70,357.89,362.58,366.75,370.02,370.72,374.71,382.77,377.31,375.38,361.54,0,,,,,,,,,,,0,,,,,,,,,,
71,357.87,362.56,366.74,370.01,370.72,374.72,383.12,377.39,375.29,361.54,0,,,,,,,,,,,0,,,,,,,,,,
72,357.85,362.54,366.73,370.02,370.74,374.74,383.69,377.48,375.2,361.56,0,,,,,,,,,,,0,,,,,,,,,,
73,357.83,362.53,366.73,370.02,370.75,374.76,384.23,377.54,375.18,361.57,0,,,,,,,,,,,0,,,,,,,,,,
74,357.82,362.52,366.72,370.03,370.74,374.78,384.71,377.6,375.19,361.58,0,,,,,,,,,,,0,,,,,,,,,,
75,357.8,362.52,366.72,370.04,370.76,374.8,385.06,377.67,375.26,361.6,0,,,,,,,,,,,0,,,,,,,,,,
76,357.79,362.51,366.72,370.04,370.77,374.83,385.28,377.78,375.3,361.62,0,,,,,,,,,,,0,,,,,,,,,,
77,357.78,362.5,366.72,370.04,370.77,374.85,385.42,377.9,375.45,361.62,0,,,,,,,,,,,0,,,,,,,,,,
78,357.75,362.49,366.71,370.04,370.78,374.87,385.52,378.01,375.62,361.67,0,,,,,,,,,,,0,,,,,,,,,,
79,357.75,362.49,366.72,370.05,370.79,374.9,385.56,378.1,375.72,361.68,0,,,,,,,,,,,0,,,,,,,,,,
80,357.72,362.47,366.72,370.05,370.81,374.92,385.51,378.14,375.77,361.71,0,,,,,,,,,,,0,,,,,,,,,,
81,357.71,362.45,366.7,370.05,370.81,374.94,385.51,378.2,375.74,361.7,0,,,,,,,,,,,0,,,,,,,,,,
82,357.68,362.45,366.7,370.06,370.82,374.97,385.75,378.26,375.66,361.69,0,,,,,,,,,,,0,,,,,,,,,,
83,357.67,362.43,366.7,370.06,370.83,375,386.17,378.3,375.57,361.7,0,,,,,,,,,,,0,,,,,,,,,,
84,357.65,362.42,366.69,370.07,370.83,375.02,386.72,378.35,375.49,361.72,0,,,,,,,,,,,0,,,,,,,,,,
85,357.63,362.4,366.68,370.07,370.84,375.05,387.3,378.32,375.4,361.73,0,,,,,,,,,,,0,,,,,,,,,,
86,357.61,362.39,366.68,370.07,370.84,375.09,387.82,378.31,375.31,361.76,0,,,,,,,,,,,0,,,,,,,,,,
87,357.58,362.37,366.67,370.08,370.85,375.1,388.18,378.37,375.28,361.79,0,,,,,,,,,,,0,,,,,,,,,,
88,357.57,362.37,366.67,370.09,370.86,375.14,388.41,378.46,375.47,361.82,0,,,,,,,,,,,0,,,,,,,,,,
89,357.55,362.36,366.67,370.09,370.87,375.17,388.6,378.54,375.81,361.82,0,,,,,,,,,,,0,,,,,,,,,,
90,357.52,362.33,366.66,370.09,370.88,375.2,388.61,378.6,375.98,361.83,0,,,,,,,,,,,0,,,,,,,,,,
91,357.51,362.33,366.67,370.1,370.89,375.23,388.52,378.66,375.95,361.88,0,,,,,,,,,,,0,,,,,,,,,,
92,357.5,362.32,366.67,370.1,370.9,375.26,388.39,378.73,375.91,361.9,0,,,,,,,,,,,0,,,,,,,,,,
93,357.49,362.3,366.66,370.1,370.91,375.3,388.39,378.8,375.87,361.9,0,,,,,,,,,,,0,,,,,,,,,,
94,357.46,362.3,366.66,370.1,370.92,375.31,388.68,378.85,375.85,361.93,0,,,,,,,,,,,0,,,,,,,,,,
95,357.45,362.28,366.66,370.11,370.92,375.35,389.26,378.93,375.78,361.97,0,,,,,,,,,,,0,,,,,,,,,,
96,357.44,362.27,366.67,370.12,370.94,375.39,390.05,379.04,375.67,362.02,0,,,,,,,,,,,0,,,,,,,,,,
97,357.42,362.26,366.66,370.12,370.94,375.42,391.09,379.18,375.56,362.08,0,,,,,,,,,,,0,,,,,,,,,,
98,357.41,362.25,366.66,370.13,370.95,375.46,392.41,379.33,375.61,362.16,0,,,,,,,,,,,0,,,,,,,,,,
