Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,370.58,373.71,375.53,377.52,377.28,379.65,377.63,378.63,376.4,355.39,,,,,,,,,,,,,,,,,,,,,,
1,370.54,373.69,375.51,377.51,377.28,379.65,377.63,378.61,376.43,355.39,0,,,,,,,,,,,0,,,,,,,,,,
2,370.49,373.68,375.49,377.5,377.29,379.65,377.62,378.62,376.43,355.37,0,,,,,,,,,,,0,,,,,,,,,,
3,370.43,373.67,375.47,377.5,377.26,379.66,377.62,378.62,376.39,355.33,0,,,,,,,,,,,0,,,,,,,,,,
4,370.34,373.66,375.45,377.48,377.26,379.65,377.61,378.63,376.29,355.26,0,,,,,,,,,,,0,,,,,,,,,,
5,370.22,373.63,375.43,377.48,377.25,379.64,377.61,378.58,376.27,355.16,0,,,,,,,,,,,0,,,,,,,,,,
6,370.13,373.61,375.44,377.48,377.26,379.64,377.61,378.5,376.35,355.13,0,,,,,,,,,,,0,,,,,,,,,,
7,370.05,373.59,375.43,377.48,377.27,379.63,377.62,378.44,376.39,355.14,0,,,,,,,,,,,0,,,,,,,,,,
8,369.96,373.56,375.41,377.48,377.26,379.64,377.63,378.4,376.36,355.15,0,,,,,,,,,,,0,,,,,,,,,,
9,369.87,373.53,375.42,377.48,377.26,379.63,377.63,378.44,376.25,355.25,0,,,,,,,,,,,0,,,,,,,,,,
10,369.79,373.5,375.42,377.47,377.26,379.62,377.64,378.52,376.15,355.33,0,,,,,,,,,,,0,,,,,,,,,,
11,369.72,373.48,375.42,377.47,377.26,379.62,377.66,378.58,376.1,355.42,0,,,,,,,,,,,0,,,,,,,,,,
12,369.65,373.44,375.43,377.46,377.26,379.63,377.66,378.6,376.1,355.48,0,,,,,,,,,,,0,,,,,,,,,,
13,369.55,373.39,375.42,377.44,377.25,379.63,377.67,378.63,376.19,355.6,0,,,,,,,,,,,0,,,,,,,,,,
14,369.46,373.33,375.41,377.44,377.24,379.63,377.68,378.64,376.32,355.69,0,,,,,,,,,,,0,,,,,,,,,,
15,369.42,373.29,375.41,377.42,377.24,379.63,377.67,378.67,376.43,355.77,0,,,,,,,,,,,0,,,,,,,,,,
16,369.39,373.25,375.42,377.41,377.23,379.64,377.7,378.72,376.5,355.83,0,,,,,,,,,,,0,,,,,,,,,,
17,369.35,373.21,375.42,377.39,377.23,379.64,377.69,378.82,376.56,355.83,0,,,,,,,,,,,0,,,,,,,,,,
18,369.33,373.17,375.42,377.38,377.23,379.64,377.7,378.91,376.6,355.81,0,,,,,,,,,,,0,,,,,,,,,,
19,369.3,373.15,375.42,377.36,377.23,379.65,377.71,378.94,376.64,355.75,0,,,,,,,,,,,0,,,,,,,,,,
20,369.29,373.1,375.4,377.34,377.21,379.67,377.69,378.9,376.66,355.68,0,,,,,,,,,,,0,,,,,,,,,,
21,369.27,373.08,375.42,377.34,377.22,379.67,377.72,378.66,376.59,355.63,0,,,,,,,,,,,0,,,,,,,,,,
22,369.25,373.03,375.42,377.32,377.23,379.67,377.71,378.57,376.44,355.61,0,,,,,,,,,,,0,,,,,,,,,,
23,369.2,372.99,375.41,377.31,377.23,379.67,377.73,378.61,376.35,355.59,0,,,,,,,,,,,0,,,,,,,,,,
24,369.15,372.96,375.41,377.31,377.23,379.68,377.72,378.72,376.34,355.57,0,,,,,,,,,,,0,,,,,,,,,,
25,369.11,372.93,375.39,377.31,377.23,379.69,377.73,378.82,376.34,355.48,0,,,,,,,,,,,0,,,,,,,,,,
26,369.05,372.89,375.38,377.3,377.22,379.69,377.75,378.91,376.36,355.37,0,,,,,,,,,,,0,,,,,,,,,,
27,369.01,372.86,375.38,377.29,377.22,379.69,377.76,378.97,376.37,355.24,0,,,,,,,,,,,0,,,,,,,,,,
28,368.94,372.84,375.36,377.29,377.22,379.7,377.78,379.02,376.3,355.11,0,,,,,,,,,,,0,,,,,,,,,,
29,368.89,372.82,375.35,377.3,377.21,379.69,377.81,379.04,376.15,355.05,0,,,,,,,,,,,0,,,,,,,,,,
30,368.86,372.8,375.34,377.3,377.21,379.7,377.82,379.04,376.05,355.08,0,,,,,,,,,,,0,,,,,,,,,,
31,368.8,372.78,375.32,377.29,377.22,379.7,377.84,379.05,376.02,355.15,0,,,,,,,,,,,0,,,,,,,,,,
32,368.74,372.76,375.3,377.29,377.21,379.71,377.88,379.05,376,355.12,0,,,,,,,,,,,0,,,,,,,,,,
33,368.7,372.75,375.28,377.29,377.21,379.71,377.9,379.11,376.03,355.04,0,,,,,,,,,,,0,,,,,,,,,,
34,368.69,372.73,375.27,377.29,377.21,379.73,377.9,379.11,376.05,355,0,,,,,,,,,,,0,,,,,,,,,,
35,368.65,372.73,375.26,377.28,377.21,379.73,377.93,379.05,376.1,354.96,0,,,,,,,,,,,0,,,,,,,,,,
36,368.61,372.71,375.25,377.28,377.21,379.73,377.93,378.99,376.1,354.96,0,,,,,,,,,,,0,,,,,,,,,,
37,368.56,372.7,375.24,377.28,377.21,379.73,377.95,378.99,376.08,354.98,0,,,,,,,,,,,0,,,,,,,,,,
38,368.53,372.67,375.22,377.27,377.2,379.74,377.96,379.03,376.03,355.01,0,,,,,,,,,,,0,,,,,,,,,,
39,368.5,372.65,375.22,377.27,377.21,379.75,377.96,379.1,375.96,355.07,0,,,,,,,,,,,0,,,,,,,,,,
40,368.44,372.62,375.2,377.27,377.21,379.76,377.96,379.13,375.98,355.16,0,,,,,,,,,,,0,,,,,,,,,,
41,368.38,372.59,375.19,377.27,377.21,379.77,377.96,379.11,376.1,355.26,0,,,,,,,,,,,0,,,,,,,,,,
42,368.33,372.55,375.17,377.25,377.2,379.77,377.96,379.07,376.19,355.29,0,,,,,,,,,,,0,,,,,,,,,,
43,368.3,372.52,375.15,377.27,377.2,379.79,377.97,379.07,376.34,355.32,0,,,,,,,,,,,0,,,,,,,,,,
44,368.29,372.51,375.15,377.26,377.2,379.8,377.98,379.05,376.48,355.38,0,,,,,,,,,,,0,,,,,,,,,,
45,368.24,372.49,375.14,377.26,377.2,379.79,377.99,379.07,376.61,355.41,0,,,,,,,,,,,0,,,,,,,,,,
46,368.21,372.46,375.14,377.26,377.2,379.81,377.98,379.12,376.74,355.45,0,,,,,,,,,,,0,,,,,,,,,,
47,368.18,372.45,375.13,377.25,377.21,379.82,378,379.14,376.84,355.42,0,,,,,,,,,,,0,,,,,,,,,,
48,368.16,372.42,375.13,377.26,377.21,379.82,377.99,379.17,376.9,355.35,0,,,,,,,,,,,0,,,,,,,,,,
49,368.11,372.38,375.11,377.25,377.2,379.84,378.01,379.2,376.9,355.23,0,,,,,,,,,,,0,,,,,,,,,,
50,368.09,372.34,375.11,377.25,377.2,379.84,378.01,379.22,376.77,355.1,0,,,,,,,,,,,0,,,,,,,,,,
51,368.06,372.33,375.11,377.25,377.21,379.84,378.02,379.24,376.65,355.03,0,,,,,,,,,,,0,,,,,,,,,,
52,368.04,372.3,375.1,377.25,377.2,379.84,378.02,379.25,376.51,355.01,0,,,,,,,,,,,0,,,,,,,,,,
53,368.01,372.26,375.07,377.24,377.19,379.85,378.02,379.27,376.46,354.97,0,,,,,,,,,,,0,,,,,,,,,,
54,367.99,372.24,375.08,377.25,377.2,379.85,378.02,379.25,376.47,355.01,0,,,,,,,,,,,0,,,,,,,,,,
55,367.97,372.22,375.07,377.25,377.2,379.86,378.05,379.24,376.47,355.05,0,,,,,,,,,,,0,,,,,,,,,,
56,367.96,372.21,375.06,377.25,377.2,379.87,378.05,379.36,376.53,355.06,0,,,,,,,,,,,0,,,,,,,,,,
57,367.97,372.24,375.07,377.27,377.2,379.88,378.07,379.44,376.74,355.03,0,,,,,,,,,,,0,,,,,,,,,,
58,368.09,372.4,375.11,377.27,377.21,379.88,378.13,379.43,377.04,355.04,0,,,,,,,,,,,0,,,,,,,,,,
59,368.35,372.77,375.17,377.32,377.24,379.9,378.16,379.44,377.24,355.15,0,,,,,,,,,,,0,,,,,,,,,,
60,368.69,373.03,375.23,377.36,377.25,379.89,378.16,379.29,377.35,355.27,0,,,,,,,,,,,0,,,,,,,,,,
61,369.07,373.26,375.27,377.37,377.25,379.88,378.13,379.11,377.48,355.42,0,,,,,,,,,,,0,,,,,,,,,,
62,369.5,373.61,375.32,377.4,377.25,379.86,378.07,378.96,377.64,355.61,0,,,,,,,,,,,0,,,,,,,,,,
63,369.98,373.93,375.37,377.41,377.25,379.83,378.01,378.96,377.76,355.77,0,,,,,,,,,,,0,,,,,,,,,,
64,370.49,373.93,375.44,377.34,377.21,379.81,378.01,379.05,377.86,355.85,0,,,,,,,,,,,0,,,,,,,,,,
65,370.93,373.93,375.47,377.26,377.18,379.81,378.05,379.08,377.95,355.97,0,,,,,,,,,,,0,,,,,,,,,,
66,371.24,373.84,375.49,377.21,377.18,379.83,378.03,379.05,378.01,356.1,0,,,,,,,,,,,0,,,,,,,,,,
67,371.6,373.91,375.49,377.2,377.19,379.84,378,378.98,377.92,356.29,0,,,,,,,,,,,0,,,,,,,,,,
68,371.94,373.99,375.48,377.18,377.19,379.85,378,378.89,377.79,356.47,0,,,,,,,,,,,0,,,,,,,,,,
69,372.16,373.96,375.5,377.18,377.21,379.88,378.03,378.82,377.71,356.62,0,,,,,,,,,,,0,,,,,,,,,,
70,372.34,373.91,375.51,377.19,377.24,379.9,378.07,378.86,377.65,356.73,0,,,,,,,,,,,0,,,,,,,,,,
71,372.49,373.83,375.51,377.18,377.26,379.91,378.06,378.91,377.58,356.85,0,,,,,,,,,,,0,,,,,,,,,,
72,372.6,373.75,375.51,377.19,377.27,379.92,378.06,378.95,377.48,356.99,0,,,,,,,,,,,0,,,,,,,,,,
