Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
42,366.73,369.37,371.66,373.13,372.81,375.11,372.83,373.95,373.94,381.26,359.29,0,,,,,,,,,,,0,,,,,,,,,,
43,366.69,369.34,371.65,373.13,372.81,375.11,372.84,373.92,373.93,381.55,359.31,0,,,,,,,,,,,0,,,,,,,,,,
44,366.67,369.31,371.65,373.12,372.8,375.11,372.84,373.91,373.92,381.77,359.33,0,,,,,,,,,,,0,,,,,,,,,,
45,366.64,369.3,371.63,373.1,372.81,375.12,372.84,373.89,373.91,381.37,359.33,0,,,,,,,,,,,0,,,,,,,,,,
46,366.61,369.27,371.62,373.08,372.79,375.13,372.84,373.88,373.89,381.14,359.33,0,,,,,,,,,,,0,,,,,,,,,,
47,366.59,369.25,371.61,373.07,372.79,375.14,372.84,373.88,373.84,382.41,359.33,0,,,,,,,,,,,0,,,,,,,,,,
48,366.55,369.21,371.59,373.05,372.78,375.15,372.85,373.88,373.77,382.6,359.34,0,,,,,,,,,,,0,,,,,,,,,,
49,366.48,369.19,371.57,373.04,372.77,375.16,372.84,373.92,373.82,382.03,359.34,0,,,,,,,,,,,0,,,,,,,,,,
50,366.4,369.19,371.57,373.02,372.77,375.17,372.84,373.96,373.94,382.11,359.35,0,,,,,,,,,,,0,,,,,,,,,,
51,366.34,369.24,371.57,373.02,372.78,375.16,372.86,374,374.07,381.78,359.38,0,,,,,,,,,,,0,,,,,,,,,,
52,366.35,369.26,371.58,373.04,372.79,375.15,372.87,374.12,374.25,380.6,359.42,0,,,,,,,,,,,0,,,,,,,,,,
53,366.4,369.25,371.59,373.07,372.79,375.16,372.91,374.31,374.51,379.4,359.48,0,,,,,,,,,,,0,,,,,,,,,,
54,366.47,369.25,371.63,373.12,372.84,375.21,373.11,374.71,374.68,379.18,359.5,0,,,,,,,,,,,0,,,,,,,,,,
55,366.64,369.43,371.68,373.19,372.92,375.29,373.39,374.82,374.74,378.51,359.5,0,,,,,,,,,,,0,,,,,,,,,,
56,366.89,369.51,371.74,373.26,373.02,375.36,373.48,374.73,374.7,379.08,359.46,0,,,,,,,,,,,0,,,,,,,,,,
57,367.22,369.56,371.85,373.36,373.12,375.43,373.55,374.59,374.58,378.4,359.44,0,,,,,,,,,,,0,,,,,,,,,,
58,367.62,369.86,371.98,373.44,373.23,375.49,373.57,374.57,374.4,378.5,359.37,0,,,,,,,,,,,0,,,,,,,,,,
59,367.96,370.27,372.17,373.49,373.31,375.51,373.56,374.5,374.2,378.15,359.33,0,,,,,,,,,,,0,,,,,,,,,,
60,368.14,370.49,372.34,373.58,373.35,375.51,373.55,374.48,374.06,377.99,359.36,0,,,,,,,,,,,0,,,,,,,,,,
61,368.35,370.56,372.49,373.67,373.35,375.53,373.49,374.41,373.95,378.09,359.37,0,,,,,,,,,,,0,,,,,,,,,,
62,368.48,370.63,372.61,373.76,373.34,375.53,373.37,374.31,373.81,377.56,359.35,0,,,,,,,,,,,0,,,,,,,,,,
63,368.69,370.76,372.73,373.81,373.34,375.53,373.27,374.25,373.69,377.64,359.33,0,,,,,,,,,,,0,,,,,,,,,,
64,368.9,370.87,372.82,373.86,373.33,375.54,373.2,374.27,373.58,376.36,359.33,0,,,,,,,,,,,0,,,,,,,,,,
65,369.08,371.04,372.91,373.89,373.35,375.56,373.18,374.3,373.46,377.37,359.31,0,,,,,,,,,,,0,,,,,,,,,,
66,369.61,371.38,373.03,373.92,373.38,375.6,373.28,374.34,373.37,377.54,359.26,0,,,,,,,,,,,0,,,,,,,,,,
67,370.14,371.6,373.17,373.92,373.38,375.61,373.36,374.34,373.32,376.68,359.19,0,,,,,,,,,,,0,,,,,,,,,,
68,370.44,371.72,373.23,373.93,373.39,375.63,373.42,374.32,373.3,375.8,359.16,0,,,,,,,,,,,0,,,,,,,,,,
69,370.67,371.87,373.3,373.97,373.42,375.68,373.48,374.31,373.24,376.82,359.13,0,,,,,,,,,,,0,,,,,,,,,,
70,370.87,371.99,373.38,374.06,373.47,375.7,373.5,374.33,373.21,377.66,359.1,0,,,,,,,,,,,0,,,,,,,,,,
71,371.11,372.11,373.43,374.13,373.52,375.72,373.51,374.33,373.13,377.97,359.04,0,,,,,,,,,,,0,,,,,,,,,,
72,371.26,372.26,373.5,374.18,373.55,375.75,373.48,374.31,373.07,376.89,358.95,0,,,,,,,,,,,0,,,,,,,,,,
73,371.43,372.4,373.58,374.24,373.59,375.77,373.46,374.27,373.07,375.46,358.9,0,,,,,,,,,,,0,,,,,,,,,,
74,371.58,372.52,373.65,374.28,373.63,375.76,373.45,374.2,373.01,375.98,358.85,0,,,,,,,,,,,0,,,,,,,,,,
75,371.73,372.61,373.72,374.32,373.69,375.77,373.44,374.15,372.92,376.39,358.8,0,,,,,,,,,,,0,,,,,,,,,,
76,372,372.72,373.81,374.36,373.76,375.81,373.5,374.12,372.81,376.43,358.74,0,,,,,,,,,,,0,,,,,,,,,,
77,372.18,372.79,373.89,374.45,373.83,375.86,373.57,374.17,372.74,375.78,358.7,0,,,,,,,,,,,0,,,,,,,,,,
78,372.31,372.83,373.94,374.52,373.9,375.9,373.64,374.22,372.73,376.3,358.63,0,,,,,,,,,,,0,,,,,,,,,,
79,372.44,372.87,373.99,374.56,373.95,375.94,373.83,374.22,372.72,376.7,358.54,0,,,,,,,,,,,0,,,,,,,,,,
80,372.54,372.88,374.03,374.61,374,375.96,373.89,374.3,372.69,376.83,358.43,0,,,,,,,,,,,0,,,,,,,,,,
81,372.63,372.92,374.05,374.67,374.02,376,374.11,374.48,372.67,376.58,358.29,0,,,,,,,,,,,0,,,,,,,,,,
82,372.69,372.96,374.08,374.72,374.06,376.05,374.36,374.81,372.66,375.82,358.08,0,,,,,,,,,,,0,,,,,,,,,,
83,372.72,372.99,374.11,374.76,374.1,376.1,374.56,375.07,372.71,375.6,357.89,0,,,,,,,,,,,0,,,,,,,,,,
