Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,373.3,375.59,377.11,378.36,378.02,380.39,378.42,379.78,379.93,367.27,,,,,,,,,,,,,,,,,,,,,,
1,373.28,375.57,377.11,378.36,378.03,380.38,378.42,379.8,379.98,367.26,0,,,,,,,,,,,0,,,,,,,,,,
2,373.25,375.56,377.09,378.35,378.02,380.38,378.43,379.81,380,367.28,0,,,,,,,,,,,0,,,,,,,,,,
3,373.23,375.53,377.09,378.34,378.02,380.39,378.44,379.83,380,367.34,0,,,,,,,,,,,0,,,,,,,,,,
4,373.2,375.52,377.07,378.33,378.02,380.39,378.44,379.84,380.01,367.38,0,,,,,,,,,,,0,,,,,,,,,,
5,373.18,375.49,377.05,378.32,378.01,380.39,378.45,379.86,380.07,367.38,0,,,,,,,,,,,0,,,,,,,,,,
6,373.15,375.46,377.03,378.32,378,380.39,378.46,379.86,380.09,367.35,0,,,,,,,,,,,0,,,,,,,,,,
7,373.13,375.44,377.02,378.32,378,380.39,378.45,379.86,380.09,367.33,0,,,,,,,,,,,0,,,,,,,,,,
8,373.1,375.42,377,378.31,377.99,380.38,378.47,379.86,380.07,367.3,0,,,,,,,,,,,0,,,,,,,,,,
9,373.08,375.41,377,378.31,378,380.4,378.49,379.86,380.08,367.34,0,,,,,,,,,,,0,,,,,,,,,,
10,373.06,375.4,376.99,378.3,378,380.4,378.5,379.86,380.08,367.39,0,,,,,,,,,,,0,,,,,,,,,,
11,373.04,375.38,376.98,378.3,377.99,380.39,378.51,379.86,380.13,367.44,0,,,,,,,,,,,0,,,,,,,,,,
12,373.02,375.35,376.96,378.29,377.98,380.39,378.51,379.87,380.18,367.49,0,,,,,,,,,,,0,,,,,,,,,,
13,372.98,375.34,376.95,378.29,377.98,380.39,378.52,379.89,380.23,367.55,0,,,,,,,,,,,0,,,,,,,,,,
14,372.95,375.31,376.93,378.28,377.98,380.39,378.53,379.89,380.27,367.65,0,,,,,,,,,,,0,,,,,,,,,,
15,372.9,375.29,376.92,378.28,377.98,380.39,378.54,379.91,380.32,367.73,0,,,,,,,,,,,0,,,,,,,,,,
16,372.89,375.27,376.91,378.27,377.97,380.38,378.54,379.92,380.32,367.75,0,,,,,,,,,,,0,,,,,,,,,,
17,372.87,375.25,376.9,378.26,377.97,380.39,378.54,379.94,380.34,367.76,0,,,,,,,,,,,0,,,,,,,,,,
18,372.84,375.22,376.89,378.25,377.96,380.38,378.54,379.94,380.35,367.78,0,,,,,,,,,,,0,,,,,,,,,,
