Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
38,367.09,368.81,369.94,370.73,370.37,372.62,371.02,372.26,371.73,358.76,0,,,,,,,,,,,0,,,,,,,,,,
39,367.06,368.79,369.93,370.73,370.38,372.63,371.05,372.26,371.69,358.79,0,,,,,,,,,,,0,,,,,,,,,,
40,367.04,368.77,369.93,370.73,370.38,372.64,371.07,372.26,371.58,358.81,0,,,,,,,,,,,0,,,,,,,,,,
41,367.02,368.75,369.93,370.72,370.39,372.65,371.1,372.29,371.53,358.85,0,,,,,,,,,,,0,,,,,,,,,,
42,367,368.74,369.93,370.73,370.39,372.66,371.11,372.32,371.46,358.88,0,,,,,,,,,,,0,,,,,,,,,,
43,366.94,368.71,369.92,370.72,370.4,372.67,371.12,372.33,371.45,358.9,0,,,,,,,,,,,0,,,,,,,,,,
44,366.9,368.68,369.91,370.73,370.41,372.69,371.13,372.33,371.51,358.93,0,,,,,,,,,,,0,,,,,,,,,,
45,366.87,368.66,369.89,370.72,370.39,372.69,371.13,372.33,371.53,358.94,0,,,,,,,,,,,0,,,,,,,,,,
46,366.83,368.64,369.88,370.72,370.4,372.69,371.13,372.33,371.53,358.94,0,,,,,,,,,,,0,,,,,,,,,,
47,366.79,368.62,369.87,370.72,370.4,372.7,371.13,372.34,371.52,358.91,0,,,,,,,,,,,0,,,,,,,,,,
48,366.77,368.59,369.86,370.72,370.39,372.7,371.15,372.35,371.49,358.86,0,,,,,,,,,,,0,,,,,,,,,,
49,366.73,368.57,369.84,370.72,370.39,372.7,371.16,372.42,371.47,358.82,0,,,,,,,,,,,0,,,,,,,,,,
50,366.7,368.55,369.84,370.72,370.4,372.72,371.16,372.48,371.49,358.8,0,,,,,,,,,,,0,,,,,,,,,,
51,366.67,368.53,369.83,370.72,370.4,372.72,371.18,372.49,371.57,358.79,0,,,,,,,,,,,0,,,,,,,,,,
52,366.62,368.49,369.81,370.72,370.39,372.73,371.2,372.49,371.68,358.8,0,,,,,,,,,,,0,,,,,,,,,,
53,366.6,368.48,369.8,370.71,370.39,372.74,371.21,372.54,371.75,358.81,0,,,,,,,,,,,0,,,,,,,,,,
54,366.57,368.46,369.81,370.7,370.39,372.74,371.22,372.59,371.81,358.82,0,,,,,,,,,,,0,,,,,,,,,,
55,366.55,368.43,369.79,370.71,370.39,372.75,371.26,372.61,371.89,358.84,0,,,,,,,,,,,0,,,,,,,,,,
56,366.52,368.41,369.79,370.71,370.39,372.76,371.3,372.61,371.95,358.85,0,,,,,,,,,,,0,,,,,,,,,,
57,366.49,368.39,369.77,370.71,370.38,372.77,371.32,372.6,371.99,358.86,0,,,,,,,,,,,0,,,,,,,,,,
58,366.46,368.36,369.77,370.72,370.38,372.79,371.36,372.6,371.96,358.85,0,,,,,,,,,,,0,,,,,,,,,,
59,366.44,368.35,369.76,370.72,370.38,372.79,371.37,372.59,371.85,358.83,0,,,,,,,,,,,0,,,,,,,,,,
60,366.41,368.32,369.76,370.71,370.37,372.8,371.38,372.6,371.79,358.81,0,,,,,,,,,,,0,,,,,,,,,,
61,366.38,368.3,369.75,370.71,370.39,372.81,371.4,372.64,371.78,358.75,0,,,,,,,,,,,0,,,,,,,,,,
