Time,TC1_tip,TC2,TC3,TC4,TC_9_5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
233,372.41,371.15,347.19,214.57,-2.85,402.903406006331,435.624472114345,435.624472114345,435.624472114345,435.624472114345,435.624472114345,435.624472114345,435.624472114345,435.624472114345,435.624472114345,490.566124275293,0.0375,25900,3,0.98
234,372.4,371.13,347.23,214.52,-2.6,403.023339719176,435.761827201158,435.761827201158,435.761827201158,435.761827201158,435.761827201158,435.761827201158,435.761827201158,435.761827201158,435.761827201158,490.703479362107,0.0375,25900,3,0.98
235,372.53,371.05,347.23,214.67,-2.26,403.143198982639,435.899103201009,435.899103201009,435.899103201009,435.899103201009,435.899103201009,435.899103201009,435.899103201009,435.899103201009,435.899103201009,490.840755361958,0.0375,25900,3,0.98
236,372.74,371.07,347.25,214.83,-1.31,403.262983811973,436.036300120955,436.036300120955,436.036300120955,436.036300120955,436.036300120955,436.036300120955,436.036300120955,436.036300120955,436.036300120955,490.977952281903,0.0375,25900,3,0.98
237,372.88,371.18,347.29,214.99,-2.51,403.382694222469,436.173417968104,436.173417968104,436.173417968104,436.173417968104,436.173417968104,436.173417968104,436.173417968104,436.173417968104,436.173417968104,491.115070129052,0.0375,25900,3,0.98
238,372.98,371.33,347.32,215.12,-3.28,403.502330229462,436.31045674962,436.31045674962,436.31045674962,436.31045674962,436.31045674962,436.31045674962,436.31045674962,436.31045674962,436.31045674962,491.252108910568,0.0375,25900,3,0.98
239,373.04,371.36,347.3,215.17,-1.81,403.621891848325,436.447416472718,436.447416472718,436.447416472718,436.447416472718,436.447416472718,436.447416472718,436.447416472718,436.447416472718,436.447416472718,491.389068633666,0.0375,25900,3,0.98
240,373.09,371.34,347.28,215.38,-2.34,403.741379094475,436.584297144667,436.584297144667,436.584297144667,436.584297144667,436.584297144667,436.584297144667,436.584297144667,436.584297144667,436.584297144667,491.525949305616,0.0375,25900,3,0.98
241,373.08,371.35,347.3,215.43,-4.58,403.860791983368,436.721098772791,436.721098772791,436.721098772791,436.721098772791,436.721098772791,436.721098772791,436.721098772791,436.721098772791,436.721098772791,491.662750933739,0.0375,25900,3,0.98
242,373.07,371.33,347.33,215.54,-3.46,403.980130530501,436.857821364464,436.857821364464,436.857821364464,436.857821364464,436.857821364464,436.857821364464,436.857821364464,436.857821364464,436.857821364464,491.799473525412,0.0375,25900,3,0.98
243,373.16,371.33,347.36,215.6,-3.58,404.099394751415,436.994464927115,436.994464927115,436.994464927115,436.994464927115,436.994464927115,436.994464927115,436.994464927115,436.994464927115,436.994464927115,491.936117088064,0.0375,25900,3,0.98
244,373.23,371.42,347.34,215.72,-2.6,404.218584661686,437.131029468226,437.131029468226,437.131029468226,437.131029468226,437.131029468226,437.131029468226,437.131029468226,437.131029468226,437.131029468226,492.072681629174,0.0375,25900,3,0.98
245,373.21,371.49,347.38,215.8,-3.33,404.337700276936,437.267514995331,437.267514995331,437.267514995331,437.267514995331,437.267514995331,437.267514995331,437.267514995331,437.267514995331,437.267514995331,492.20916715628,0.0375,25900,3,0.98
246,373.12,371.57,347.42,215.93,-3.01,404.456741612825,437.403921516019,437.403921516019,437.403921516019,437.403921516019,437.403921516019,437.403921516019,437.403921516019,437.403921516019,437.403921516019,492.345573676968,0.0375,25900,3,0.98
247,372.95,371.61,347.39,215.97,-1.92,404.575708685054,437.54024903793,437.54024903793,437.54024903793,437.54024903793,437.54024903793,437.54024903793,437.54024903793,437.54024903793,437.54024903793,492.481901198878,0.0375,25900,3,0.98
248,372.82,371.64,347.34,216.1,-1.28,404.694601509366,437.676497568757,437.676497568757,437.676497568757,437.676497568757,437.676497568757,437.676497568757,437.676497568757,437.676497568757,437.676497568757,492.618149729706,0.0375,25900,3,0.98
249,372.76,371.6,347.29,216.01,-3.59,404.813420101543,437.812667116246,437.812667116246,437.812667116246,437.812667116246,437.812667116246,437.812667116246,437.812667116246,437.812667116246,437.812667116246,492.754319277195,0.0375,25900,3,0.98
250,372.83,371.49,347.2,216.06,-1.71,404.932164477408,437.948757688198,437.948757688198,437.948757688198,437.948757688198,437.948757688198,437.948757688198,437.948757688198,437.948757688198,437.948757688198,492.890409849146,0.0375,25900,3,0.98
251,372.9,371.36,347.1,216.07,-2.18,405.050834652825,438.084769292463,438.084769292463,438.084769292463,438.084769292463,438.084769292463,438.084769292463,438.084769292463,438.084769292463,438.084769292463,493.026421453411,0.0375,25900,3,0.98
252,372.94,371.27,347.06,216.14,-2.29,405.169430643697,438.220701936946,438.220701936946,438.220701936946,438.220701936946,438.220701936946,438.220701936946,438.220701936946,438.220701936946,438.220701936946,493.162354097894,0.0375,25900,3,0.98
253,372.97,371.36,346.98,216.17,-3.7,405.287952465969,438.356555629604,438.356555629604,438.356555629604,438.356555629604,438.356555629604,438.356555629604,438.356555629604,438.356555629604,438.356555629604,493.298207790553,0.0375,25900,3,0.98
254,373.0,371.48,346.88,216.19,-1.93,405.406400135626,438.492330378448,438.492330378448,438.492330378448,438.492330378448,438.492330378448,438.492330378448,438.492330378448,438.492330378448,438.492330378448,493.433982539396,0.0375,25900,3,0.98
255,372.99,371.55,346.86,216.09,-0.64,405.524773668692,438.628026191539,438.628026191539,438.628026191539,438.628026191539,438.628026191539,438.628026191539,438.628026191539,438.628026191539,438.628026191539,493.569678352487,0.0375,25900,3,0.98
256,373.0,371.63,346.89,216.27,-0.04,405.643073081232,438.763643076992,438.763643076992,438.763643076992,438.763643076992,438.763643076992,438.763643076992,438.763643076992,438.763643076992,438.763643076992,493.70529523794,0.0375,25900,3,0.98
257,373.01,371.69,346.98,216.2,0.06,405.761298389353,438.899181042975,438.899181042975,438.899181042975,438.899181042975,438.899181042975,438.899181042975,438.899181042975,438.899181042975,438.899181042975,493.840833203923,0.0375,25900,3,0.98
258,373.06,371.67,347.05,216.26,-2.15,405.879449609197,439.034640097707,439.034640097707,439.034640097707,439.034640097707,439.034640097707,439.034640097707,439.034640097707,439.034640097707,439.034640097707,493.976292258655,0.0375,25900,3,0.98
259,373.16,371.62,347.11,215.99,-2.25,405.997526756952,439.17002024946,439.17002024946,439.17002024946,439.17002024946,439.17002024946,439.17002024946,439.17002024946,439.17002024946,439.17002024946,494.111672410408,0.0375,25900,3,0.98
260,373.28,371.59,347.15,215.79,-8.95,406.115529848843,439.305321506559,439.305321506559,439.305321506559,439.305321506559,439.305321506559,439.305321506559,439.305321506559,439.305321506559,439.305321506559,494.246973667507,0.0375,25900,3,0.98
261,373.51,371.62,347.17,215.78,-6.36,406.233458901135,439.440543877381,439.440543877381,439.440543877381,439.440543877381,439.440543877381,439.440543877381,439.440543877381,439.440543877381,439.440543877381,494.38219603833,0.0375,25900,3,0.98
262,373.79,371.66,347.16,215.78,-8.12,406.351313930133,439.575687370355,439.575687370355,439.575687370355,439.575687370355,439.575687370355,439.575687370355,439.575687370355,439.575687370355,439.575687370355,494.517339531303,0.0375,25900,3,0.98
263,373.98,371.78,347.17,215.69,-6.7,406.469094952182,439.71075199396,439.71075199396,439.71075199396,439.71075199396,439.71075199396,439.71075199396,439.71075199396,439.71075199396,439.71075199396,494.652404154909,0.0375,25900,3,0.98
264,374.07,372.0,347.25,215.56,-7.62,406.586801983666,439.845737756732,439.845737756732,439.845737756732,439.845737756732,439.845737756732,439.845737756732,439.845737756732,439.845737756732,439.845737756732,494.787389917681,0.0375,25900,3,0.98
265,374.02,372.14,347.34,215.46,-4.28,406.704435041013,439.980644667256,439.980644667256,439.980644667256,439.980644667256,439.980644667256,439.980644667256,439.980644667256,439.980644667256,439.980644667256,494.922296828204,0.0375,25900,3,0.98
266,373.99,372.23,347.4,215.45,-7.13,406.821994140683,440.115472734167,440.115472734167,440.115472734167,440.115472734167,440.115472734167,440.115472734167,440.115472734167,440.115472734167,440.115472734167,495.057124895116,0.0375,25900,3,0.98
267,373.95,372.33,347.48,215.5,-7.11,406.939479299182,440.250221966157,440.250221966157,440.250221966157,440.250221966157,440.250221966157,440.250221966157,440.250221966157,440.250221966157,440.250221966157,495.191874127106,0.0375,25900,3,0.98
268,373.9,372.35,347.6,215.77,-5.11,407.056890533054,440.384892371967,440.384892371967,440.384892371967,440.384892371967,440.384892371967,440.384892371967,440.384892371967,440.384892371967,440.384892371967,495.326544532915,0.0375,25900,3,0.98
269,373.87,372.36,347.75,215.8,-6.89,407.17422785888,440.519483960389,440.519483960389,440.519483960389,440.519483960389,440.519483960389,440.519483960389,440.519483960389,440.519483960389,440.519483960389,495.461136121337,0.0375,25900,3,0.98
270,373.92,372.41,347.89,215.9,-7.87,407.291491293285,440.653996740269,440.653996740269,440.653996740269,440.653996740269,440.653996740269,440.653996740269,440.653996740269,440.653996740269,440.653996740269,495.595648901217,0.0375,25900,3,0.98
271,373.93,372.55,348.07,216.14,-9.03,407.408680852929,440.788430720503,440.788430720503,440.788430720503,440.788430720503,440.788430720503,440.788430720503,440.788430720503,440.788430720503,440.788430720503,495.730082881451,0.0375,25900,3,0.98
272,373.9,372.6,348.19,216.27,-9.1,407.525796554514,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,440.922785910041,495.864438070989,0.0375,25900,3,0.98
273,373.78,372.54,348.24,216.21,-8.37,407.642838414781,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,441.057062317882,495.998714478831,0.0375,25900,3,0.98
274,373.74,372.42,348.28,216.25,-7.09,407.759806450509,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,441.19125995308,496.132912114028,0.0375,25900,3,0.98
275,373.79,372.34,348.4,216.25,-7.08,407.876700678518,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,441.325378824737,496.267030985685,0.0375,25900,3,0.98
276,373.88,372.29,348.53,216.28,-7.12,407.993521115665,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,441.459418942008,496.401071102957,0.0375,25900,3,0.98
277,373.93,372.26,348.64,216.3,-6.41,408.110267778849,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,441.593380314102,496.53503247505,0.0375,25900,3,0.98
278,373.94,372.27,348.72,216.27,-7.39,408.226940685006,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,441.727262950275,496.668915111223,0.0375,25900,3,0.98
279,373.99,372.39,348.79,216.29,-7.46,408.34353985111,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,441.861066859837,496.802719020785,0.0375,25900,3,0.98
280,374.1,372.63,348.87,216.39,-7.22,408.460065294178,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,441.99479205215,496.936444213098,0.0375,25900,3,0.98
281,374.15,372.79,348.94,216.45,-5.31,408.576517031261,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,442.128438536626,497.070090697574,0.0375,25900,3,0.98
282,374.12,372.76,348.96,216.51,-6.25,408.692895079452,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,442.262006322728,497.203658483677,0.0375,25900,3,0.98
283,374.11,372.66,349.07,216.49,-4.53,408.809199455883,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,442.395495419972,497.33714758092,0.0375,25900,3,0.98
284,374.07,372.56,349.17,216.62,-3.87,408.925430177722,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,442.528905837923,497.470557998872,0.0375,25900,3,0.98
285,373.98,372.47,349.16,216.71,-3.29,409.041587262178,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,442.662237586199,497.603889747148,0.0375,25900,3,0.98
286,373.91,372.34,349.08,216.77,-2.02,409.157670726499,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,442.795490674468,497.737142835417,0.0375,25900,3,0.98
287,373.87,372.26,348.99,217.0,-3.07,409.273680587971,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,442.92866511245,497.870317273398,0.0375,25900,3,0.98
