Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf
0,360.64,359.8,359.8,359.93,359.42,360.94,358.32,358.7,356.14,336.16,342.44,0.1575,21250,3,0.98
1,360.65,359.84,359.79,359.92,359.4,360.93,358.44,358.85,356.06,336.03,342.64,0.1575,21250,3,0.98
2,360.71,359.97,359.83,359.97,359.43,360.95,358.7,359.23,356.19,335.99,342.71,0.1575,21250,3,0.98
3,360.81,360.14,359.91,360.06,359.47,361.01,358.96,359.61,356.46,335.99,342.78,0.1575,21250,3,0.98
4,360.91,360.3,359.98,360.17,359.53,361.09,359.21,359.97,356.84,336.04,342.81,0.1575,21250,3,0.98
5,361.02,360.46,360.05,360.29,359.59,361.2,359.44,360.3,357.24,336.13,342.96,0.1575,21250,3,0.98
6,361.15,360.66,360.18,360.42,359.68,361.34,359.79,360.57,357.79,336.16,343.09,0.1575,21250,3,0.98
7,361.28,360.7,360.3,360.55,359.8,361.44,360.1,360.78,358.27,336.07,343.04,0.1575,21250,3,0.98
8,361.39,360.7,360.36,360.64,359.88,361.52,360.26,360.86,358.5,335.95,343.06,0.1575,21250,3,0.98
9,361.46,360.73,360.4,360.77,359.97,361.63,360.42,360.92,358.72,335.84,343.09,0.1575,21250,3,0.98
10,361.53,360.72,360.45,360.89,360.05,361.72,360.53,360.99,358.9,335.75,343.08,0.1575,21250,3,0.98
11,361.61,360.65,360.49,361.02,360.15,361.8,360.64,361.03,359.04,335.69,343.16,0.1575,21250,3,0.98
12,361.67,360.64,360.54,361.14,360.25,361.89,360.72,361.11,359.16,335.63,343.07,0.1575,21250,3,0.98
13,361.72,360.64,360.57,361.25,360.35,361.97,360.8,361.19,359.25,335.59,343.11,0.1575,21250,3,0.98
14,361.74,360.61,360.58,361.36,360.45,362.06,360.88,361.29,359.27,335.58,343.18,0.1575,21250,3,0.98
15,361.79,360.57,360.6,361.43,360.59,362.16,361.03,361.34,359.25,335.61,343.13,0.1575,21250,3,0.98
16,361.82,360.63,360.63,361.47,360.71,362.26,361.15,361.38,359.13,335.7,343.34,0.1575,21250,3,0.98
