Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf
0,360.68,360.03,359.97,360.36,359.65,361.21,358.6,358.65,354.75,333.08,343.71,0.1575,21250,3,0.98
1,360.74,360.16,360.0,360.41,359.68,361.27,358.79,358.91,355.31,332.93,343.78,0.1575,21250,3,0.98
2,360.88,360.37,360.08,360.49,359.76,361.34,359.09,359.2,356.02,332.94,343.79,0.1575,21250,3,0.98
3,360.99,360.51,360.15,360.55,359.83,361.4,359.3,359.42,356.5,333.01,343.69,0.1575,21250,3,0.98
4,361.1,360.63,360.21,360.67,359.9,361.49,359.52,359.74,356.94,333.09,343.71,0.1575,21250,3,0.98
5,361.21,360.75,360.28,360.77,359.98,361.55,359.74,360.04,357.31,333.2,343.73,0.1575,21250,3,0.98
6,361.31,360.84,360.35,360.88,360.07,361.62,359.9,360.3,357.53,333.3,343.75,0.1575,21250,3,0.98
7,361.39,360.88,360.4,361.0,360.15,361.68,360.03,360.52,357.65,333.39,343.79,0.1575,21250,3,0.98
8,361.47,360.94,360.46,361.12,360.23,361.77,360.15,360.73,357.74,333.49,343.76,0.1575,21250,3,0.98
9,361.56,360.94,360.54,361.24,360.36,361.86,360.39,360.91,357.82,333.68,343.7,0.1575,21250,3,0.98
10,361.65,360.89,360.61,361.32,360.46,361.91,360.62,361.02,358.0,333.86,343.77,0.1575,21250,3,0.98
11,361.67,360.83,360.64,361.4,360.52,361.98,360.75,361.17,358.14,333.98,343.89,0.1575,21250,3,0.98
12,361.65,360.8,360.67,361.47,360.58,362.05,360.86,361.31,358.28,334.09,343.85,0.1575,21250,3,0.98
13,361.66,360.8,360.69,361.53,360.64,362.13,360.97,361.41,358.41,334.21,343.89,0.1575,21250,3,0.98
14,361.68,360.83,360.74,361.6,360.69,362.21,361.1,361.45,358.52,334.31,344.05,0.1575,21250,3,0.98
15,361.7,360.87,360.78,361.68,360.73,362.29,361.19,361.42,358.64,334.4,344.11,0.1575,21250,3,0.98
16,361.72,360.9,360.83,361.75,360.77,362.37,361.31,361.4,358.74,334.48,344.1,0.1575,21250,3,0.98
