Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf
0,359.59,359.21,359.6,360.18,359.5,361.49,358.95,359.5,352.75,323.81,191.48,0.1575,21250,3,0.76
1,359.57,359.21,359.59,360.17,359.49,361.48,358.97,359.55,352.86,323.76,192.16,0.1575,21250,3,0.76
2,359.62,359.29,359.63,360.21,359.52,361.52,359.12,359.72,353.1,323.75,192.91,0.1575,21250,3,0.76
3,359.71,359.42,359.69,360.29,359.55,361.58,359.29,359.89,353.37,323.78,193.71,0.1575,21250,3,0.76
4,359.89,359.65,359.82,360.37,359.66,361.66,359.57,360.09,353.86,323.86,194.14,0.1575,21250,3,0.76
5,360.09,359.88,359.95,360.48,359.79,361.75,359.86,360.28,354.39,323.94,194.54,0.1575,21250,3,0.76
6,360.21,360.01,360.06,360.58,359.89,361.85,360.04,360.48,354.76,324.0,195.42,0.1575,21250,3,0.76
7,360.33,360.14,360.15,360.65,359.99,361.93,360.2,360.63,355.13,324.1,196.05,0.1575,21250,3,0.76
8,360.45,360.27,360.25,360.75,360.1,362.05,360.34,360.85,355.5,324.23,196.6,0.1575,21250,3,0.76
9,360.57,360.37,360.35,360.83,360.2,362.16,360.48,361.05,355.88,324.39,197.22,0.1575,21250,3,0.76
10,360.68,360.46,360.44,360.9,360.27,362.29,360.59,361.23,356.25,324.57,197.79,0.1575,21250,3,0.76
11,360.78,360.54,360.53,360.96,360.37,362.4,360.71,361.37,356.59,324.77,198.35,0.1575,21250,3,0.76
12,360.93,360.64,360.67,361.03,360.48,362.51,360.84,361.48,356.92,325.06,198.8,0.1575,21250,3,0.76
13,361.06,360.73,360.79,361.09,360.57,362.62,360.9,361.56,357.09,325.34,199.4,0.1575,21250,3,0.76
14,361.14,360.78,360.85,361.12,360.62,362.67,360.95,361.6,357.21,325.51,199.88,0.1575,21250,3,0.76
15,361.24,360.82,360.92,361.19,360.68,362.74,361.0,361.67,357.37,325.67,200.38,0.1575,21250,3,0.76
16,361.31,360.84,361.0,361.26,360.74,362.82,361.07,361.74,357.52,325.85,200.96,0.1575,21250,3,0.76
17,361.38,360.89,361.06,361.36,360.8,362.87,361.13,361.76,357.65,326.02,201.37,0.1575,21250,3,0.76
18,361.45,360.91,361.13,361.48,360.86,362.93,361.16,361.83,357.76,326.15,201.95,0.1575,21250,3,0.76
19,361.5,360.94,361.18,361.6,360.91,362.97,361.18,361.92,357.84,326.3,202.49,0.1575,21250,3,0.76
20,361.55,360.98,361.23,361.72,360.99,363.01,361.19,361.99,357.91,326.41,203.07,0.1575,21250,3,0.76
21,361.59,360.99,361.28,361.79,361.05,363.04,361.18,362.03,358.01,326.54,203.64,0.1575,21250,3,0.76
22,361.64,360.97,361.34,361.89,361.14,363.1,361.2,362.08,358.14,326.71,203.97,0.1575,21250,3,0.76
23,361.69,360.92,361.38,361.97,361.21,363.15,361.22,362.09,358.27,326.88,204.45,0.1575,21250,3,0.76
24,361.73,360.93,361.39,362.04,361.25,363.21,361.24,362.1,358.37,327.0,205.0,0.1575,21250,3,0.76
25,361.76,360.96,361.4,362.1,361.29,363.25,361.25,362.13,358.44,327.1,205.44,0.1575,21250,3,0.76
26,361.79,361.0,361.41,362.16,361.33,363.3,361.29,362.19,358.52,327.22,205.85,0.1575,21250,3,0.76
27,361.82,361.05,361.42,362.21,361.36,363.34,361.33,362.24,358.54,327.35,206.34,0.1575,21250,3,0.76
28,361.86,361.09,361.44,362.25,361.39,363.37,361.4,362.25,358.5,327.49,206.82,0.1575,21250,3,0.76
29,361.89,361.11,361.44,362.27,361.42,363.42,361.46,362.25,358.41,327.61,207.24,0.1575,21250,3,0.76
30,361.89,361.05,361.44,362.31,361.45,363.47,361.5,362.33,358.27,327.74,207.77,0.1575,21250,3,0.76
31,361.91,360.98,361.44,362.31,361.51,363.51,361.51,362.38,358.08,327.94,208.22,0.1575,21250,3,0.76
32,361.91,360.94,361.46,362.32,361.56,363.53,361.54,362.42,357.97,328.15,208.56,0.1575,21250,3,0.76
33,361.89,360.93,361.48,362.33,361.58,363.57,361.57,362.46,358.01,328.29,208.95,0.1575,21250,3,0.76
34,361.86,360.9,361.49,362.34,361.59,363.61,361.59,362.48,358.09,328.44,209.47,0.1575,21250,3,0.76
35,361.83,360.86,361.5,362.35,361.59,363.63,361.61,362.48,358.2,328.6,209.9,0.1575,21250,3,0.76
36,361.81,360.82,361.5,362.36,361.59,363.67,361.63,362.5,358.33,328.77,210.24,0.1575,21250,3,0.76
37,361.79,360.77,361.5,362.35,361.59,363.7,361.67,362.52,358.48,328.95,210.6,0.1575,21250,3,0.76
38,361.79,360.74,361.5,362.33,361.59,363.72,361.71,362.56,358.62,329.11,211.05,0.1575,21250,3,0.76
39,361.79,360.72,361.48,362.31,361.58,363.72,361.77,362.62,358.73,329.28,211.52,0.1575,21250,3,0.76
40,361.82,360.72,361.48,362.28,361.59,363.71,361.86,362.67,358.87,329.55,211.96,0.1575,21250,3,0.76
41,361.83,360.73,361.47,362.26,361.59,363.69,361.9,362.71,359.03,329.82,212.37,0.1575,21250,3,0.76
42,361.85,360.74,361.47,362.25,361.6,363.68,361.91,362.72,359.12,329.97,212.85,0.1575,21250,3,0.76
43,361.84,360.76,361.49,362.24,361.61,363.66,361.88,362.68,359.21,330.11,213.14,0.1575,21250,3,0.76
44,361.84,360.79,361.5,362.24,361.61,363.65,361.84,362.65,359.28,330.25,213.54,0.1575,21250,3,0.76
45,361.87,360.8,361.49,362.24,361.61,363.63,361.82,362.62,359.34,330.37,213.95,0.1575,21250,3,0.76
46,361.9,360.82,361.5,362.25,361.61,363.63,361.77,362.61,359.38,330.51,214.2,0.1575,21250,3,0.76
47,361.95,360.84,361.49,362.27,361.6,363.62,361.77,362.61,359.41,330.65,214.64,0.1575,21250,3,0.76
48,362.03,360.88,361.51,362.27,361.61,363.61,361.75,362.6,359.52,330.88,214.85,0.1575,21250,3,0.76
49,362.08,360.9,361.51,362.27,361.59,363.6,361.71,362.59,359.65,331.09,215.2,0.1575,21250,3,0.76
50,362.12,360.92,361.52,362.26,361.59,363.59,361.65,362.58,359.73,331.25,215.51,0.1575,21250,3,0.76
51,362.14,360.93,361.52,362.25,361.58,363.56,361.6,362.57,359.81,331.43,215.78,0.1575,21250,3,0.76
52,362.17,360.92,361.52,362.23,361.57,363.52,361.56,362.57,359.91,331.64,216.24,0.1575,21250,3,0.76
53,362.2,360.9,361.53,362.21,361.57,363.49,361.52,362.58,359.98,331.85,216.6,0.1575,21250,3,0.76
54,362.21,360.87,361.54,362.18,361.57,363.45,361.49,362.59,360.0,332.05,216.91,0.1575,21250,3,0.76
55,362.21,360.84,361.54,362.16,361.54,363.42,361.47,362.56,359.95,332.22,217.29,0.1575,21250,3,0.76
56,362.23,360.84,361.55,362.14,361.54,363.41,361.49,362.5,359.91,332.38,217.75,0.1575,21250,3,0.76
57,362.27,360.83,361.56,362.11,361.5,363.39,361.49,362.46,359.9,332.58,217.96,0.1575,21250,3,0.76
58,362.28,360.83,361.56,362.07,361.45,363.37,361.45,362.44,359.9,332.77,218.39,0.1575,21250,3,0.76
59,362.29,360.82,361.55,362.05,361.4,363.34,361.4,362.44,359.88,332.9,218.71,0.1575,21250,3,0.76
60,362.32,360.85,361.55,362.01,361.35,363.3,361.33,362.44,359.87,333.01,219.07,0.1575,21250,3,0.76
61,362.32,360.86,361.56,361.97,361.29,363.25,361.3,362.42,359.85,333.12,219.37,0.1575,21250,3,0.76
62,362.31,360.86,361.54,361.93,361.22,363.21,361.29,362.4,359.83,333.23,219.73,0.1575,21250,3,0.76
63,362.31,360.86,361.56,361.89,361.16,363.18,361.3,362.39,359.82,333.34,220.0,0.1575,21250,3,0.76
64,362.3,360.84,361.54,361.85,361.09,363.12,361.31,362.35,359.8,333.42,220.23,0.1575,21250,3,0.76
65,362.29,360.81,361.52,361.8,361.03,363.07,361.32,362.31,359.75,333.53,220.39,0.1575,21250,3,0.76
66,362.29,360.79,361.52,361.77,360.96,363.02,361.32,362.23,359.63,333.69,220.98,0.1575,21250,3,0.76
67,362.29,360.78,361.49,361.76,360.9,362.98,361.32,362.15,359.47,333.82,221.31,0.1575,21250,3,0.76
68,362.31,360.78,361.49,361.79,360.89,362.94,361.32,362.09,359.4,333.92,221.68,0.1575,21250,3,0.76
69,362.31,360.77,361.47,361.83,360.86,362.91,361.32,361.99,359.3,334.0,222.02,0.1575,21250,3,0.76
70,362.31,360.8,361.46,361.85,360.85,362.89,361.31,361.95,359.21,334.07,222.42,0.1575,21250,3,0.76
71,362.3,360.82,361.44,361.89,360.87,362.87,361.29,361.92,359.14,334.16,222.73,0.1575,21250,3,0.76
72,362.3,360.86,361.43,361.93,360.91,362.87,361.26,361.92,359.09,334.24,223.04,0.1575,21250,3,0.76
73,362.3,360.9,361.42,361.94,360.94,362.87,361.24,361.96,359.02,334.35,223.32,0.1575,21250,3,0.76
74,362.26,360.92,361.42,361.93,360.98,362.87,361.2,362.0,358.96,334.47,223.43,0.1575,21250,3,0.76
75,362.24,360.92,361.41,361.92,361.02,362.88,361.18,362.0,358.91,334.62,223.69,0.1575,21250,3,0.76
76,362.13,360.87,361.41,361.92,361.08,362.9,361.2,362.0,358.86,334.85,223.98,0.1575,21250,3,0.76
77,361.99,360.79,361.39,361.93,361.15,362.91,361.21,362.02,358.85,335.05,224.27,0.1575,21250,3,0.76
78,361.89,360.73,361.38,361.93,361.18,362.91,361.23,362.01,358.86,335.18,224.54,0.1575,21250,3,0.76
79,361.82,360.71,361.37,361.93,361.22,362.92,361.25,361.99,358.89,335.29,224.8,0.1575,21250,3,0.76
80,361.75,360.69,361.36,361.91,361.24,362.94,361.28,361.95,358.95,335.4,225.11,0.1575,21250,3,0.76
81,361.7,360.66,361.35,361.9,361.25,362.97,361.33,361.95,359.01,335.51,225.42,0.1575,21250,3,0.76
82,361.65,360.63,361.34,361.88,361.25,363.01,361.38,361.97,359.05,335.6,225.66,0.1575,21250,3,0.76
83,361.61,360.59,361.32,361.86,361.25,363.03,361.43,362.01,359.05,335.7,225.89,0.1575,21250,3,0.76
84,361.59,360.57,361.3,361.86,361.22,363.03,361.46,362.06,359.06,335.82,226.09,0.1575,21250,3,0.76
85,361.59,360.54,361.28,361.86,361.21,363.05,361.51,362.1,359.13,335.99,226.55,0.1575,21250,3,0.76
86,361.62,360.5,361.26,361.85,361.19,363.05,361.54,362.12,359.25,336.21,226.94,0.1575,21250,3,0.76
87,361.65,360.51,361.24,361.84,361.2,363.03,361.58,362.17,359.35,336.36,226.98,0.1575,21250,3,0.76
88,361.68,360.5,361.23,361.85,361.21,363.0,361.58,362.21,359.45,336.49,227.01,0.1575,21250,3,0.76
89,361.72,360.5,361.22,361.84,361.22,362.97,361.58,362.19,359.53,336.6,227.19,0.1575,21250,3,0.76
90,361.75,360.5,361.21,361.85,361.25,362.95,361.58,362.16,359.63,336.73,227.58,0.1575,21250,3,0.76
91,361.8,360.51,361.2,361.86,361.25,362.94,361.54,362.14,359.72,336.87,227.74,0.1575,21250,3,0.76
92,361.84,360.51,361.2,361.88,361.26,362.95,361.48,362.11,359.81,336.99,227.93,0.1575,21250,3,0.76
93,361.88,360.5,361.18,361.88,361.26,362.96,361.4,362.05,359.88,337.11,228.4,0.1575,21250,3,0.76
94,361.98,360.47,361.14,361.89,361.26,362.94,361.36,361.99,359.99,337.32,228.64,0.1575,21250,3,0.76
95,362.07,360.44,361.09,361.89,361.26,362.92,361.34,361.96,360.09,337.53,228.82,0.1575,21250,3,0.76
96,362.12,360.41,361.06,361.89,361.28,362.88,361.35,361.96,360.15,337.68,229.06,0.1575,21250,3,0.76
97,362.15,360.42,361.02,361.89,361.28,362.86,361.34,361.96,360.18,337.79,229.47,0.1575,21250,3,0.76
98,362.16,360.43,361.0,361.88,361.3,362.84,361.34,361.97,360.22,337.91,229.79,0.1575,21250,3,0.76
99,362.17,360.41,360.97,361.85,361.31,362.83,361.33,361.94,360.22,338.0,229.99,0.1575,21250,3,0.76
100,362.17,360.41,360.97,361.82,361.32,362.84,361.35,361.94,360.2,338.09,230.09,0.1575,21250,3,0.76
101,362.17,360.38,360.95,361.78,361.32,362.84,361.33,361.96,360.17,338.15,230.36,0.1575,21250,3,0.76
102,362.18,360.37,360.95,361.76,361.32,362.82,361.34,361.95,360.12,338.22,230.46,0.1575,21250,3,0.76
103,362.22,360.36,360.96,361.74,361.29,362.78,361.36,361.94,360.0,338.33,230.6,0.1575,21250,3,0.76
104,362.27,360.35,360.93,361.71,361.26,362.74,361.34,361.95,359.88,338.45,230.87,0.1575,21250,3,0.76
105,362.3,360.37,360.92,361.69,361.25,362.72,361.3,361.98,359.8,338.52,230.99,0.1575,21250,3,0.76
