Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf
0,359.36,358.83,359.83,360.44,359.88,361.84,359.26,359.61,355.65,331.49,342.52,0.1575,19400,3,0.98
1,359.38,358.91,359.83,360.47,359.89,361.86,359.39,359.81,355.45,331.24,342.68,0.1575,19400,3,0.98
2,359.45,359.02,359.87,360.52,359.92,361.92,359.54,360.06,355.26,331.06,342.58,0.1575,19400,3,0.98
3,359.56,359.17,359.94,360.56,359.97,361.95,359.68,360.15,355.17,330.97,342.64,0.1575,19400,3,0.98
4,359.67,359.3,359.99,360.64,360.03,362.03,359.82,360.29,355.21,330.9,342.75,0.1575,19400,3,0.98
5,359.78,359.45,360.07,360.73,360.09,362.11,359.95,360.47,355.33,330.84,342.82,0.1575,19400,3,0.98
6,359.94,359.64,360.2,360.82,360.19,362.21,360.08,360.65,355.59,330.81,342.79,0.1575,19400,3,0.98
7,360.11,359.84,360.33,360.91,360.29,362.31,360.21,360.81,355.87,330.8,342.83,0.1575,19400,3,0.98
8,360.21,359.95,360.4,360.97,360.35,362.38,360.26,360.89,355.98,330.79,342.94,0.1575,19400,3,0.98
9,360.3,360.05,360.47,361.05,360.4,362.48,360.35,360.97,356.07,330.83,342.98,0.1575,19400,3,0.98
10,360.4,360.13,360.53,361.12,360.46,362.57,360.46,361.03,356.18,330.87,343.0,0.1575,19400,3,0.98
11,360.5,360.19,360.58,361.2,360.51,362.64,360.56,361.0,356.33,330.91,343.01,0.1575,19400,3,0.98
12,360.58,360.21,360.62,361.26,360.55,362.69,360.69,361.0,356.54,330.95,342.97,0.1575,19400,3,0.98
13,360.65,360.24,360.69,361.34,360.6,362.75,360.83,361.05,356.75,330.98,342.94,0.1575,19400,3,0.98
14,360.74,360.24,360.75,361.43,360.64,362.81,360.94,361.12,356.97,331.01,342.96,0.1575,19400,3,0.98
15,360.82,360.24,360.85,361.48,360.73,362.85,360.99,361.17,357.2,331.09,342.92,0.1575,19400,3,0.98
16,360.9,360.27,360.94,361.56,360.8,362.9,360.93,361.23,357.37,331.15,342.93,0.1575,19400,3,0.98
17,360.93,360.28,360.99,361.64,360.88,362.95,360.87,361.29,357.43,331.18,343.06,0.1575,19400,3,0.98
