Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,360.08,23.83,359.66,350.89,174.44,74.51,63.28,358.94,359.16,255.77,122.97,23.69,24.75,359.04,330.793106242363,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,403.603390296693
1,360.2,23.89,359.72,350.83,174.24,74.64,63.26,358.92,359.17,255.67,123.27,23.69,24.75,359.22,330.864251398651,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,403.682781913905
2,360.42,23.82,359.83,350.86,174.15,74.83,63.26,358.96,359.28,255.63,123.67,23.7,24.75,359.5,330.935381434077,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,403.762158600336
3,360.69,23.88,359.97,350.95,174.18,75.08,63.27,359.06,359.45,255.66,124.18,23.69,24.75,359.81,331.006496347661,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,403.841520353886
4,360.96,23.94,360.15,351.1,174.32,75.4,63.31,359.22,359.65,255.67,124.64,23.69,24.75,360.13,331.077596138427,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,403.920867172453
5,361.2,23.88,360.33,351.27,174.77,75.77,63.37,359.41,359.86,255.72,125.32,23.69,24.75,360.44,331.148680805403,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,404.000199053941
6,361.4,23.8,360.53,351.47,175.4,76.2,63.47,359.62,360.09,255.76,126.0,23.69,24.75,360.73,331.219750347615,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,404.079515996255
7,361.66,23.7,360.84,351.83,176.41,76.82,63.7,359.97,360.23,255.75,126.24,23.69,24.74,361.14,331.290804764094,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,404.158817997302
8,361.88,23.84,361.16,352.19,177.28,77.36,63.97,360.33,360.45,255.71,126.6,23.69,24.74,361.55,331.361844053873,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,404.238105054992
9,362.06,23.82,361.36,352.4,177.67,77.71,64.18,360.57,360.68,255.65,126.88,23.7,24.74,361.77,331.432868215987,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,404.317377167237
