Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,360.85,358.05,360.09,352.25,169.74,69.55,58.9,359.76,358.96,254.43,114.87,25.7,28.49,359.25,409.853015468486,443.60123133145,419.345312461346,376.807873453812,342.983981042505,322.09145824926,310.83483281474,305.288444772657,302.900654840468,302.467716925198,302.673944681826
1,360.79,358.02,360.03,352.1,169.81,69.6,58.93,359.72,358.89,254.1,114.96,25.7,28.5,359.24,409.953214524326,443.716447388901,419.472432854123,376.91524720963,343.058190191388,322.135577803262,310.858514380346,305.300723932786,302.907852550836,302.474015640461,302.68024339709
2,360.73,358.72,359.99,351.99,170.03,69.75,58.97,359.69,358.84,253.88,115.22,25.71,28.49,359.23,410.053270143704,443.831504433645,419.599426805789,377.022564693959,343.132399461417,322.1797206292,310.882219180566,305.313019406925,302.915061614616,302.480324699665,302.686552456294
3,360.67,359.63,359.94,351.89,170.24,69.95,59.02,359.64,358.82,253.71,115.5,25.7,28.49,359.23,410.153182583262,443.946402767696,419.72629445329,377.129825860784,343.206608741454,322.223886652077,310.905947193501,305.325331200227,302.922282043674,302.486644115223,302.692871871852
4,360.61,360.69,359.9,351.83,170.51,70.16,59.11,359.6,358.82,253.62,115.78,25.7,28.49,359.22,410.252952123444,444.061142651223,419.853035912439,377.237030656866,343.280817918443,322.268075796407,310.929698397071,305.337659317767,302.929513849864,302.492973899545,302.699201656174
5,360.57,361.57,359.87,351.8,170.66,70.39,59.22,359.55,358.82,253.57,115.89,25.69,28.49,359.23,410.3525790266,444.175724373372,419.9796513142,377.344179034926,343.355026881325,322.312287987147,310.953472769168,305.350003764559,302.936757045013,302.499314065027,302.705541821656
6,360.49,362.15,359.8,351.82,170.78,70.76,59.41,359.48,358.83,253.59,116.02,25.68,28.49,359.18,410.452063561985,444.290148209848,420.106140782921,377.451270945794,343.42923551875,322.356523149156,310.977270287569,305.362364545547,302.944011640931,302.505664624057,302.711892380686
7,360.42,362.47,359.75,351.87,171.26,71.21,59.63,359.43,358.87,253.7,116.26,25.69,28.49,359.11,410.551405994983,444.404414441339,420.232504445832,377.558306341787,343.503443720022,322.400781207415,311.001090929969,305.374741665606,302.951277649406,302.512025589012,302.718253345641
8,360.37,362.96,359.72,351.93,171.73,71.54,59.81,359.38,358.89,253.85,116.76,25.69,28.48,359.07,410.650606595035,444.518523340399,420.358742426311,377.665285174259,343.577651374393,322.445062086863,311.024934673957,305.387135129544,302.958555082206,302.518396972261,302.72462472889
9,360.34,363.36,359.69,351.99,172.22,71.88,60.0,359.34,358.93,254.0,117.21,25.69,28.5,359.02,410.749665620963,444.632475195418,420.484854856145,377.772207398126,343.651858372427,322.489365712725,311.048801497074,305.399544942105,302.965843951077,302.52477878616,302.731006542789
10,360.3,363.59,359.66,352.06,172.71,72.26,60.21,359.3,358.97,254.17,117.69,25.71,28.5,358.99,410.848583347821,444.746270266294,420.610841852747,377.879072963484,343.726064603471,322.533692009905,311.072691376702,305.411971107955,302.973144267745,302.531171043057,302.737398799686
11,360.27,363.8,359.62,352.14,173.09,72.63,60.44,359.26,359.0,254.35,118.12,25.7,28.5,358.97,410.947360033498,444.859908839792,420.736703547656,377.985881826077,343.800269958812,322.578040903747,311.096604290206,305.424413631706,302.980456043914,302.537573755287,302.743801511916
12,360.25,363.98,359.59,352.22,173.29,72.98,60.68,359.23,359.04,254.52,118.41,25.71,28.49,358.95,411.045995941777,444.973391191395,420.862440066895,378.092633940064,343.874474329488,322.622412319509,311.120540214838,305.436872517893,302.987779291266,302.543986935176,302.750214691805
13,360.24,364.16,359.57,352.3,173.38,73.31,60.93,359.2,359.07,254.66,118.64,25.7,28.5,358.94,411.144491336718,445.086717594733,420.988051535906,378.199329259844,343.948677606838,322.66680618249,311.144499127755,305.449347770988,302.995114021463,302.550410595038,302.756638351667
14,360.22,364.27,359.51,352.44,173.46,73.82,61.35,359.13,359.08,254.75,118.75,25.69,28.49,358.92,411.242846480995,445.199888323906,421.113538080539,378.305967740441,344.022879682646,322.711222418076,311.168481006038,305.461839395392,303.002460246143,302.556844747176,302.763072503804
15,360.2,364.35,359.46,352.6,173.61,74.29,61.79,359.08,359.11,254.89,119.0,25.69,28.49,358.91,411.341061641058,445.312903645358,421.238899823022,378.412549335952,344.097080448615,322.755660951607,311.192485826659,305.47434739544,303.009817976925,302.563289403882,302.769517160511
16,360.19,364.44,359.44,352.71,173.7,74.56,62.12,359.04,359.14,255.1,119.27,25.7,28.49,358.9,411.439137070192,445.425763845688,421.364136896335,378.519074004917,344.17127979806,322.800121708791,311.216513566567,305.486871775406,303.017187225404,302.569744577436,302.775972334065
