Time,TC1_tip,TC2,TC3,TC4,TC_9_5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
497,362.61,380.34,386.74,231.23,415.61,419.933230173382,455.190688957459,455.19112170131,451.19612510499,438.387683312451,423.363652771294,410.9302950518,404.356175009779,403.87937684815,403.87937684815,407.470372900634,0.0375,25900,100,0.98
498,362.63,380.37,386.73,231.16,413.46,420.038447569772,455.311958364763,455.312373056515,451.330456438455,438.53450128915,423.518294155116,411.089221672088,404.516806238583,404.040117645017,404.040117645017,407.631113697501,0.0375,25900,100,0.98
499,362.65,380.38,386.66,230.99,410.66,420.14354022419,455.433089004844,455.433485888806,451.464644667635,438.681187841201,423.672835921798,411.24805734463,404.677357228172,404.200778962772,404.200778962772,407.791775015256,0.0375,25900,100,0.98
500,362.67,380.41,386.53,230.77,407.91,420.24850838766,455.554081156943,455.554460487776,451.59869000749,438.827743052664,423.827267039417,411.406801911805,404.837827766725,404.361360585842,404.361360585842,407.952356638326,0.0375,25900,100,0.98
501,362.69,380.42,386.3,230.61,405.31,420.353352310082,455.674935099259,455.675297142283,451.732592672671,438.974167007775,423.981587458055,411.565455217042,404.998217643657,404.521862299909,404.521862299909,408.112858352393,0.0375,25900,100,0.98
502,362.71,380.43,386.0,230.6,403.61,420.458072242836,455.795651109552,455.795996137176,451.866352874323,439.120459788776,424.135797126986,411.724017103764,405.158526648755,404.682283891049,404.682283891049,408.273279943533,0.0375,25900,100,0.98
503,362.75,380.44,385.38,230.58,401.07,420.562668433715,455.916229464217,455.916557760317,451.999970827025,439.266621480736,424.289895997987,411.882487417764,405.318754574134,404.842625147664,404.842625147664,408.433621200147,0.0375,25900,100,0.98
504,362.78,380.44,384.63,230.44,398.58,420.667141129873,456.036670438685,456.036982298131,452.133446744387,439.412645193463,424.443884023325,412.040866005835,405.478901213156,405.002885859419,405.002885859419,408.593881911903,0.0375,25900,100,0.98
505,362.81,380.44,384.05,230.09,396.24,420.771490577758,456.156974307595,456.157270036182,452.266780839616,439.558517876531,424.597761155864,412.199152715718,405.638966360304,405.163065817116,405.163065817116,408.754061869599,0.0375,25900,100,0.98
506,362.82,380.42,383.43,229.7,394.15,420.87571702896,456.277141345672,456.277421250594,452.399973316897,439.704259713043,424.751527344814,412.357347393033,405.798949808646,405.323164810181,405.323164810181,408.914160862665,0.0375,25900,100,0.98
507,362.84,380.41,382.79,229.38,392.4,420.979820720068,456.397171824228,456.397436236385,452.533024399819,439.849870796504,424.90518254999,412.515449891807,405.95885135869,405.483182635427,405.483182635427,409.07417868791,0.0375,25900,100,0.98
508,362.86,380.4,382.12,229.06,390.79,421.08380190218,456.517066016556,456.517315266646,452.66579713223,439.995351205583,425.058726721268,412.673460059249,406.118670805539,405.643119084347,405.643119084347,409.23411513683,0.0375,25900,100,0.98
509,362.88,380.38,381.43,228.73,389.47,421.18766081909,456.636824193616,456.637058621868,452.798410328938,440.14070102488,425.212159813278,412.831377746671,406.278407948125,405.80297395225,405.80297395225,409.393970004734,0.0375,25900,100,0.98
510,362.91,380.35,380.74,228.32,388.25,421.291397707924,456.756446624911,456.756666591039,452.930882863848,440.285920346032,425.365481786215,412.989202810065,406.438062589684,405.962747038725,405.962747038725,409.553743091208,0.0375,25900,100,0.98
511,362.93,380.3,379.7,228.0,387.43,421.395012816175,456.875933580525,456.876139445275,453.063214939115,440.431009248358,425.51869259203,413.146935099825,406.597634529056,406.12243813904,406.12243813904,409.713434191524,0.0375,25900,100,0.98
512,362.95,380.25,378.66,227.42,386.25,421.498506382433,456.995285328589,456.995477467061,453.195406768938,440.575967820272,425.671792189731,413.304574472165,406.75712357036,406.282047053713,406.282047053713,409.873043106197,0.0375,25900,100,0.98
513,362.96,380.19,377.94,226.84,384.88,421.601878649155,457.114502136888,457.114680930681,453.327458559578,440.720796144887,425.824780535073,413.462120781422,406.916529516476,406.441573582063,406.441573582063,410.032569634547,0.0375,25900,100,0.98
514,362.97,380.15,377.22,226.21,383.46,421.705129853528,457.23358427185,457.233750116579,453.459370524084,440.86549431066,425.977657588187,413.619573885735,407.075852173845,406.601017526954,406.601017526954,410.192013579437,0.0375,25900,100,0.98
515,362.99,380.1,376.53,225.61,382.04,421.808260234904,457.352531999441,457.352685299868,453.5911428705,441.010062402862,426.130423307456,413.77693364247,407.235091348589,406.76037869096,406.76037869096,410.351374743443,0.0375,25900,100,0.98
516,363.0,380.04,375.82,225.29,381.16,421.911270032533,457.471345584844,457.471486753714,453.722775805328,441.154500506093,426.283077651332,413.934199909601,407.394246847692,406.919656877538,406.919656877538,410.510652930022,0.0375,25900,100,0.98
517,363.02,379.99,375.13,224.87,380.07,422.014159482339,457.59002529192,457.590154753907,453.854269538198,441.298808707608,426.435620580714,414.091372547469,407.553318480495,407.078851892499,407.078851892499,410.669847944983,0.0375,25900,100,0.98
518,363.04,379.91,374.44,224.49,378.98,422.116928820783,457.708571383955,457.708689573653,453.985624276558,441.442987093522,426.588052056205,414.24845141672,407.71230605692,407.237963542257,407.237963542257,410.82895959474,0.0375,25900,100,0.98
519,363.06,379.85,373.76,223.99,377.55,422.219578283229,457.826984123229,457.827091485467,454.116840227591,441.587035750181,426.740372039132,414.405436379096,407.871209388183,407.396991634528,407.396991634528,410.987987687011,0.0375,25900,100,0.98
520,363.08,379.74,372.78,223.44,376.36,422.322108105237,457.945263771466,457.945360759956,454.247917596981,441.730954763277,426.892580490853,414.562327296851,408.030028286227,407.555935977774,407.555935977774,411.146932030258,0.0375,25900,100,0.98
521,363.12,379.63,371.85,222.92,375.57,422.424518519484,458.063410589106,458.063497669638,454.378856592834,441.874744220682,427.044677374869,414.719124034436,408.188762565245,407.714796382711,407.714796382711,411.305792435195,0.0375,25900,100,0.98
522,363.13,379.56,371.25,222.38,374.71,422.526809759369,458.181424836121,458.18150248437,454.509657420984,442.018404209053,427.196662654307,414.875826456497,408.347412039891,407.873572660533,407.873572660533,411.464568713016,0.0375,25900,100,0.98
