Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.08,359.04,359.66,359.16,350.89,330.793106242363,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,403.603390296693,0.084,25900,3,0.98
1,360.2,359.22,359.72,359.17,350.83,330.864251398651,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,403.682781913905,0.084,25900,3,0.98
2,360.42,359.5,359.83,359.28,350.86,330.935381434077,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,403.762158600336,0.084,25900,3,0.98
3,360.69,359.81,359.97,359.45,350.95,331.006496347661,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,403.841520353886,0.084,25900,3,0.98
4,360.96,360.13,360.15,359.65,351.1,331.077596138427,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,403.920867172453,0.084,25900,3,0.98
5,361.2,360.44,360.33,359.86,351.27,331.148680805403,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,404.000199053941,0.084,25900,3,0.98
6,361.4,360.73,360.53,360.09,351.47,331.219750347615,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,404.079515996255,0.084,25900,3,0.98
7,361.66,361.14,360.84,360.23,351.83,331.290804764094,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,404.158817997302,0.084,25900,3,0.98
8,361.88,361.55,361.16,360.45,352.19,331.361844053873,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,404.238105054992,0.084,25900,3,0.98
9,362.06,361.77,361.36,360.68,352.4,331.432868215987,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,404.317377167237,0.084,25900,3,0.98
10,362.24,361.96,361.51,360.88,352.59,331.503877249473,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,404.396634331952,0.084,25900,3,0.98
11,362.38,362.11,361.63,361.07,352.75,331.57487115337,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,404.475876547053,0.084,25900,3,0.98
12,362.5,362.27,361.74,361.24,352.86,331.645849926721,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,404.55510381046,0.084,25900,3,0.98
13,362.64,362.41,361.85,361.43,352.99,331.716813568568,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,404.634316120093,0.084,25900,3,0.98
14,362.76,362.53,361.92,361.57,353.1,331.787762077957,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,404.713513473876,0.084,25900,3,0.98
15,362.88,362.67,362.01,361.78,353.22,331.858695453938,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,404.792695869736,0.084,25900,3,0.98
16,363.12,362.84,362.12,361.99,353.44,331.92961369556,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,404.871863305601,0.084,25900,3,0.98
17,363.41,362.97,362.21,362.17,353.69,332.000516801875,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,404.951015779402,0.084,25900,3,0.98
18,363.59,363.03,362.29,362.34,353.9,332.071404771938,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,405.030153289072,0.084,25900,3,0.98
19,363.74,363.02,362.39,362.5,354.1,332.142277604807,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,405.109275832546,0.084,25900,3,0.98
