time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,357.8,358.8,358.9,359.24,358.55,360.39,358.13,358.75,355.29,334.5
2,357.78,358.76,358.84,359.24,358.54,360.38,358.19,358.92,355.3,334.24
3,357.74,358.85,358.86,359.3,358.58,360.43,358.5,359.24,355.65,333.95
4,357.71,359.01,358.96,359.4,358.67,360.51,358.88,359.56,356.04,333.83
5,357.71,359.14,359.05,359.51,358.74,360.6,359.08,359.79,356.29,333.8
6,357.71,359.29,359.15,359.62,358.84,360.69,359.24,359.94,356.53,333.8
7,357.74,359.44,359.25,359.69,358.92,360.76,359.38,360.0,356.76,333.83
8,357.79,359.6,359.36,359.79,359.02,360.86,359.56,360.09,357.02,333.88
9,357.83,359.75,359.47,359.9,359.12,360.95,359.72,360.25,357.26,333.96
10,357.88,359.88,359.58,360.01,359.21,361.03,359.89,360.42,357.46,334.0
11,357.93,359.98,359.7,360.11,359.3,361.13,360.04,360.61,357.66,334.02
12,358.03,360.11,359.84,360.22,359.42,361.22,360.25,360.78,357.95,333.98
13,358.13,360.26,359.98,360.32,359.53,361.32,360.37,360.93,358.28,333.96
14,358.2,360.37,360.06,360.4,359.61,361.37,360.39,361.03,358.5,333.97
15,358.27,360.43,360.14,360.49,359.7,361.47,360.36,361.19,358.71,334.0
16,358.34,360.48,360.2,360.59,359.8,361.56,360.35,361.3,358.87,334.04
17,358.41,360.52,360.26,360.65,359.89,361.65,360.38,361.35,359.02,334.13
18,358.49,360.57,360.33,360.7,359.98,361.73,360.48,361.37,359.14,334.21
19,358.57,360.63,360.38,360.75,360.07,361.82,360.59,361.39,359.29,334.29
20,358.65,360.69,360.43,360.78,360.14,361.92,360.71,361.38,359.42,334.38
21,358.77,360.76,360.44,360.82,360.21,361.98,360.87,361.38,359.61,334.5
22,358.9,360.88,360.42,360.88,360.25,362.07,361.01,361.42,359.78,334.64
23,358.96,360.94,360.4,360.94,360.28,362.12,361.01,361.52,359.87,334.74
24,359.05,360.94,360.39,360.97,360.31,362.18,361.0,361.65,359.94,334.85
25,359.12,360.91,360.38,360.97,360.36,362.2,360.92,361.75,360.01,334.96
26,359.2,360.87,360.39,360.95,360.38,362.21,360.83,361.79,360.04,335.08
27,359.27,360.84,360.42,360.94,360.41,362.21,360.81,361.84,360.08,335.18
28,359.33,360.88,360.43,360.96,360.4,362.2,360.84,361.85,360.12,335.28
29,359.41,360.89,360.46,360.98,360.39,362.2,360.89,361.77,360.15,335.39
30,359.51,360.83,360.5,361.02,360.39,362.2,360.95,361.67,360.18,335.51
31,359.61,360.79,360.56,361.07,360.37,362.21,360.97,361.63,360.16,335.61
32,359.68,360.74,360.6,361.13,360.37,362.22,360.93,361.65,360.1,335.68
33,359.76,360.71,360.63,361.16,360.4,362.19,360.85,361.72,360.02,335.77
34,359.81,360.67,360.66,361.2,360.4,362.13,360.74,361.75,359.93,335.83
35,359.88,360.64,360.67,361.21,360.42,362.09,360.64,361.73,359.87,335.94
36,359.95,360.58,360.69,361.19,360.44,362.0,360.6,361.68,359.85,336.05
37,360.02,360.53,360.69,361.15,360.46,361.94,360.6,361.66,359.84,336.15
38,360.08,360.47,360.69,361.13,360.47,361.91,360.65,361.64,359.86,336.26
39,360.16,360.41,360.67,361.1,360.46,361.89,360.71,361.66,359.9,336.38
40,360.23,360.41,360.63,361.09,360.44,361.88,360.75,361.7,359.99,336.52
41,360.29,360.43,360.61,361.09,360.42,361.88,360.81,361.74,360.03,336.63
42,360.34,360.43,360.58,361.11,360.41,361.89,360.86,361.75,360.05,336.76
43,360.39,360.43,360.55,361.13,360.38,361.9,360.89,361.69,360.05,336.9
44,360.43,360.43,360.53,361.14,360.35,361.91,360.9,361.63,360.03,336.99
45,360.48,360.42,360.51,361.14,360.35,361.93,360.89,361.53,360.03,337.08
46,360.53,360.41,360.49,361.14,360.34,361.94,360.88,361.39,360.04,337.14
47,360.57,360.43,360.48,361.16,360.34,361.96,360.89,361.27,360.09,337.21
48,360.65,360.44,360.47,361.18,360.35,361.98,360.93,361.16,360.17,337.34
49,360.72,360.48,360.48,361.19,360.38,362.0,360.95,361.11,360.26,337.51
50,360.77,360.51,360.5,361.2,360.39,362.02,360.93,361.02,360.31,337.64
51,360.81,360.51,360.52,361.21,360.41,362.06,360.88,360.94,360.34,337.74
52,360.86,360.48,360.52,361.25,360.41,362.1,360.78,360.91,360.33,337.84
53,360.91,360.46,360.54,361.27,360.41,362.13,360.71,360.86,360.31,337.96
54,360.95,360.45,360.55,361.29,360.4,362.17,360.69,360.84,360.3,338.07
55,361.0,360.46,360.56,361.28,360.41,362.21,360.68,360.93,360.29,338.19
56,361.06,360.45,360.58,361.27,360.39,362.25,360.74,361.04,360.27,338.37
57,361.14,360.43,360.59,361.28,360.37,362.29,360.82,361.18,360.27,338.55
58,361.18,360.41,360.59,361.28,360.36,362.32,360.88,361.26,360.28,338.68
59,361.22,360.42,360.57,361.29,360.34,362.35,360.9,361.25,360.29,338.8
60,361.26,360.43,360.56,361.31,360.35,362.39,360.9,361.24,360.27,338.9
61,361.31,360.43,360.54,361.31,360.37,362.39,360.91,361.23,360.24,339.0
62,361.34,360.45,360.5,361.31,360.39,362.39,360.97,361.25,360.21,339.1
63,361.38,360.48,360.48,361.33,360.4,362.38,361.02,361.29,360.17,339.21
64,361.44,360.51,360.45,361.32,360.42,362.36,360.99,361.32,360.12,339.31
65,361.47,360.56,360.43,361.32,360.43,362.33,360.9,361.41,360.07,339.4
66,361.54,360.64,360.39,361.32,360.43,362.31,360.69,361.45,360.03,339.55
67,361.6,360.69,360.39,361.31,360.41,362.27,360.36,361.38,360.01,339.74
68,361.63,360.67,360.4,361.28,360.42,362.25,360.21,361.3,360.0,339.87
