time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,357.88,358.91,359.38,359.79,359.2,361.0,358.46,359.09,357.54,338.76
2,357.84,358.89,359.37,359.78,359.19,361.0,358.55,359.23,357.55,338.27
3,357.8,359.05,359.47,359.83,359.25,361.04,358.88,359.46,357.82,337.96
4,357.78,359.15,359.56,359.93,359.31,361.11,359.15,359.81,358.08,337.85
5,357.79,359.22,359.66,360.07,359.4,361.21,359.42,360.08,358.36,337.78
6,357.79,359.28,359.74,360.24,359.51,361.34,359.65,360.37,358.62,337.77
7,357.82,359.31,359.8,360.41,359.61,361.47,359.88,360.64,358.88,337.76
8,357.85,359.34,359.84,360.57,359.72,361.6,360.08,360.86,359.13,337.76
9,357.89,359.37,359.89,360.73,359.83,361.75,360.27,361.08,359.38,337.78
10,357.95,359.37,359.96,360.9,359.96,361.9,360.42,361.29,359.61,337.81
11,358.0,359.39,360.03,361.05,360.08,362.06,360.57,361.46,359.82,337.85
12,358.09,359.46,360.14,361.14,360.27,362.15,360.7,361.57,359.98,337.91
13,358.18,359.56,360.25,361.27,360.44,362.29,360.83,361.74,360.04,337.97
14,358.26,359.64,360.32,361.38,360.56,362.42,360.94,361.89,360.1,338.0
15,358.33,359.68,360.39,361.45,360.65,362.54,361.03,362.04,360.14,338.0
16,358.4,359.72,360.45,361.5,360.74,362.65,361.12,362.17,360.19,337.95
17,358.47,359.76,360.5,361.55,360.8,362.72,361.26,362.24,360.24,337.9
18,358.54,359.82,360.57,361.61,360.87,362.81,361.44,362.34,360.28,337.82
19,358.61,359.86,360.64,361.67,360.93,362.89,361.62,362.41,360.33,337.74
20,358.72,359.95,360.7,361.74,361.02,362.96,361.86,362.45,360.38,337.66
21,358.83,360.03,360.76,361.8,361.1,363.01,362.06,362.48,360.34,337.62
22,358.88,360.07,360.82,361.86,361.16,363.04,362.17,362.52,360.31,337.61
23,358.96,360.14,360.88,361.93,361.2,363.08,362.25,362.6,360.31,337.61
24,359.04,360.23,360.96,362.0,361.26,363.11,362.31,362.7,360.23,337.63
25,359.12,360.35,361.03,362.07,361.29,363.12,362.33,362.7,360.16,337.66
26,359.18,360.46,361.07,362.11,361.33,363.15,362.34,362.66,360.12,337.7
27,359.26,360.56,361.11,362.16,361.36,363.16,362.31,362.6,360.07,337.75
28,359.34,360.64,361.14,362.21,361.39,363.18,362.21,362.54,360.01,337.8
29,359.45,360.72,361.2,362.25,361.43,363.2,362.1,362.48,360.0,337.92
30,359.56,360.77,361.26,362.25,361.48,363.21,362.01,362.41,360.12,338.03
31,359.63,360.78,361.3,362.25,361.51,363.24,362.0,362.38,360.26,338.13
32,359.69,360.8,361.31,362.24,361.52,363.26,362.01,362.37,360.4,338.2
33,359.78,360.82,361.33,362.24,361.53,363.3,362.03,362.38,360.53,338.3
34,359.84,360.84,361.33,362.25,361.53,363.36,362.0,362.43,360.69,338.4
35,359.9,360.87,361.34,362.26,361.54,363.41,361.94,362.44,360.83,338.51
36,359.98,360.89,361.34,362.27,361.55,363.46,361.91,362.41,360.96,338.62
