time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC9.5,TC10
69,357.27,357.29,358.62,359.27,358.73,360.8,358.77,359.66,365.12,370.85,356.75
70,357.23,357.25,358.6,359.25,358.73,360.78,358.76,359.64,365.24,371.05,357.15
71,357.19,357.21,358.58,359.23,358.71,360.76,358.75,359.64,365.37,371.11,357.52
72,357.16,357.18,358.57,359.22,358.69,360.76,358.75,359.64,365.46,371.23,357.74
73,357.13,357.15,358.55,359.2,358.69,360.74,358.74,359.63,365.54,371.46,357.94
74,357.11,357.13,358.54,359.18,358.67,360.72,358.72,359.63,365.63,371.54,358.13
75,357.08,357.09,358.53,359.17,358.66,360.71,358.72,359.62,365.71,371.39,358.33
76,357.04,357.06,358.51,359.16,358.65,360.7,358.71,359.62,365.77,371.3,358.53
77,357.01,357.04,358.5,359.14,358.64,360.68,358.7,359.61,365.84,371.58,358.71
78,356.99,357.01,358.48,359.12,358.63,360.67,358.7,359.61,365.91,371.85,358.92
79,356.95,356.97,358.47,359.12,358.62,360.65,358.69,359.6,366.04,371.86,359.22
80,356.9,356.93,358.44,359.09,358.6,360.63,358.68,359.6,366.16,371.9,359.5
81,356.87,356.9,358.43,359.09,358.59,360.63,358.68,359.6,366.23,371.76,359.68
82,356.85,356.86,358.42,359.08,358.58,360.61,358.66,359.6,366.29,371.73,359.84
83,356.82,356.84,358.41,359.06,358.56,360.6,358.66,359.6,366.36,371.99,359.99
84,356.77,356.8,358.38,359.04,358.55,360.58,358.65,359.59,366.42,372.3,360.14
85,356.76,356.77,358.38,359.02,358.55,360.58,358.65,359.58,366.5,372.76,360.3
86,356.73,356.74,358.36,359.01,358.54,360.55,358.64,359.58,366.57,373.3,360.46
87,356.7,356.71,358.35,358.99,358.53,360.55,358.64,359.58,366.63,373.66,360.62
88,356.65,356.66,358.32,358.99,358.51,360.54,358.63,359.57,366.75,373.92,360.91
89,356.61,356.61,358.3,358.97,358.48,360.52,358.62,359.56,366.86,374.05,361.19
90,356.58,356.56,358.28,358.95,358.47,360.51,358.61,359.56,366.94,374.22,361.39
91,356.56,356.54,358.26,358.94,358.47,360.5,358.6,359.55,367.01,374.32,361.59
92,356.54,356.5,358.24,358.93,358.46,360.49,358.6,359.55,367.08,374.46,361.79
93,356.51,356.47,358.23,358.91,358.45,360.48,358.59,359.54,367.14,374.99,361.99
94,356.48,356.45,358.22,358.9,358.44,360.46,358.6,359.54,367.22,375.21,362.21
95,356.44,356.4,358.21,358.88,358.42,360.45,358.58,359.53,367.29,375.25,362.4
96,356.41,356.37,358.18,358.87,358.42,360.44,358.57,359.53,367.37,375.27,362.59
97,356.38,356.32,358.17,358.86,358.4,360.43,358.57,359.53,367.48,375.19,362.85
98,356.33,356.28,358.14,358.85,358.39,360.43,358.56,359.53,367.56,375.05,363.11
99,356.3,356.24,358.13,358.84,358.38,360.42,358.55,359.52,367.63,375.25,363.27
100,356.28,356.21,358.11,358.84,358.36,360.41,358.55,359.51,367.71,375.64,363.45
101,356.26,356.17,358.1,358.81,358.36,360.38,358.55,359.51,367.79,376.24,363.65
102,356.23,356.15,358.09,358.79,358.35,360.38,358.56,359.5,367.87,376.73,363.87
103,356.2,356.1,358.07,358.77,358.35,360.36,358.54,359.49,367.93,377.13,364.09
104,356.17,356.07,358.05,358.76,358.33,360.36,358.54,359.49,368.0,377.52,364.31
105,356.14,356.05,358.03,358.74,358.32,360.34,358.54,359.49,368.08,377.91,364.56
106,356.09,355.99,358.01,358.72,358.31,360.33,358.52,359.48,368.18,378.14,364.89
107,356.04,355.93,357.98,358.72,358.29,360.33,358.51,359.47,368.28,378.23,365.18
108,356.01,355.9,357.97,358.71,358.28,360.31,358.51,359.47,368.35,378.3,365.36
109,355.99,355.87,357.95,358.69,358.27,360.3,358.51,359.47,368.43,378.53,365.55
110,355.97,355.84,357.94,358.67,358.27,360.29,358.51,359.46,368.52,378.8,365.76
111,355.94,355.8,357.91,358.66,358.26,360.28,358.5,359.47,368.6,378.98,365.93
112,355.91,355.78,357.91,358.65,358.24,360.27,358.49,359.47,368.66,379.12,366.12
113,355.87,355.73,357.88,358.63,358.23,360.26,358.48,359.46,368.71,379.47,366.3
114,355.85,355.69,357.86,358.62,358.22,360.25,358.47,359.46,368.78,379.97,366.49
115,355.81,355.65,357.84,358.62,358.21,360.23,358.47,359.46,368.88,380.34,366.77
116,355.76,355.6,357.81,358.61,358.2,360.24,358.46,359.45,368.99,380.57,367.07
117,355.73,355.56,357.8,358.59,358.18,360.22,358.44,359.45,369.06,380.9,367.27
118,355.71,355.52,357.79,358.58,358.18,360.21,358.44,359.46,369.14,381.1,367.48
119,355.68,355.49,357.77,358.57,358.16,360.19,358.43,359.43,369.2,381.22,367.69
120,355.66,355.46,357.75,358.55,358.16,360.19,358.43,359.44,369.29,381.27,367.9
121,355.63,355.42,357.73,358.54,358.15,360.17,358.41,359.43,369.35,381.19,368.08
122,355.6,355.38,357.72,358.53,358.14,360.15,358.4,359.43,369.43,381.17,368.27
123,355.57,355.35,357.69,358.52,358.13,360.14,358.39,359.42,369.48,381.13,368.44
124,355.52,355.3,357.67,358.51,358.12,360.14,358.37,359.43,369.59,381.0,368.68
125,355.48,355.25,357.65,358.49,358.1,360.12,358.36,359.43,369.69,380.97,368.89
126,355.46,355.21,357.63,358.48,358.09,360.1,358.36,359.42,369.76,381.32,369.04
127,355.43,355.18,357.61,358.47,358.08,360.11,358.35,359.43,369.83,381.49,369.17
128,355.4,355.14,357.6,358.47,358.07,360.1,358.34,359.43,369.91,381.59,369.32
129,355.37,355.11,357.58,358.44,358.06,360.08,358.34,359.42,369.97,381.76,369.48
130,355.34,355.08,357.56,358.43,358.05,360.07,358.33,359.42,370.05,381.92,369.66
131,355.31,355.05,357.54,358.42,358.04,360.06,358.32,359.41,370.11,382.12,369.83
132,355.29,355.01,357.52,358.4,358.03,360.05,358.31,359.42,370.17,382.34,370.01
133,355.26,354.98,357.52,358.39,358.03,360.04,358.31,359.41,370.24,382.71,370.15
134,355.22,354.94,357.49,358.37,358.02,360.02,358.31,359.41,370.35,382.92,370.36
135,355.17,354.88,357.46,358.36,357.99,360.02,358.3,359.41,370.46,382.85,370.58
136,355.15,354.84,357.43,358.35,357.99,360.01,358.29,359.41,370.51,382.76,370.73
137,355.13,354.82,357.42,358.33,357.97,360.0,358.28,359.4,370.58,382.94,370.88
138,355.09,354.78,357.4,358.31,357.97,359.99,358.28,359.41,370.65,383.21,371.03
139,355.07,354.74,357.38,358.31,357.95,359.98,358.27,359.4,370.72,383.53,371.18
140,355.03,354.7,357.37,358.3,357.93,359.96,358.27,359.41,370.79,383.48,371.33
141,354.99,354.67,357.35,358.29,357.93,359.97,358.26,359.41,370.84,383.13,371.44
142,354.96,354.62,357.33,358.27,357.91,359.95,358.25,359.41,370.94,383.16,371.63
143,354.92,354.57,357.31,358.25,357.89,359.94,358.24,359.4,371.03,383.33,371.79
144,354.9,354.54,357.28,358.23,357.88,359.93,358.25,359.4,371.1,383.67,371.91
145,354.86,354.5,357.26,358.22,357.87,359.92,358.24,359.4,371.17,383.81,372.04
146,354.85,354.48,357.24,358.2,357.87,359.91,358.24,359.4,371.24,383.76,372.18
147,354.82,354.44,357.23,358.19,357.86,359.9,358.24,359.4,371.3,383.86,372.31
148,354.79,354.41,357.22,358.18,357.86,359.89,358.25,359.4,371.37,384.05,372.45
149,354.77,354.39,357.2,358.15,357.86,359.89,358.24,359.4,371.45,384.25,372.58
150,354.75,354.35,357.18,358.13,357.84,359.87,358.24,359.41,371.52,384.39,372.71
151,354.69,354.29,357.15,358.12,357.82,359.87,358.23,359.4,371.62,384.29,372.89
152,354.65,354.24,357.12,358.1,357.8,359.86,358.22,359.4,371.71,384.28,373.11
153,354.63,354.21,357.11,358.09,357.79,359.85,358.22,359.4,371.8,384.47,373.29
154,354.6,354.18,357.1,358.08,357.79,359.84,358.22,359.4,371.87,384.93,373.46
155,354.57,354.14,357.07,358.07,357.77,359.83,358.21,359.4,371.92,385.01,373.61
156,354.55,354.11,357.06,358.05,357.77,359.82,358.21,359.39,371.99,384.92,373.75
157,354.51,354.07,357.03,358.04,357.75,359.82,358.2,359.41,372.06,385.07,373.88
158,354.49,354.03,357.02,358.03,357.74,359.81,358.19,359.42,372.12,385.32,373.99
159,354.45,354.0,357.0,358.02,357.74,359.8,358.19,359.42,372.18,385.48,374.1
160,354.42,353.96,356.98,358.01,357.72,359.81,358.19,359.43,372.25,385.46,374.22
161,354.39,353.91,356.96,357.99,357.7,359.79,358.18,359.42,372.35,385.22,374.41
162,354.35,353.86,356.93,357.97,357.69,359.78,358.18,359.42,372.44,385.21,374.57
163,354.32,353.83,356.91,357.96,357.68,359.77,358.18,359.43,372.51,385.56,374.69
164,354.3,353.8,356.9,357.94,357.67,359.76,358.17,359.42,372.58,385.89,374.81
165,354.26,353.76,356.88,357.93,357.67,359.75,358.18,359.43,372.66,386.12,374.93
166,354.24,353.73,356.87,357.91,357.66,359.74,358.17,359.44,372.74,385.99,375.07
167,354.22,353.71,356.86,357.9,357.64,359.73,358.16,359.43,372.79,385.9,375.18
168,354.19,353.67,356.84,357.89,357.64,359.72,358.16,359.43,372.86,385.98,375.28
169,354.16,353.63,356.82,357.88,357.62,359.72,358.16,359.44,372.96,386.56,375.43
170,354.12,353.58,356.8,357.86,357.61,359.71,358.16,359.45,373.07,387.05,375.6
171,354.09,353.55,356.77,357.85,357.61,359.7,358.16,359.46,373.14,386.98,375.74
172,354.06,353.52,356.75,357.84,357.6,359.69,358.15,359.45,373.21,386.66,375.86
173,354.03,353.49,356.74,357.83,357.58,359.68,358.14,359.46,373.27,386.29,375.97
174,354.01,353.45,356.72,357.81,357.56,359.67,358.14,359.46,373.33,386.27,376.07
175,353.98,353.42,356.7,357.79,357.56,359.67,358.14,359.46,373.41,386.39,376.16
176,353.94,353.39,356.69,357.78,357.54,359.66,358.13,359.46,373.48,386.48,376.25
177,353.92,353.35,356.67,357.77,357.54,359.65,358.12,359.47,373.55,386.21,376.36
178,353.88,353.31,356.65,357.75,357.52,359.64,358.12,359.48,373.65,386.32,376.51
179,353.84,353.28,356.62,357.74,357.51,359.64,358.12,359.48,373.76,386.44,376.68
180,353.81,353.24,356.6,357.73,357.5,359.64,358.11,359.48,373.84,386.7,376.81
181,353.78,353.2,356.58,357.71,357.49,359.62,358.1,359.48,373.89,387.1,376.95
182,353.75,353.18,356.57,357.71,357.47,359.62,358.09,359.48,373.94,387.26,377.09
