time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC9.5,TC10
1,358.82,358.78,359.42,359.97,359.27,361.38,358.55,359.08,355.87,347.32,333.94
2,358.78,358.74,359.39,359.95,359.26,361.36,358.54,359.07,355.79,347.37,333.8
3,358.75,358.69,359.35,359.94,359.23,361.33,358.5,359.07,355.83,347.46,333.87
4,358.71,358.65,359.34,359.93,359.21,361.31,358.5,359.09,355.9,347.55,333.99
5,358.68,358.62,359.29,359.9,359.18,361.29,358.49,359.1,356.01,347.6,334.12
6,358.64,358.61,359.26,359.87,359.14,361.25,358.47,359.06,356.09,347.44,334.18
7,358.6,358.6,359.23,359.85,359.11,361.23,358.46,359.01,356.17,347.13,334.17
8,358.57,358.57,359.22,359.83,359.09,361.22,358.44,358.97,356.26,346.81,334.14
9,358.53,358.54,359.19,359.82,359.04,361.2,358.41,358.94,356.36,346.6,334.13
10,358.47,358.51,359.14,359.8,358.99,361.19,358.38,358.92,356.52,346.54,334.23
11,358.41,358.47,359.08,359.78,358.95,361.16,358.34,358.89,356.71,346.62,334.45
12,358.38,358.45,359.05,359.76,358.92,361.15,358.31,358.89,356.85,346.77,334.64
13,358.35,358.42,359.03,359.74,358.89,361.12,358.3,358.87,357.0,346.96,334.86
14,358.31,358.4,359.01,359.7,358.86,361.08,358.29,358.86,357.13,347.26,335.08
15,358.28,358.37,358.97,359.66,358.83,361.04,358.26,358.85,357.25,347.59,335.31
16,358.25,358.35,358.95,359.63,358.8,361.02,358.25,358.84,357.39,347.83,335.57
17,358.22,358.33,358.93,359.6,358.77,361.0,358.24,358.83,357.5,348.05,335.84
18,358.19,358.31,358.9,359.57,358.75,360.99,358.22,358.82,357.66,348.24,336.14
19,358.15,358.28,358.85,359.55,358.71,360.97,358.21,358.82,357.92,348.43,336.61
20,358.1,358.27,358.82,359.52,358.69,360.95,358.19,358.8,358.22,348.6,337.11
21,358.08,358.26,358.79,359.49,358.67,360.93,358.19,358.8,358.44,348.79,337.44
22,358.04,358.25,358.76,359.47,358.65,360.92,358.18,358.8,358.62,348.95,337.71
