time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC9.5,TC10
1,359.38,359.47,360.69,361.14,360.26,362.14,359.46,359.77,357.6,309.27,335.79
2,359.33,359.41,360.62,361.12,360.22,362.11,359.46,359.72,357.85,310.78,335.56
3,359.28,359.37,360.56,361.12,360.18,362.09,359.44,359.69,358.09,312.53,335.53
4,359.25,359.34,360.52,361.09,360.16,362.05,359.41,359.63,358.23,313.97,335.61
5,359.22,359.33,360.49,361.06,360.14,362.02,359.39,359.62,358.35,314.43,335.7
6,359.19,359.31,360.47,361.04,360.12,362.0,359.36,359.63,358.47,314.41,335.81
7,359.17,359.29,360.44,361.02,360.11,361.96,359.34,359.63,358.57,314.84,335.93
8,359.13,359.27,360.41,360.99,360.09,361.94,359.33,359.65,358.65,316.68,336.08
9,359.1,359.26,360.39,360.95,360.07,361.92,359.32,359.67,358.7,317.26,336.25
10,359.06,359.25,360.36,360.93,360.04,361.91,359.32,359.69,358.75,317.17,336.46
11,359.02,359.22,360.3,360.91,359.99,361.89,359.31,359.72,358.85,318.05,336.8
12,358.97,359.18,360.24,360.86,359.96,361.86,359.31,359.76,358.98,319.46,337.15
13,358.95,359.13,360.2,360.83,359.95,361.85,359.33,359.81,359.09,320.55,337.42
14,358.91,359.07,360.17,360.8,359.93,361.82,359.33,359.84,359.21,321.08,337.71
15,358.89,358.99,360.11,360.78,359.91,361.81,359.34,359.87,359.34,321.87,337.98
16,358.85,358.93,360.06,360.73,359.89,361.77,359.33,359.91,359.45,322.21,338.24
17,358.83,358.89,360.02,360.68,359.88,361.74,359.35,359.94,359.56,322.03,338.49
18,358.79,358.86,359.98,360.66,359.87,361.73,359.35,359.96,359.63,321.84,338.71
19,358.74,358.81,359.92,360.62,359.84,361.7,359.35,359.98,359.72,321.82,339.01
20,358.68,358.76,359.86,360.58,359.82,361.69,359.36,359.99,359.8,322.16,339.31
21,358.65,358.73,359.82,360.54,359.8,361.66,359.36,360.01,359.89,323.13,339.54
22,358.62,358.71,359.78,360.5,359.77,361.66,359.36,360.02,359.97,323.64,339.79
23,358.59,358.69,359.75,360.48,359.76,361.64,359.37,360.02,360.07,324.43,340.04
24,358.55,358.67,359.72,360.42,359.73,361.62,359.37,360.03,360.17,325.43,340.29
25,358.52,358.64,359.68,360.37,359.69,361.6,359.36,360.03,360.29,326.42,340.56
26,358.49,358.62,359.65,360.34,359.66,361.58,359.37,360.03,360.41,326.47,340.87
27,358.46,358.61,359.62,360.31,359.64,361.57,359.37,360.03,360.53,326.7,341.19
28,358.44,358.6,359.61,360.27,359.62,361.55,359.37,360.02,360.66,326.75,341.53
29,358.39,358.58,359.56,360.22,359.58,361.55,359.36,360.02,360.87,325.92,342.02
30,358.35,358.54,359.52,360.17,359.52,361.52,359.35,360.01,361.07,325.89,342.5
31,358.31,358.53,359.5,360.14,359.5,361.5,359.34,360.01,361.2,326.44,342.82
32,358.29,358.51,359.47,360.11,359.47,361.49,359.33,360.01,361.32,327.1,343.13
33,358.26,358.49,359.44,360.07,359.44,361.47,359.33,360.01,361.42,327.42,343.44
34,358.24,358.49,359.43,360.02,359.42,361.45,359.33,360.01,361.51,327.46,343.74
35,358.2,358.46,359.4,360.0,359.4,361.44,359.32,360.0,361.59,328.41,344.04
36,358.17,358.43,359.37,359.96,359.36,361.42,359.3,360.0,361.68,328.81,344.36
37,358.13,358.42,359.35,359.93,359.34,361.4,359.3,359.99,361.78,329.35,344.7
38,358.09,358.39,359.31,359.9,359.31,361.39,359.29,359.99,361.95,330.06,345.2
39,358.04,358.36,359.29,359.89,359.29,361.37,359.28,359.99,362.13,330.68,345.71
40,358.02,358.34,359.26,359.84,359.27,361.35,359.28,359.98,362.24,330.02,346.05
41,357.99,358.32,359.25,359.82,359.26,361.32,359.28,359.98,362.37,329.6,346.38
42,357.95,358.31,359.24,359.8,359.25,361.31,359.28,359.97,362.48,329.46,346.69
43,357.92,358.29,359.22,359.78,359.23,361.3,359.27,359.97,362.59,329.44,346.99
