time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,357.26,359.21,359.65,360.21,359.56,361.66,358.92,358.7,353.88,319.86
2,357.22,359.28,359.68,360.24,359.58,361.68,359.06,358.98,354.41,319.86
3,357.19,359.48,359.79,360.33,359.67,361.74,359.4,359.31,355.1,319.99
4,357.18,359.64,359.88,360.45,359.75,361.85,359.66,359.61,355.58,320.16
5,357.19,359.8,359.99,360.58,359.86,361.98,359.91,359.91,356.03,320.38
6,357.19,359.98,360.09,360.72,359.98,362.11,360.16,360.21,356.44,320.64
7,357.21,360.13,360.21,360.81,360.12,362.21,360.39,360.39,356.82,320.92
8,357.25,360.3,360.32,360.96,360.25,362.34,360.63,360.61,357.14,321.22
9,357.28,360.47,360.42,361.11,360.38,362.49,360.87,360.86,357.42,321.5
10,357.33,360.62,360.53,361.27,360.53,362.63,361.12,361.11,357.68,321.81
11,357.4,360.82,360.67,361.42,360.72,362.77,361.46,361.37,358.01,322.21
12,357.48,361.0,360.83,361.52,360.93,362.86,361.76,361.58,358.29,322.58
13,357.55,361.1,360.93,361.67,361.06,362.97,361.93,361.87,358.47,322.81
14,357.62,361.2,361.01,361.82,361.19,363.1,362.07,362.12,358.61,323.03
15,357.7,361.27,361.1,361.95,361.31,363.23,362.19,362.35,358.71,323.24
16,357.77,361.35,361.18,362.09,361.42,363.35,362.32,362.57,358.77,323.45
17,357.84,361.44,361.23,362.21,361.53,363.46,362.43,362.77,358.8,323.65
18,357.91,361.52,361.29,362.32,361.63,363.57,362.53,362.96,358.87,323.86
19,357.99,361.61,361.34,362.39,361.73,363.64,362.64,363.08,359.03,324.1
20,358.11,361.67,361.42,362.49,361.87,363.75,362.8,363.25,359.36,324.48
21,358.22,361.72,361.46,362.59,362.0,363.84,362.95,363.39,359.76,324.87
22,358.3,361.77,361.5,362.68,362.09,363.93,363.06,363.52,360.03,325.14
23,358.37,361.81,361.54,362.76,362.17,364.01,363.16,363.6,360.27,325.4
24,358.45,361.87,361.57,362.82,362.24,364.11,363.23,363.66,360.48,325.68
25,358.51,361.91,361.61,362.89,362.3,364.19,363.26,363.71,360.65,325.96
26,358.6,361.96,361.65,362.95,362.37,364.29,363.26,363.79,360.79,326.27
27,358.67,362.0,361.71,363.0,362.42,364.38,363.25,363.88,360.91,326.62
28,358.73,362.06,361.77,363.02,362.46,364.43,363.21,363.89,361.02,326.98
29,358.84,362.11,361.82,363.04,362.53,364.52,363.22,363.82,361.18,327.53
30,358.95,362.17,361.87,363.04,362.58,364.6,363.24,363.78,361.33,328.06
31,359.01,362.19,361.91,363.07,362.61,364.65,363.23,363.84,361.41,328.37
32,359.07,362.21,361.93,363.1,362.65,364.72,363.2,363.91,361.45,328.65
33,359.14,362.21,361.95,363.11,362.67,364.76,363.16,364.03,361.49,328.89
34,359.2,362.21,361.98,363.12,362.7,364.79,363.19,364.12,361.52,329.15
35,359.27,362.2,362.01,363.13,362.71,364.81,363.2,364.12,361.56,329.41
36,359.33,362.2,362.06,363.14,362.72,364.84,363.15,364.14,361.62,329.66
37,359.39,362.23,362.11,363.15,362.73,364.86,363.12,364.09,361.7,329.9
38,359.48,362.27,362.16,363.16,362.74,364.87,363.07,364.05,361.81,330.24
39,359.58,362.3,362.22,363.17,362.75,364.89,363.02,364.02,361.89,330.57
40,359.63,362.31,362.26,363.18,362.77,364.91,362.96,363.97,361.93,330.79
41,359.69,362.3,362.31,363.17,362.78,364.92,362.92,363.93,361.96,331.0
42,359.75,362.28,362.35,363.17,362.8,364.93,362.98,363.91,362.0,331.21
43,359.8,362.27,362.38,363.2,362.8,364.96,363.07,363.91,362.03,331.42
44,359.85,362.25,362.41,363.23,362.82,364.97,363.17,363.99,362.06,331.63
45,359.9,362.22,362.43,363.24,362.85,364.95,363.21,364.11,362.08,331.84
46,359.95,362.21,362.45,363.23,362.86,364.94,363.22,364.13,362.08,332.09
47,360.04,362.21,362.46,363.24,362.9,364.95,363.15,364.1,362.09,332.45
48,360.12,362.23,362.47,363.25,362.93,364.98,363.15,364.0,362.13,332.77
49,360.16,362.23,362.48,363.25,362.93,365.01,363.15,363.9,362.15,332.97
50,360.21,362.24,362.48,363.27,362.95,365.02,363.13,363.97,362.16,333.18
51,360.27,362.25,362.47,363.28,362.95,365.04,363.21,364.11,362.15,333.41
52,360.32,362.26,362.48,363.3,362.95,365.05,363.29,364.2,362.12,333.64
53,360.38,362.26,362.49,363.3,362.94,365.05,363.35,364.19,362.16,333.88
54,360.43,362.26,362.51,363.28,362.94,365.05,363.37,364.14,362.23,334.1
55,360.47,362.25,362.51,363.27,362.93,365.04,363.42,364.1,362.28,334.31
56,360.54,362.24,362.5,363.27,362.9,365.02,363.45,364.11,362.32,334.66
57,360.62,362.22,362.5,363.24,362.86,365.02,363.48,364.13,362.34,335.02
58,360.68,362.19,362.5,363.22,362.83,365.03,363.46,364.13,362.35,335.27
59,360.72,362.16,362.49,363.19,362.82,365.02,363.47,364.15,362.41,335.48
60,360.76,362.11,362.49,363.17,362.8,365.01,363.49,364.23,362.45,335.7
61,360.81,362.06,362.5,363.17,362.8,364.99,363.49,364.3,362.44,335.9
62,360.85,362.0,362.49,363.15,362.79,364.97,363.48,364.38,362.5,336.1
63,360.89,361.95,362.49,363.15,362.79,364.96,363.51,364.44,362.58,336.28
64,360.93,361.92,362.48,363.15,362.79,364.95,363.51,364.45,362.62,336.46
65,360.99,361.93,362.46,363.15,362.8,364.94,363.51,364.44,362.72,336.71
66,361.05,361.95,362.44,363.13,362.81,364.93,363.51,364.4,362.82,336.96
67,361.08,361.96,362.45,363.1,362.8,364.95,363.51,364.34,362.88,337.14
68,361.12,361.97,362.44,363.08,362.8,364.96,363.47,364.3,362.94,337.35
69,361.15,361.99,362.44,363.06,362.8,364.96,363.39,364.22,362.97,337.55
70,361.2,361.98,362.45,363.04,362.79,364.99,363.29,364.12,362.98,337.76
71,361.24,361.97,362.46,363.02,362.8,365.01,363.22,364.01,362.97,337.98
72,361.27,361.95,362.46,363.0,362.8,365.04,363.16,363.96,362.97,338.17
73,361.32,361.94,362.46,362.99,362.8,365.08,363.11,364.0,362.97,338.36
74,361.37,361.95,362.48,362.96,362.81,365.11,363.05,364.02,362.92,338.58
75,361.42,361.98,362.49,362.95,362.81,365.14,362.98,364.0,362.82,338.77
76,361.46,362.02,362.5,362.94,362.81,365.16,362.93,364.01,362.79,338.88
77,361.49,362.06,362.51,362.95,362.81,365.17,362.89,364.01,362.78,338.99
78,361.53,362.08,362.51,362.96,362.81,365.17,362.85,363.99,362.79,339.1
79,361.57,362.11,362.52,362.99,362.82,365.17,362.81,363.98,362.79,339.21
80,361.6,362.12,362.53,363.0,362.84,365.17,362.79,363.96,362.81,339.35
81,361.64,362.12,362.53,363.01,362.84,365.17,362.75,363.92,362.82,339.46
82,361.67,362.11,362.53,363.02,362.87,365.17,362.71,363.89,362.83,339.58
83,361.72,362.07,362.51,363.03,362.89,365.16,362.78,363.87,362.85,339.74
84,361.77,362.04,362.5,363.03,362.9,365.15,362.79,363.88,362.86,339.93
85,361.8,362.05,362.47,363.03,362.91,365.13,362.74,363.96,362.88,340.04
86,361.83,362.08,362.46,363.01,362.92,365.11,362.7,363.99,362.89,340.17
87,361.87,362.09,362.45,362.98,362.93,365.09,362.69,364.01,362.91,340.3
88,361.89,362.08,362.43,362.96,362.91,365.08,362.79,364.06,362.93,340.43
89,361.93,362.08,362.42,362.94,362.9,365.07,362.93,364.11,362.95,340.56
90,361.95,362.07,362.42,362.92,362.88,365.05,363.05,364.18,362.95,340.69
91,361.98,362.08,362.42,362.91,362.84,365.04,363.06,364.23,362.94,340.84
92,362.03,362.12,362.44,362.91,362.83,365.02,363.04,364.26,363.0,341.07
93,362.08,362.18,362.44,362.9,362.8,365.0,363.17,364.23,363.1,341.3
94,362.11,362.2,362.45,362.88,362.77,364.97,363.19,364.16,363.14,341.41
95,362.13,362.18,362.46,362.84,362.76,364.95,363.04,364.18,363.16,341.53
96,362.17,362.12,362.47,362.82,362.71,364.93,362.94,364.17,363.15,341.66
97,362.2,362.06,362.47,362.78,362.68,364.88,362.96,364.11,363.1,341.78
98,362.23,362.01,362.48,362.78,362.64,364.84,363.04,363.99,363.09,341.9
99,362.26,361.94,362.48,362.81,362.58,364.8,363.1,363.91,363.1,342.02
100,362.29,361.89,362.48,362.83,362.56,364.76,363.18,363.93,363.11,342.14
101,362.33,361.81,362.46,362.86,362.56,364.73,363.29,363.99,363.1,342.31
102,362.36,361.73,362.43,362.88,362.59,364.7,363.34,364.01,363.02,342.46
103,362.4,361.73,362.42,362.88,362.64,364.7,363.33,363.97,362.97,342.56
104,362.43,361.73,362.41,362.87,362.67,364.71,363.3,363.93,362.93,342.67
105,362.46,361.78,362.41,362.87,362.72,364.71,363.27,363.92,362.89,342.79
106,362.48,361.81,362.4,362.85,362.74,364.74,363.23,363.97,362.85,342.9
107,362.51,361.82,362.39,362.84,362.75,364.77,363.23,363.99,362.83,343.0
108,362.53,361.82,362.38,362.86,362.75,364.78,363.26,363.94,362.85,343.1
109,362.56,361.81,362.36,362.91,362.75,364.79,363.25,363.97,362.9,343.19
110,362.59,361.81,362.37,362.95,362.75,364.8,363.23,363.93,363.03,343.32
111,362.63,361.81,362.38,362.97,362.77,364.8,363.22,363.8,363.11,343.45
112,362.66,361.81,362.39,362.97,362.8,364.8,363.25,363.69,363.1,343.53
113,362.69,361.8,362.41,362.95,362.84,364.79,363.3,363.62,363.1,343.63
114,362.72,361.81,362.43,362.92,362.87,364.79,363.34,363.61,363.06,343.72
115,362.73,361.83,362.44,362.92,362.89,364.83,363.34,363.67,363.02,343.84
116,362.75,361.82,362.44,362.9,362.9,364.86,363.32,363.75,362.94,343.95
117,362.78,361.8,362.45,362.9,362.93,364.91,363.3,363.76,362.88,344.06
118,362.81,361.83,362.46,362.9,362.95,364.93,363.3,363.77,362.85,344.17
119,362.83,361.85,362.46,362.91,362.95,364.95,363.26,363.77,362.82,344.31
120,362.85,361.86,362.47,362.91,362.95,364.96,363.21,363.71,362.84,344.45
121,362.87,361.87,362.48,362.91,362.96,364.97,363.19,363.66,362.88,344.56
122,362.89,361.87,362.48,362.91,362.94,364.97,363.15,363.64,362.93,344.64
123,362.91,361.85,362.47,362.9,362.96,364.97,363.19,363.61,363.0,344.72
124,362.93,361.81,362.47,362.88,362.95,364.97,363.22,363.59,363.01,344.8
125,362.96,361.78,362.49,362.87,362.94,364.98,363.27,363.61,363.01,344.86
126,362.97,361.76,362.51,362.85,362.92,364.99,363.3,363.62,363.0,344.92
127,362.98,361.76,362.51,362.82,362.91,365.0,363.31,363.67,363.0,344.98
128,363.02,361.76,362.52,362.78,362.86,365.01,363.26,363.73,363.04,345.08
129,363.06,361.76,362.54,362.74,362.83,365.0,363.23,363.76,363.07,345.19
130,363.07,361.77,362.54,362.71,362.79,364.99,363.19,363.75,363.06,345.25
131,363.1,361.79,362.55,362.69,362.76,364.96,363.15,363.74,363.07,345.31
132,363.11,361.83,362.56,362.68,362.74,364.93,363.12,363.78,363.06,345.39
133,363.14,361.84,362.55,362.67,362.69,364.9,363.13,363.84,363.02,345.45
134,363.16,361.8,362.57,362.69,362.68,364.86,363.2,363.92,363.01,345.52
135,363.18,361.75,362.56,362.71,362.65,364.82,363.27,364.03,362.97,345.58
136,363.2,361.71,362.56,362.73,362.62,364.79,363.3,364.17,362.98,345.64
137,363.22,361.68,362.58,362.76,362.6,364.78,363.35,364.23,362.98,345.72
138,363.24,361.68,362.59,362.79,362.57,364.77,363.37,364.2,363.0,345.81
139,363.26,361.68,362.59,362.82,362.55,364.78,363.35,364.16,363.0,345.86
140,363.28,361.72,362.61,362.85,362.53,364.79,363.3,364.17,363.03,345.93
141,363.31,361.76,362.62,362.89,362.51,364.81,363.23,364.2,363.07,346.0
142,363.32,361.78,362.61,362.92,362.5,364.82,363.26,364.23,363.15,346.08
143,363.34,361.82,362.61,362.94,362.51,364.82,363.28,364.27,363.24,346.15
144,363.35,361.86,362.61,362.96,362.52,364.83,363.29,364.34,363.3,346.23
145,363.38,361.86,362.6,362.97,362.55,364.83,363.28,364.36,363.34,346.31
146,363.41,361.85,362.59,362.96,362.61,364.83,363.25,364.35,363.34,346.43
147,363.45,361.84,362.59,362.95,362.7,364.82,363.3,364.33,363.42,346.56
148,363.46,361.81,362.57,362.96,362.75,364.84,363.33,364.29,363.5,346.63
149,363.48,361.78,362.57,362.98,362.79,364.87,363.37,364.27,363.56,346.71
150,363.5,361.78,362.55,362.99,362.83,364.9,363.41,364.23,363.6,346.76
151,363.52,361.79,362.55,362.96,362.87,364.93,363.47,364.2,363.62,346.82
152,363.54,361.81,362.55,362.93,362.89,364.95,363.51,364.18,363.62,346.88
153,363.56,361.84,362.56,362.87,362.9,364.98,363.52,364.26,363.65,346.94
154,363.58,361.86,362.54,362.82,362.89,365.0,363.51,364.38,363.67,347.0
155,363.61,361.87,362.56,362.78,362.85,365.03,363.41,364.47,363.67,347.1
156,363.65,361.87,362.59,362.75,362.8,365.05,363.31,364.5,363.69,347.2
157,363.68,361.88,362.6,362.72,362.77,365.04,363.25,364.43,363.74,347.26
158,363.69,361.89,362.6,362.7,362.74,365.01,363.17,364.34,363.79,347.32
159,363.71,361.87,362.61,362.69,362.71,364.97,363.16,364.32,363.84,347.38
160,363.72,361.84,362.62,362.69,362.69,364.93,363.19,364.32,363.88,347.44
161,363.74,361.78,362.62,362.69,362.66,364.91,363.27,364.3,363.94,347.52
162,363.77,361.72,362.64,362.69,362.64,364.88,363.41,364.32,363.97,347.59
163,363.79,361.69,362.66,362.7,362.62,364.86,363.55,364.35,363.98,347.67
