time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,358.9,358.97,359.7,360.16,359.49,361.25,358.81,359.28,355.38,331.87
2,358.85,358.89,359.61,360.11,359.47,361.24,358.87,359.46,355.3,331.65
3,358.81,358.81,359.55,360.08,359.44,361.24,358.97,359.58,355.46,331.62
4,358.77,358.78,359.51,360.05,359.41,361.25,359.04,359.77,355.71,331.69
5,358.75,358.75,359.48,360.02,359.4,361.26,359.1,359.94,356.06,331.82
6,358.72,358.74,359.45,360.02,359.39,361.27,359.18,360.09,356.43,331.97
7,358.69,358.72,359.44,359.99,359.38,361.3,359.25,360.22,356.83,332.1
8,358.66,358.7,359.39,359.98,359.37,361.32,359.33,360.36,357.19,332.2
9,358.63,358.68,359.36,359.97,359.37,361.35,359.42,360.49,357.52,332.28
10,358.6,358.66,359.34,359.96,359.36,361.37,359.49,360.56,357.81,332.37
11,358.58,358.64,359.31,359.94,359.35,361.39,359.57,360.68,358.08,332.43
12,358.54,358.63,359.27,359.93,359.34,361.41,359.65,360.78,358.47,332.54
13,358.51,358.63,359.24,359.92,359.34,361.44,359.73,360.84,358.83,332.64
14,358.47,358.62,359.22,359.9,359.34,361.46,359.77,360.9,359.04,332.71
15,358.45,358.61,359.17,359.88,359.34,361.47,359.8,360.95,359.24,332.81
16,358.42,358.61,359.16,359.85,359.34,361.49,359.85,361.0,359.41,332.9
17,358.4,358.6,359.14,359.84,359.33,361.5,359.89,361.03,359.56,333.03
18,358.38,358.61,359.13,359.82,359.33,361.51,359.95,361.09,359.69,333.16
19,358.36,358.59,359.11,359.79,359.33,361.53,359.98,361.15,359.79,333.31
20,358.32,358.59,359.09,359.78,359.32,361.55,360.03,361.2,359.91,333.55
21,358.29,358.58,359.07,359.77,359.32,361.57,360.09,361.24,360.04,333.79
22,358.27,358.58,359.04,359.76,359.32,361.59,360.13,361.26,360.11,333.96
23,358.25,358.57,359.04,359.75,359.32,361.61,360.13,361.28,360.16,334.14
24,358.23,358.56,359.02,359.74,359.31,361.62,360.16,361.3,360.19,334.33
25,358.2,358.55,359.0,359.74,359.31,361.64,360.18,361.36,360.24,334.51
