time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
76,363.07,361.42,361.55,362.05,361.71,363.56,361.71,362.47,360.36,336.54
77,363.11,361.38,361.55,362.08,361.69,363.58,361.72,362.44,360.38,336.66
78,363.15,361.32,361.53,362.08,361.68,363.58,361.7,362.43,360.36,336.8
79,363.19,361.28,361.52,362.1,361.69,363.62,361.66,362.4,360.36,336.94
80,363.24,361.2,361.5,362.12,361.69,363.65,361.57,362.38,360.34,337.12
81,363.29,361.14,361.51,362.15,361.69,363.68,361.44,362.41,360.35,337.29
82,363.33,361.1,361.51,362.17,361.68,363.67,361.34,362.44,360.38,337.4
83,363.37,361.11,361.53,362.18,361.69,363.66,361.29,362.43,360.46,337.52
84,363.41,361.1,361.52,362.19,361.68,363.64,361.22,362.38,360.55,337.63
85,363.45,361.13,361.52,362.19,361.66,363.62,361.19,362.35,360.63,337.73
86,363.49,361.14,361.52,362.18,361.64,363.58,361.16,362.31,360.7,337.84
87,363.52,361.2,361.52,362.15,361.62,363.55,361.13,362.3,360.76,337.94
88,363.56,361.23,361.52,362.11,361.6,363.53,361.12,362.27,360.8,338.04
89,363.6,361.3,361.53,362.05,361.57,363.51,361.11,362.24,360.78,338.18
90,363.64,361.31,361.55,362.01,361.55,363.49,361.08,362.22,360.72,338.3
91,363.67,361.29,361.55,361.96,361.52,363.47,361.06,362.22,360.69,338.38
92,363.7,361.29,361.56,361.93,361.49,363.46,361.05,362.23,360.66,338.45
93,363.72,361.28,361.57,361.88,361.48,363.44,361.0,362.29,360.66,338.5
94,363.74,361.26,361.56,361.84,361.45,363.42,360.96,362.33,360.66,338.56
95,363.76,361.24,361.55,361.8,361.42,363.41,360.91,362.35,360.68,338.61
96,363.77,361.19,361.57,361.77,361.39,363.39,360.89,362.35,360.69,338.66
97,363.8,361.14,361.59,361.75,361.38,363.37,360.84,362.31,360.72,338.71
98,363.83,361.03,361.59,361.72,361.34,363.36,360.83,362.26,360.77,338.78
99,363.86,360.95,361.58,361.7,361.29,363.34,360.93,362.23,360.79,338.85
100,363.87,360.92,361.56,361.68,361.28,363.32,360.94,362.22,360.78,338.92
101,363.91,360.93,361.56,361.67,361.28,363.31,360.92,362.26,360.78,339.0
102,363.92,360.93,361.55,361.67,361.29,363.3,360.9,362.27,360.77,339.08
103,363.95,360.92,361.53,361.68,361.3,363.3,360.89,362.25,360.76,339.16
104,363.98,360.93,361.52,361.69,361.31,363.31,360.93,362.24,360.77,339.24
105,364.0,360.93,361.51,361.71,361.34,363.32,360.96,362.23,360.78,339.32
106,364.03,360.92,361.51,361.73,361.35,363.34,360.96,362.22,360.78,339.39
107,364.06,360.86,361.51,361.75,361.37,363.36,360.94,362.2,360.76,339.5
108,364.1,360.8,361.51,361.76,361.37,363.37,360.91,362.18,360.75,339.6
109,364.13,360.75,361.5,361.76,361.37,363.39,360.88,362.18,360.75,339.67
110,364.15,360.73,361.48,361.74,361.36,363.4,360.85,362.17,360.75,339.73
111,364.16,360.72,361.46,361.74,361.36,363.41,360.83,362.18,360.73,339.79
112,364.19,360.71,361.44,361.71,361.35,363.41,360.81,362.17,360.75,339.87
113,364.21,360.74,361.45,361.69,361.34,363.42,360.78,362.16,360.78,339.95
114,364.23,360.78,361.45,361.67,361.32,363.41,360.75,362.15,360.83,340.01
115,364.25,360.83,361.44,361.65,361.31,363.39,360.69,362.15,360.86,340.06
116,364.29,360.91,361.42,361.65,361.29,363.37,360.63,362.13,360.89,340.16
117,364.32,360.96,361.42,361.66,361.27,363.34,360.62,362.1,360.87,340.3
118,364.35,360.97,361.41,361.67,361.27,363.3,360.61,362.08,360.88,340.44
119,364.37,361.0,361.4,361.68,361.27,363.26,360.6,362.05,360.86,340.6
120,364.41,361.01,361.39,361.68,361.26,363.23,360.59,362.02,360.86,340.77
121,364.43,361.02,361.39,361.68,361.27,363.19,360.6,361.98,360.88,340.92
122,364.46,361.04,361.4,361.67,361.27,363.15,360.61,361.95,360.9,341.06
123,364.48,361.04,361.38,361.65,361.27,363.12,360.62,361.92,360.92,341.18
124,364.5,361.08,361.38,361.65,361.27,363.11,360.62,361.93,360.91,341.26
125,364.55,361.17,361.39,361.65,361.29,363.09,360.64,361.94,360.92,341.38
126,364.59,361.23,361.38,361.65,361.31,363.07,360.65,361.95,360.94,341.45
127,364.59,361.19,361.36,361.67,361.32,363.06,360.64,361.95,360.95,341.51
128,364.61,361.17,361.36,361.68,361.35,363.05,360.65,361.96,360.98,341.55
129,364.63,361.14,361.37,361.69,361.36,363.01,360.63,361.96,361.0,341.6
130,364.65,361.12,361.38,361.69,361.39,362.99,360.61,361.97,361.01,341.64
131,364.68,361.08,361.38,361.68,361.41,362.97,360.62,361.96,361.03,341.69
132,364.69,361.03,361.38,361.66,361.42,362.95,360.65,361.94,361.04,341.73
133,364.71,360.98,361.38,361.66,361.42,362.94,360.7,361.95,361.05,341.78
134,364.73,360.92,361.38,361.65,361.41,362.93,360.69,361.94,361.07,341.86
135,364.75,360.83,361.39,361.62,361.39,362.91,360.73,361.95,361.06,341.94
136,364.76,360.72,361.4,361.59,361.38,362.9,360.81,361.99,361.05,342.0
137,364.77,360.66,361.42,361.56,361.37,362.89,360.85,362.01,361.04,342.03
138,364.76,360.61,361.42,361.56,361.36,362.9,360.86,362.06,361.04,342.07
139,364.76,360.58,361.42,361.56,361.35,362.91,360.86,362.08,361.06,342.1
