time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,356.89,359.06,359.72,360.27,359.69,361.77,359.19,359.12,354.34,329.22
2,356.85,359.05,359.7,360.25,359.68,361.76,359.11,359.17,354.59,329.25
3,356.81,359.14,359.73,360.29,359.7,361.78,359.2,359.36,355.07,329.36
4,356.81,359.28,359.79,360.36,359.76,361.82,359.33,359.64,355.49,329.46
5,356.83,359.43,359.87,360.43,359.82,361.87,359.47,359.81,355.93,329.57
6,356.87,359.58,359.96,360.54,359.89,361.95,359.6,359.95,356.36,329.72
7,356.92,359.74,360.06,360.66,359.99,362.04,359.77,360.14,356.75,329.9
8,357.0,359.89,360.15,360.78,360.08,362.14,359.94,360.37,357.12,330.05
9,357.06,360.03,360.24,360.9,360.18,362.24,360.07,360.58,357.44,330.19
10,357.14,360.15,360.33,361.02,360.28,362.35,360.22,360.79,357.72,330.32
11,357.3,360.32,360.48,361.15,360.44,362.46,360.46,360.98,358.07,330.49
12,357.43,360.44,360.59,361.24,360.59,362.54,360.66,361.09,358.35,330.62
13,357.53,360.51,360.66,361.35,360.69,362.64,360.82,361.25,358.5,330.73
14,357.65,360.57,360.71,361.45,360.79,362.74,360.96,361.39,358.62,330.8
15,357.75,360.64,360.75,361.52,360.9,362.85,361.1,361.53,358.74,330.88
16,357.86,360.7,360.77,361.58,361.0,362.97,361.21,361.67,358.83,330.97
17,357.96,360.75,360.79,361.65,361.09,363.06,361.32,361.82,358.91,331.05
18,358.07,360.8,360.8,361.72,361.17,363.16,361.4,361.94,359.0,331.12
19,358.17,360.82,360.83,361.77,361.24,363.21,361.47,362.02,359.07,331.2
20,358.32,360.88,360.88,361.83,361.34,363.29,361.51,362.1,359.16,331.32
21,358.49,360.93,360.94,361.88,361.41,363.35,361.55,362.18,359.16,331.44
22,358.59,360.97,360.97,361.93,361.46,363.42,361.57,362.27,359.11,331.51
23,358.69,361.0,361.0,361.98,361.49,363.46,361.59,362.34,359.06,331.58
24,358.78,361.02,361.01,362.02,361.53,363.49,361.61,362.39,359.0,331.67
25,358.88,361.05,361.03,362.06,361.57,363.52,361.62,362.39,358.98,331.76
26,358.98,361.08,361.05,362.09,361.6,363.55,361.62,362.37,358.96,331.87
27,359.08,361.11,361.08,362.11,361.62,363.59,361.64,362.34,358.96,332.0
28,359.18,361.16,361.11,362.14,361.66,363.63,361.64,362.33,358.97,332.12
29,359.31,361.22,361.15,362.15,361.69,363.66,361.72,362.33,358.96,332.33
30,359.44,361.28,361.18,362.18,361.7,363.7,361.83,362.36,359.0,332.53
31,359.52,361.31,361.18,362.21,361.71,363.72,361.86,362.43,359.05,332.69
32,359.61,361.34,361.19,362.21,361.72,363.72,361.88,362.51,359.11,332.82
33,359.68,361.37,361.19,362.21,361.72,363.73,361.87,362.57,359.14,332.94
34,359.78,361.4,361.19,362.22,361.72,363.73,361.83,362.58,359.16,333.08
35,359.87,361.41,361.19,362.24,361.73,363.73,361.78,362.55,359.16,333.25
36,359.94,361.43,361.2,362.26,361.73,363.72,361.74,362.48,359.15,333.44
37,360.06,361.44,361.21,362.27,361.72,363.72,361.66,362.43,359.2,333.7
38,360.19,361.46,361.21,362.29,361.73,363.71,361.62,362.41,359.29,333.94
39,360.25,361.46,361.24,362.3,361.73,363.7,361.6,362.38,359.37,334.11
40,360.34,361.48,361.27,362.31,361.72,363.7,361.61,362.37,359.46,334.27
41,360.4,361.47,361.28,362.31,361.72,363.7,361.67,362.35,359.57,334.44
42,360.47,361.45,361.29,362.31,361.73,363.71,361.75,362.35,359.68,334.62
43,360.54,361.43,361.3,362.28,361.75,363.7,361.83,362.41,359.79,334.78
44,360.63,361.4,361.31,362.26,361.78,363.71,361.89,362.5,359.9,334.96
45,360.69,361.4,361.32,362.24,361.8,363.71,361.91,362.52,359.97,335.11
46,360.75,361.39,361.31,362.23,361.79,363.7,361.9,362.52,360.04,335.25
47,360.86,361.4,361.32,362.22,361.76,363.7,361.83,362.5,360.19,335.45
48,360.95,361.41,361.34,362.23,361.73,363.7,361.78,362.45,360.35,335.68
49,361.01,361.42,361.36,362.24,361.72,363.71,361.8,362.37,360.41,335.84
50,361.07,361.42,361.39,362.24,361.69,363.71,361.81,362.3,360.44,335.99
51,361.13,361.43,361.4,362.24,361.68,363.68,361.84,362.27,360.46,336.15
52,361.19,361.47,361.43,362.25,361.67,363.68,361.88,362.25,360.46,336.29
53,361.25,361.49,361.41,362.25,361.67,363.69,361.89,362.24,360.49,336.42
54,361.3,361.49,361.42,362.24,361.65,363.68,361.93,362.26,360.55,336.62
55,361.38,361.51,361.42,362.25,361.65,363.68,361.96,362.32,360.62,336.84
56,361.46,361.51,361.45,362.27,361.62,363.66,361.99,362.4,360.71,337.19
57,361.55,361.5,361.46,362.28,361.62,363.63,362.0,362.47,360.81,337.54
58,361.61,361.48,361.46,362.3,361.64,363.62,362.01,362.51,360.9,337.77
59,361.66,361.46,361.47,362.31,361.65,363.63,362.0,362.52,361.0,337.99
60,361.72,361.44,361.48,362.31,361.65,363.64,361.99,362.51,361.08,338.2
61,361.77,361.41,361.5,362.3,361.67,363.66,362.01,362.52,361.14,338.4
62,361.83,361.37,361.51,362.29,361.69,363.68,362.0,362.61,361.17,338.57
63,361.88,361.35,361.53,362.25,361.71,363.71,362.0,362.69,361.2,338.75
64,361.95,361.32,361.55,362.2,361.7,363.71,361.99,362.73,361.3,338.96
65,362.03,361.29,361.54,362.14,361.68,363.71,361.99,362.73,361.36,339.11
66,362.08,361.26,361.51,362.07,361.64,363.7,361.98,362.72,361.42,339.2
67,362.13,361.24,361.51,362.03,361.62,363.69,361.97,362.74,361.46,339.31
68,362.18,361.22,361.5,362.0,361.57,363.68,361.93,362.71,361.48,339.41
69,362.24,361.23,361.51,361.99,361.55,363.65,361.92,362.65,361.52,339.51
70,362.29,361.21,361.52,361.96,361.52,363.61,361.87,362.59,361.58,339.64
71,362.33,361.18,361.52,361.92,361.51,363.59,361.85,362.53,361.63,339.76
72,362.38,361.15,361.54,361.84,361.51,363.55,361.79,362.47,361.67,339.9
73,362.44,361.09,361.54,361.77,361.51,363.54,361.75,362.41,361.7,340.04
74,362.5,360.99,361.53,361.73,361.49,363.53,361.67,362.37,361.71,340.19
75,362.55,360.93,361.51,361.7,361.46,363.53,361.63,362.37,361.69,340.28
76,362.6,360.93,361.48,361.69,361.45,363.49,361.62,362.35,361.64,340.31
77,362.63,360.91,361.47,361.71,361.41,363.46,361.61,362.31,361.58,340.34
78,362.66,360.91,361.45,361.71,361.38,363.39,361.56,362.31,361.54,340.36
79,362.7,360.91,361.43,361.71,361.34,363.33,361.51,362.32,361.52,340.41
80,362.74,360.91,361.4,361.68,361.32,363.26,361.43,362.28,361.49,340.45
81,362.76,360.9,361.39,361.64,361.3,363.19,361.4,362.25,361.43,340.53
82,362.81,360.92,361.36,361.61,361.28,363.15,361.38,362.23,361.35,340.63
83,362.86,360.94,361.34,361.57,361.26,363.1,361.32,362.22,361.17,340.78
84,362.92,360.98,361.35,361.53,361.24,363.05,361.28,362.21,361.03,340.92
85,362.97,361.01,361.36,361.5,361.24,363.02,361.27,362.2,361.03,341.03
86,362.99,361.04,361.37,361.47,361.22,362.98,361.26,362.2,361.04,341.1
87,363.04,361.08,361.35,361.46,361.23,362.97,361.25,362.21,361.05,341.18
88,363.07,361.1,361.33,361.46,361.22,362.95,361.23,362.22,361.05,341.25
89,363.1,361.08,361.31,361.45,361.22,362.94,361.2,362.23,361.05,341.33
90,363.13,361.08,361.3,361.47,361.23,362.96,361.19,362.24,361.06,341.41
91,363.17,361.11,361.29,361.48,361.23,362.98,361.19,362.23,361.08,341.47
92,363.23,361.14,361.28,361.48,361.23,362.99,361.17,362.24,361.13,341.58
93,363.29,361.13,361.28,361.5,361.23,363.01,361.16,362.25,361.19,341.69
94,363.32,361.1,361.28,361.5,361.22,363.04,361.13,362.27,361.23,341.75
95,363.35,361.06,361.3,361.51,361.21,363.05,361.15,362.27,361.24,341.81
96,363.38,361.01,361.31,361.51,361.19,363.06,361.18,362.26,361.28,341.85
97,363.42,360.98,361.31,361.51,361.17,363.05,361.2,362.25,361.35,341.88
98,363.45,360.94,361.33,361.51,361.15,363.05,361.22,362.25,361.4,341.93
