Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.99,353.98,328.09,182.09,119.92,75.88,57.63,46.44,36.45,16.82,34.51,352.878862432453,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,433.800828497202,0.0375,25900,3,0.98
1,360.15,354.11,328.0,182.1,119.93,76.0,57.83,46.75,36.56,18.57,34.52,353.027233130818,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,433.967680237602,0.0375,25900,3,0.98
2,360.41,354.56,328.05,182.06,119.99,76.04,58.08,46.95,36.73,17.3,34.55,353.175526948639,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,434.134454276636,0.0375,25900,3,0.98
3,360.69,355.1,328.17,182.46,120.09,76.04,58.36,47.21,36.95,20.56,34.59,353.323743882904,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,434.301150599375,0.0375,25900,3,0.98
4,360.98,355.65,328.35,182.72,120.22,75.8,58.67,47.74,37.19,21.72,34.64,353.471883930657,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,434.467769190953,0.0375,25900,3,0.98
5,361.29,356.17,328.5,183.07,120.4,76.32,59.01,48.02,37.47,21.63,34.73,353.619947088995,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,434.634310036563,0.0375,25900,3,0.98
6,361.6,356.7,328.69,183.59,120.61,76.53,59.37,48.38,37.74,19.22,34.83,353.767933355069,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,434.800773121459,0.0375,25900,3,0.98
7,362.02,357.48,329.07,183.43,120.95,76.73,59.81,48.64,38.13,21.02,35.01,353.915842726089,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,434.967158430958,0.0375,25900,3,0.98
8,362.36,358.24,329.48,184.21,121.3,76.87,60.23,48.87,38.51,20.54,35.22,354.063675199313,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,435.133465950439,0.0375,25900,3,0.98
9,362.58,358.63,329.78,184.45,121.58,77.02,60.53,49.16,38.75,15.81,35.37,354.211430772059,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,435.299695665338,0.0375,25900,3,0.98
10,362.85,358.92,330.07,184.91,121.87,77.22,60.85,49.39,39.0,21.41,35.54,354.359109441697,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,435.465847561158,0.0375,25900,3,0.98
11,363.11,359.21,330.39,185.34,122.16,77.47,61.16,49.78,39.25,21.19,35.72,354.506711205651,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,435.63192162346,0.0375,25900,3,0.98
12,363.34,359.56,330.67,185.82,122.47,77.67,61.48,49.83,39.5,20.27,35.94,354.6542360614,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,435.797917837866,0.0375,25900,3,0.98
