Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
15,361.55,361.04,361.2,361.98,361.12,362.87,361.36,361.69,356.76,324.13,201.44,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.462103373327,360.679600773606,360.679600773606,360.679600773606,360.679600773606,360.679600773606,360.679600773606,360.679600773606,360.679600773606,360.679600773606,402.622105571897
16,361.65,361.07,361.28,362.07,361.19,362.98,361.45,361.83,356.99,324.35,202.07,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.503306146573,360.724877504674,360.724877504674,360.724877504674,360.724877504674,360.724877504674,360.724877504674,360.724877504674,360.724877504674,360.724877504674,402.667382302964
17,361.73,361.1,361.35,362.17,361.24,363.07,361.54,361.92,357.23,324.58,202.59,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.5445050087,360.770150485077,360.770150485077,360.770150485077,360.770150485077,360.770150485077,360.770150485077,360.770150485077,360.770150485077,360.770150485077,402.712655283368
18,361.82,361.11,361.39,362.24,361.29,363.14,361.6,361.98,357.46,324.81,203.17,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.585699959451,360.815419714417,360.815419714417,360.815419714417,360.815419714417,360.815419714417,360.815419714417,360.815419714417,360.815419714417,360.815419714417,402.757924512708
19,361.89,361.09,361.45,362.33,361.33,363.23,361.62,362.1,357.67,325.06,203.78,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.626890998571,360.860685192294,360.860685192294,360.860685192294,360.860685192294,360.860685192294,360.860685192294,360.860685192294,360.860685192294,360.860685192294,402.803189990585
20,361.96,361.08,361.52,362.41,361.36,363.3,361.65,362.22,357.85,325.33,204.34,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.668078125806,360.905946918309,360.905946918309,360.905946918309,360.905946918309,360.905946918309,360.905946918309,360.905946918309,360.905946918309,360.905946918309,402.848451716599
21,361.98,361.08,361.57,362.48,361.4,363.35,361.67,362.33,358.03,325.58,204.95,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.7092613409,360.951204892062,360.951204892062,360.951204892062,360.951204892062,360.951204892062,360.951204892062,360.951204892062,360.951204892062,360.951204892062,402.893709690352
22,362.01,361.1,361.62,362.55,361.44,363.39,361.69,362.42,358.23,325.82,205.43,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.750440643601,360.996459113154,360.996459113154,360.996459113154,360.996459113154,360.996459113154,360.996459113154,360.996459113154,360.996459113154,360.996459113154,402.938963911445
23,362.03,361.11,361.67,362.59,361.47,363.41,361.7,362.5,358.43,326.08,206.1,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.791616033651,361.041709581188,361.041709581188,361.041709581188,361.041709581188,361.041709581188,361.041709581188,361.041709581188,361.041709581188,361.041709581188,402.984214379478
24,362.06,361.15,361.7,362.62,361.5,363.42,361.71,362.53,358.69,326.44,206.5,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.832787510798,361.086956295764,361.086956295764,361.086956295764,361.086956295764,361.086956295764,361.086956295764,361.086956295764,361.086956295764,361.086956295764,403.029461094054
25,362.1,361.17,361.74,362.66,361.54,363.43,361.75,362.54,358.97,326.8,207.06,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.873955074786,361.132199256482,361.132199256482,361.132199256482,361.132199256482,361.132199256482,361.132199256482,361.132199256482,361.132199256482,361.132199256482,403.074704054773
26,362.12,361.17,361.75,362.67,361.56,363.44,361.82,362.55,359.13,327.03,207.6,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.915118725363,361.177438462946,361.177438462946,361.177438462946,361.177438462946,361.177438462946,361.177438462946,361.177438462946,361.177438462946,361.177438462946,403.119943261237
27,362.16,361.2,361.74,362.69,361.57,363.47,361.87,362.6,359.28,327.27,207.96,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.956278462274,361.222673914757,361.222673914757,361.222673914757,361.222673914757,361.222673914757,361.222673914757,361.222673914757,361.222673914757,361.222673914757,403.165178713047
28,362.22,361.21,361.73,362.71,361.59,363.51,361.9,362.65,359.4,327.51,208.53,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.997434285264,361.267905611516,361.267905611516,361.267905611516,361.267905611516,361.267905611516,361.267905611516,361.267905611516,361.267905611516,361.267905611516,403.210410409807
29,362.27,361.25,361.7,362.7,361.62,363.54,361.89,362.7,359.45,327.73,209.03,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.038586194083,361.313133552826,361.313133552826,361.313133552826,361.313133552826,361.313133552826,361.313133552826,361.313133552826,361.313133552826,361.313133552826,403.255638351116
30,362.32,361.28,361.67,362.69,361.64,363.58,361.8,362.75,359.48,327.97,209.49,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.079734188473,361.358357738288,361.358357738288,361.358357738288,361.358357738288,361.358357738288,361.358357738288,361.358357738288,361.358357738288,361.358357738288,403.300862536579
31,362.35,361.33,361.64,362.68,361.66,363.6,361.67,362.77,359.5,328.2,209.94,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.120878268184,361.403578167506,361.403578167506,361.403578167506,361.403578167506,361.403578167506,361.403578167506,361.403578167506,361.403578167506,361.403578167506,403.346082965796
32,362.37,361.37,361.62,362.66,361.68,363.61,361.59,362.76,359.53,328.43,210.36,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.162018432961,361.44879484008,361.44879484008,361.44879484008,361.44879484008,361.44879484008,361.44879484008,361.44879484008,361.44879484008,361.44879484008,403.39129963837
33,362.39,361.46,361.63,362.64,361.7,363.62,361.66,362.71,359.65,328.77,210.84,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.203154682552,361.494007755614,361.494007755614,361.494007755614,361.494007755614,361.494007755614,361.494007755614,361.494007755614,361.494007755614,361.494007755614,403.436512553905
34,362.42,361.57,361.65,362.62,361.69,363.64,361.81,362.65,359.77,329.1,211.42,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.244287016704,361.539216913711,361.539216913711,361.539216913711,361.539216913711,361.539216913711,361.539216913711,361.539216913711,361.539216913711,361.539216913711,403.481721712001
35,362.48,361.66,361.68,362.61,361.68,363.66,361.9,362.67,359.84,329.35,211.9,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.285415435163,361.584422313973,361.584422313973,361.584422313973,361.584422313973,361.584422313973,361.584422313973,361.584422313973,361.584422313973,361.584422313973,403.526927112264
36,362.54,361.73,361.73,362.59,361.66,363.68,361.97,362.68,359.91,329.58,212.32,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.326539937678,361.629623956003,361.629623956003,361.629623956003,361.629623956003,361.629623956003,361.629623956003,361.629623956003,361.629623956003,361.629623956003,403.572128754294
37,362.63,361.76,361.76,362.57,361.65,363.7,362.02,362.7,359.97,329.83,212.8,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.367660523995,361.674821839405,361.674821839405,361.674821839405,361.674821839405,361.674821839405,361.674821839405,361.674821839405,361.674821839405,361.674821839405,403.617326637695
38,362.74,361.76,361.79,362.56,361.63,363.71,362.07,362.7,360.03,330.09,213.29,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.408777193863,361.720015963781,361.720015963781,361.720015963781,361.720015963781,361.720015963781,361.720015963781,361.720015963781,361.720015963781,361.720015963781,403.662520762071
