Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
13,361.08,361.01,360.97,361.57,360.7,362.68,361.23,361.98,360.25,338.74,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.543661757711,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,402.484882179119
14,361.08,361.04,361.03,361.68,360.79,362.74,361.34,362.09,360.38,338.77,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.580948647766,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,402.526573473323
15,361.09,361.07,361.08,361.74,360.88,362.78,361.44,362.16,360.5,338.84,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.618231216255,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,402.568260474246
16,361.13,361.09,361.12,361.85,360.97,362.84,361.54,362.21,360.61,338.94,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.655509463059,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,402.609943181599
17,361.21,361.1,361.15,361.96,361.1,362.91,361.68,362.19,360.79,339.08,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.692783388054,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,402.651621595091
18,361.32,361.07,361.22,362.06,361.23,362.97,361.81,362.11,360.96,339.2,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.730052991121,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,402.693295714434
19,361.41,361.02,361.27,362.17,361.29,363.03,361.87,362.04,361.02,339.26,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.767318272138,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,402.734965539337
20,361.53,361,361.31,362.23,361.36,363.06,361.89,362.01,361.06,339.33,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.804579230985,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,402.776631069511
21,361.63,361,361.34,362.31,361.43,363.11,361.91,361.98,361.08,339.39,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.841835867542,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,402.818292304668
22,361.75,361.02,361.38,362.39,361.49,363.16,361.97,361.97,361.1,339.46,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.879088181687,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,402.859949244517
23,361.85,361.05,361.4,362.45,361.55,363.23,362,361.97,361.14,339.53,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.916336173302,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,402.901601888772
24,361.9,361.07,361.41,362.5,361.59,363.3,362.04,362.01,361.18,339.62,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.953579842266,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,402.943250237141
