Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
13,360.14,360.37,360.37,361.24,360.05,361.68,359.36,360.56,357.35,330.73,346.24,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.543661757711,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,402.484882179119
14,360.18,360.32,360.4,361.33,360.11,361.75,359.5,360.59,357.41,330.74,346.35,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.580948647766,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,402.526573473323
15,360.22,360.26,360.43,361.42,360.17,361.83,359.58,360.63,357.52,330.79,346.23,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.618231216255,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,402.568260474246
16,360.26,360.22,360.46,361.51,360.24,361.9,359.65,360.7,357.59,330.85,346.34,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.655509463059,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,402.609943181599
17,360.3,360.2,360.5,361.6,360.3,361.96,359.7,360.8,357.66,330.93,346.34,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.692783388054,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,360.709116796801,402.651621595091
18,360.37,360.22,360.55,361.66,360.4,361.99,359.76,360.85,357.8,331.05,346.37,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.730052991121,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,360.750790916143,402.693295714434
19,360.43,360.25,360.58,361.74,360.48,362.03,359.88,360.91,357.88,331.18,346.36,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.767318272138,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,360.792460741047,402.734965539337
20,360.47,360.24,360.6,361.81,360.54,362.07,359.98,360.98,357.89,331.25,346.36,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.804579230985,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,360.834126271221,402.776631069511
21,360.5,360.26,360.62,361.88,360.59,362.13,360.1,361.05,357.88,331.3,346.43,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.841835867542,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,360.875787506377,402.818292304668
22,360.54,360.31,360.61,361.95,360.65,362.19,360.22,361.14,357.85,331.36,346.38,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.879088181687,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,360.917444446227,402.859949244517
23,360.56,360.36,360.62,361.98,360.71,362.26,360.29,361.27,357.84,331.43,346.39,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.916336173302,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,360.959097090481,402.901601888772
24,360.59,360.41,360.62,362.02,360.76,362.31,360.37,361.39,357.9,331.54,346.43,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.953579842266,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,361.000745438851,402.943250237141
25,360.61,360.46,360.64,362.07,360.81,362.34,360.43,361.46,358,331.65,346.35,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.990819188459,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,361.042389491049,402.984894289339
26,360.64,360.49,360.64,362.11,360.84,362.38,360.46,361.53,358.16,331.76,346.39,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.028054211762,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,361.084029246785,403.026534045076
27,360.68,360.58,360.65,362.12,360.87,362.4,360.39,361.52,358.36,331.93,346.41,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.065284912055,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,361.125664705773,403.068169504064
28,360.73,360.67,360.64,362.12,360.9,362.43,360.33,361.48,358.45,332.05,346.44,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.10251128922,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,361.167295867726,403.109800666016
29,360.74,360.73,360.63,362.11,360.91,362.48,360.34,361.48,358.46,332.09,346.39,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.139733343137,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,361.208922732353,403.151427530644
30,360.76,360.78,360.65,362.11,360.91,362.5,360.39,361.51,358.45,332.11,346.47,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.176951073687,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,361.25054529937,403.193050097661
31,360.77,360.83,360.66,362.13,360.92,362.56,360.44,361.55,358.43,332.13,346.45,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.214164480751,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,361.292163568489,403.234668366779
32,360.8,360.89,360.66,362.14,360.92,362.63,360.44,361.57,358.41,332.16,346.41,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.251373564213,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,361.333777539421,403.276282337712
33,360.83,360.96,360.67,362.15,360.92,362.67,360.4,361.58,358.42,332.21,346.41,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.288578323952,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,361.375387211882,403.317892010172
34,360.86,360.99,360.69,362.16,360.93,362.71,360.35,361.6,358.44,332.23,346.5,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.325778759851,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,361.416992585583,403.359497383874
35,360.87,361.02,360.72,362.15,360.95,362.73,360.3,361.66,358.43,332.28,346.42,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.362974871792,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,403.40109845853
36,360.88,361.03,360.75,362.15,360.97,362.76,360.25,361.66,358.41,332.37,346.41,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.400166659657,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,403.442695233854
37,360.89,361.01,360.77,362.15,360.99,362.77,360.24,361.67,358.44,332.49,346.41,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.437354123329,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,403.484287709561
38,360.9,360.99,360.76,362.16,361,362.8,360.23,361.68,358.46,332.58,346.5,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.474537262689,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,403.525875885365
39,360.9,360.96,360.76,362.17,361.04,362.83,360.22,361.68,358.48,332.68,346.5,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.511716077622,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,403.567459760979
40,360.9,360.92,360.76,362.17,361.07,362.85,360.2,361.65,358.54,332.79,346.59,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.548890568009,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,403.609039336118
41,360.91,360.9,360.76,362.18,361.09,362.87,360.19,361.62,358.61,332.9,346.67,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.586060733734,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,403.650614610498
42,360.89,360.84,360.76,362.22,361.11,362.9,360.23,361.58,358.68,332.99,346.49,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.623226574681,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,403.692185583832
