Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
13,358.88,358.09,358.97,359.74,359.05,361.03,358.55,359.3,358.5,337.01,353,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,339.66931149074,362.54372882664,360.526704885891,360.109038787452,360.02257439142,360.004673098158,360.000967267516,360.000200212036,360.000041451963,360.00000858256,360.000448992471
14,358.86,358.09,358.95,359.72,359.02,361,358.53,359.29,358.61,337.14,353,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,339.943890707153,362.74175589879,360.567792644776,360.117543229465,360.024335166002,360.00503760799,360.001042717842,360.000215828137,360.000044685207,360.00000925246,360.000449437865
15,358.85,358.08,358.95,359.69,358.99,360.99,358.52,359.27,358.71,337.28,354,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.212935092534,362.939920336134,360.608963502315,360.126076574672,360.02609999043,360.005402669578,360.001118247307,360.000231487458,360.000047925647,360.00000992386,360.000449886604
16,358.83,358.07,358.93,359.66,358.96,360.97,358.51,359.27,358.81,337.43,354,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.486272206846,363.138499949785,360.650206693822,360.134615902935,360.027867865637,360.005768630807,360.001193995664,360.000247166654,360.000051171849,360.000010596771,360.000450338581
17,358.81,358.07,358.93,359.63,358.93,360.94,358.49,359.25,358.95,337.7,354,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.759159894083,363.337306644318,360.691531456293,360.143172194803,360.029639264845,360.00613532331,360.001269895602,360.000262877056,360.000054424523,360.000011271224,360.000450793745
18,358.79,358.09,358.92,359.61,358.9,360.92,358.47,359.25,359.07,337.98,355,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.024794012688,363.536560629863,360.733034964542,360.151753230449,360.031413838247,360.006502395107,360.001345843241,360.00027863169,360.000057684469,360.00001194725,360.000451252053
19,358.77,358.09,358.91,359.59,358.88,360.9,358.46,359.25,359.15,338.21,355,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.296403919112,363.735803639552,360.774531327964,360.160344381886,360.033192345566,360.0068705429,360.001422042423,360.00029440553,360.000060950179,360.00001262486,360.000451713413
20,358.76,358.1,358.89,359.57,358.87,360.88,358.45,359.24,359.24,338.47,356,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.567565917847,363.935224733943,360.816110003953,360.168952639224,360.034974404316,360.007239427293,360.001498394227,360.000310210784,360.000064222402,360.000013304084,360.000452177792
21,358.75,358.1,358.88,359.53,358.86,360.86,358.43,359.23,359.31,338.75,356,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.829588383981,364.136037437038,360.857833513685,360.177579130701,360.036758426999,360.007608475179,360.001574915717,360.000326060602,360.000067501929,360.00001398495,360.000452645166
22,358.74,358.1,358.86,359.51,358.84,360.83,358.42,359.23,359.41,339.05,357,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.099346317641,364.3359328525,360.899583601866,360.186222179409,360.038547577864,360.007978812021,360.001651563188,360.000341929756,360.000070787274,360.000014667469,360.00045311545
23,358.71,358.09,358.83,359.5,358.84,360.83,358.41,359.25,359.52,339.37,357,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.368748211645,364.535955624828,360.941416423947,360.194882512282,360.040340330409,360.008349897463,360.001728361844,360.000357830416,360.000074079167,360.000015351667,360.000453588625
24,358.7,358.07,358.81,359.46,358.82,360.81,358.4,359.24,359.64,339.71,358,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.637704452543,364.736099355351,360.983332461731,360.203560127768,360.04213666912,360.008721726374,360.001805313232,360.000373762767,360.000077377631,360.000016037564,360.000454064654
25,358.68,358.06,358.8,359.45,358.81,360.79,358.4,359.24,359.78,340.04,358,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.895581809644,364.937802768468,361.025349737057,360.212248106767,360.043933590104,360.009093485492,360.001882550029,360.000389739551,360.000080683409,360.000016725184,360.000454543525
26,358.64,358.03,358.78,359.42,358.8,360.78,358.39,359.25,359.96,340.52,358,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,343.162334797813,365.138439731163,361.067435684475,360.220959680041,360.045736778188,360.009466710076,360.00195982416,360.000405737049,360.000083995145,360.000017414539,360.000455025166
27,358.6,358,358.74,359.41,358.79,360.77,358.38,359.25,360.13,340.99,359,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,343.429498065898,365.339068292575,361.109606809815,360.22968961944,360.047543872029,360.009840754532,360.002037242872,360.000421765574,360.000087313443,360.00001810565,360.000455509566
28,358.57,357.98,358.73,359.38,358.78,360.75,358.38,359.24,360.24,341.29,359,0.1575,25900,100,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,343.696218072765,365.539770158026,361.151862060867,360.238437019549,360.049354587043,360.01021554938,360.002114815704,360.000437826069,360.000090638368,360.000018798535,360.000455996697
