Time,TC_Bottom_rec_groove,TC_botm_Ind,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC_wall_ins_ext,TC_bottom_ins_groove
Seconds,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,
0,357.84,23.1,365.6,368.39,368.91,369.7,369.19,371.17,369.18,370.07,368.97,354.5,25.37,33.64
1,357.86,23.1,365.57,368.38,368.92,369.7,369.2,371.18,369.18,370.05,369.1,354.59,25.38,33.64
2,357.88,23.11,365.55,368.37,368.93,369.7,369.2,371.17,369.18,370.04,369.22,354.67,25.38,33.64
3,357.89,23.12,365.53,368.35,368.93,369.7,369.21,371.17,369.18,370.04,369.31,354.72,25.38,33.64
4,357.89,23.1,365.46,368.32,368.93,369.7,369.2,371.17,369.16,370.04,369.37,354.77,25.38,33.64
5,357.9,23.1,365.4,368.31,368.92,369.69,369.19,371.16,369.16,370.01,369.38,354.8,25.38,33.64
6,357.91,23.1,365.33,368.29,368.93,369.68,369.19,371.16,369.16,369.99,369.36,354.8,25.38,33.64
7,357.92,23.1,365.23,368.27,368.95,369.67,369.18,371.16,369.17,369.98,369.4,354.79,25.37,33.64
8,357.94,23.11,365.16,368.26,368.97,369.66,369.18,371.17,369.18,369.95,369.55,354.8,25.38,33.64
9,357.94,23.12,365.12,368.22,368.97,369.64,369.17,371.17,369.18,369.93,369.66,354.9,25.38,33.64
10,357.94,23.12,365.1,368.17,368.97,369.63,369.18,371.16,369.17,369.92,369.69,355.02,25.38,33.65
11,357.95,23.11,365.08,368.13,368.98,369.61,369.18,371.16,369.16,369.92,369.71,355.1,25.38,33.64
12,357.94,23.11,365.06,368.08,368.97,369.59,369.17,371.17,369.16,369.94,369.74,355.14,25.38,33.65
13,357.94,23.1,365.05,368.03,368.97,369.56,369.17,371.17,369.16,370,369.8,355.16,25.38,33.65
14,357.94,23.08,365.03,367.99,368.95,369.56,369.19,371.17,369.17,370.09,369.81,355.15,25.39,33.64
15,357.95,23.07,365.01,367.96,368.94,369.54,369.18,371.17,369.16,370.14,369.8,355.16,25.39,33.65
16,357.94,23.06,364.98,367.91,368.92,369.52,369.18,371.17,369.17,370.17,369.75,355.21,25.39,33.65
17,357.94,23.06,364.91,367.86,368.89,369.52,369.17,371.16,369.19,370.2,369.68,355.27,25.38,33.64
18,357.94,23.05,364.85,367.84,368.87,369.53,369.18,371.16,369.24,370.22,369.67,355.32,25.38,33.65
19,357.95,23.05,364.79,367.81,368.85,369.53,369.18,371.17,369.27,370.24,369.69,355.37,25.38,33.65
20,357.95,23.06,364.72,367.8,368.85,369.53,369.19,371.18,369.3,370.26,369.71,355.38,25.38,33.65
21,357.95,23.07,364.64,367.78,368.83,369.54,369.19,371.19,369.35,370.29,369.74,355.46,25.39,33.65
22,357.93,23.07,364.58,367.75,368.8,369.54,369.19,371.21,369.36,370.31,369.77,355.53,25.38,33.65
23,357.93,23.07,364.52,367.73,368.79,369.55,369.2,371.23,369.4,370.33,369.85,355.61,25.38,33.66
24,357.92,23.06,364.46,367.69,368.77,369.56,369.2,371.24,369.42,370.35,369.9,355.68,25.38,33.66
25,357.91,23.05,364.39,367.65,368.75,369.56,369.2,371.26,369.44,370.35,370.01,355.75,25.39,33.66
26,357.91,23.05,364.33,367.6,368.72,369.58,369.2,371.27,369.47,370.36,370.1,355.79,25.39,33.65
27,357.9,23.05,364.29,367.58,368.7,369.58,369.2,371.27,369.51,370.37,370.12,355.8,25.39,33.65
28,357.89,23.06,364.27,367.53,368.69,369.58,369.2,371.28,369.52,370.37,370.13,355.81,25.39,33.66
29,357.88,23.07,364.24,367.51,368.67,369.59,369.21,371.27,369.52,370.39,370.13,355.83,25.39,33.66
30,357.88,23.05,364.2,367.48,368.66,369.6,369.22,371.28,369.52,370.39,370.1,355.85,25.39,33.65
31,357.88,23.07,364.17,367.45,368.64,369.59,369.21,371.28,369.51,370.4,370.06,355.89,25.39,33.66
32,357.87,23.07,364.14,367.42,368.63,369.6,369.21,371.28,369.52,370.41,370.02,355.93,25.4,33.66
33,357.86,23.07,364.11,367.39,368.61,369.6,369.21,371.28,369.53,370.43,370.01,355.97,25.38,33.64
34,357.84,23.07,364.05,367.34,368.6,369.59,369.21,371.29,369.53,370.47,370.01,356.03,25.39,33.66
35,357.83,23.07,363.98,367.29,368.58,369.59,369.21,371.29,369.53,370.52,370.05,356.04,25.38,33.66
36,357.82,23.08,363.95,367.27,368.57,369.59,369.22,371.3,369.53,370.55,370.12,356.04,25.39,33.66
37,357.81,23.08,363.92,367.23,368.55,369.58,369.22,371.3,369.52,370.55,370.15,356.03,25.39,33.66
38,357.8,23.08,363.88,367.21,368.55,369.6,369.22,371.32,369.51,370.56,370.13,356,25.4,33.66
39,357.8,23.08,363.85,367.19,368.54,369.59,369.22,371.31,369.51,370.55,370.08,355.98,25.39,33.66
40,357.78,23.09,363.82,367.16,368.54,369.59,369.23,371.31,369.51,370.57,370.03,355.94,25.39,33.66
41,357.77,23.09,363.78,367.13,368.53,369.59,369.23,371.32,369.5,370.6,370.03,355.95,25.39,33.65
42,357.75,23.09,363.75,367.1,368.52,369.59,369.22,371.33,369.51,370.63,370.05,356,25.4,33.66
43,357.73,23.09,363.72,367.08,368.5,369.59,369.22,371.34,369.53,370.66,370.07,356.12,25.39,33.66
44,357.71,23.1,363.66,367.04,368.48,369.6,369.22,371.34,369.54,370.71,370.06,356.19,25.39,33.66
45,357.7,23.1,363.65,367.02,368.47,369.59,369.22,371.34,369.54,370.74,370.05,356.21,25.4,33.67
46,357.69,23.1,363.61,367,368.45,369.6,369.22,371.35,369.53,370.72,370.03,356.22,25.4,33.67
47,357.67,23.1,363.58,366.98,368.44,369.59,369.23,371.35,369.54,370.73,370.01,356.21,25.4,33.66
48,357.66,23.07,363.55,366.96,368.43,369.59,369.21,371.35,369.54,370.75,370.03,356.16,25.39,33.66
49,357.63,23.07,363.51,366.94,368.42,369.58,369.22,371.35,369.56,370.8,370.05,356.09,25.39,33.66
50,357.63,23.08,363.48,366.92,368.41,369.58,369.22,371.36,369.6,370.87,370.05,356.03,25.4,33.66
51,357.62,23.08,363.46,366.9,368.41,369.59,369.23,371.37,369.64,370.91,370.05,355.99,25.4,33.67
52,357.61,23.08,363.41,366.87,368.39,369.58,369.23,371.37,369.7,370.93,370.12,355.98,25.4,33.66
53,357.6,23.09,363.36,366.83,368.37,369.58,369.24,371.38,369.74,370.96,370.25,356.01,25.4,33.67
54,357.57,23.09,363.34,366.81,368.36,369.57,369.23,371.39,369.75,370.99,370.31,356.04,25.41,33.68
55,357.57,23.09,363.31,366.78,368.36,369.57,369.24,371.4,369.78,370.98,370.39,356.09,25.4,33.67
56,357.56,23.1,363.29,366.75,368.36,369.56,369.24,371.41,369.79,370.96,370.43,356.13,25.4,33.67
57,357.56,23.1,363.26,366.73,368.36,369.56,369.25,371.43,369.8,370.95,370.41,356.14,25.4,33.68
58,357.54,23.11,363.24,366.7,368.35,369.56,369.24,371.44,369.81,370.97,370.4,356.15,25.41,33.68
59,357.51,23.11,363.21,366.67,368.33,369.56,369.24,371.45,369.81,370.98,370.42,356.14,25.41,33.68
60,357.51,23.12,363.18,366.65,368.32,369.56,369.24,371.47,369.82,370.98,370.44,356.15,25.41,33.68
61,357.49,23.12,363.15,366.61,368.31,369.55,369.24,371.47,369.81,370.97,370.47,356.21,25.41,33.68
62,357.47,23.13,363.11,366.57,368.3,369.55,369.25,371.48,369.82,371,370.58,356.3,25.41,33.67
63,357.46,23.13,363.08,366.55,368.29,369.54,369.26,371.49,369.86,371.09,370.64,356.41,25.4,33.68
64,357.45,23.13,363.06,366.53,368.27,369.54,369.25,371.51,369.88,371.26,370.68,356.52,25.41,33.67
65,357.44,23.13,363.03,366.51,368.28,369.54,369.26,371.52,369.91,371.38,370.73,356.61,25.4,33.67
66,357.41,23.14,363,366.49,368.26,369.53,369.26,371.53,369.93,371.41,370.77,356.67,25.41,33.67
67,357.41,23.13,362.97,366.46,368.25,369.53,369.26,371.54,369.96,371.4,370.81,356.72,25.41,33.67
68,357.39,23.13,362.95,366.45,368.23,369.53,369.26,371.55,369.97,371.42,370.77,356.75,25.4,33.67
69,357.39,23.12,362.92,366.43,368.23,369.53,369.27,371.55,370,371.48,370.71,356.78,25.4,33.67
70,357.37,23.13,362.9,366.4,368.22,369.52,369.27,371.57,370.01,371.51,370.66,356.77,25.4,33.68
71,357.34,23.13,362.86,366.38,368.2,369.52,369.28,371.58,370.02,371.51,370.65,356.76,25.41,33.67
72,357.32,23.12,362.83,366.36,368.2,369.51,369.28,371.59,370.03,371.53,370.65,356.74,25.41,33.68
73,357.3,23.12,362.8,366.34,368.19,369.51,369.28,371.6,370.04,371.54,370.66,356.78,25.41,33.67
74,357.3,23.12,362.78,366.32,368.18,369.5,369.28,371.61,370.06,371.58,370.69,356.83,25.42,33.67
75,357.28,23.14,362.75,366.3,368.16,369.52,369.27,371.63,370.08,371.62,370.7,356.88,25.42,33.68
76,357.27,23.13,362.73,366.28,368.16,369.52,369.28,371.64,370.09,371.6,370.72,356.9,25.42,33.66
77,357.27,23.13,362.7,366.25,368.15,369.52,369.28,371.65,370.11,371.52,370.76,356.9,25.41,33.65
78,357.26,23.12,362.68,366.23,368.16,369.53,369.29,371.66,370.14,371.47,370.87,356.89,25.41,33.65
79,357.24,23.11,362.65,366.19,368.15,369.53,369.28,371.68,370.16,371.51,371,356.81,25.42,33.65
80,357.23,23.11,362.61,366.15,368.14,369.53,369.3,371.69,370.19,371.53,371.08,356.74,25.42,33.65
81,357.22,23.12,362.59,366.13,368.13,369.54,369.29,371.71,370.2,371.53,371.02,356.72,25.41,33.65
82,357.19,23.13,362.57,366.12,368.12,369.54,369.3,371.73,370.19,371.56,370.91,356.69,25.41,33.65
83,357.18,23.13,362.55,366.1,368.1,369.54,369.3,371.75,370.2,371.61,370.8,356.67,25.41,33.65
84,357.17,23.13,362.53,366.09,368.1,369.54,369.3,371.77,370.2,371.65,370.75,356.69,25.42,33.65
85,357.16,23.14,362.5,366.07,368.09,369.54,369.31,371.79,370.22,371.68,370.72,356.72,25.41,33.65
86,357.15,23.13,362.48,366.06,368.08,369.54,369.31,371.82,370.24,371.71,370.72,356.74,25.41,33.65
87,357.12,23.14,362.46,366.04,368.06,369.54,369.3,371.83,370.26,371.75,370.72,356.76,25.42,33.65
88,357.11,23.13,362.43,366.02,368.05,369.55,369.31,371.85,370.3,371.77,370.8,356.83,25.42,33.65
89,357.09,23.15,362.39,366,368.04,369.55,369.33,371.87,370.33,371.79,370.89,356.87,25.43,33.65
90,357.08,23.14,362.36,365.98,368.03,369.55,369.32,371.87,370.35,371.87,370.97,356.9,25.42,33.65
91,357.06,23.15,362.35,365.97,368.02,369.54,369.33,371.88,370.38,371.94,371.06,356.91,25.42,33.65
92,357.05,23.15,362.33,365.97,368.01,369.54,369.33,371.89,370.42,371.98,371.15,356.94,25.41,33.64
