Time,TC_Bottom_rec_groove,TC_botm_Ind,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC_wall_ins_ext,TC_bottom_ins_groove
Seconds,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,
0,358.78,23.25,366.86,368.42,369.04,370.37,370.16,372.66,371.27,371.67,371,356.9,24.76,32.38
1,358.83,23.23,366.72,368.41,369.06,370.39,370.17,372.66,371.13,371.6,370.96,356.87,24.76,32.37
2,358.87,23.23,366.62,368.39,369.08,370.4,370.18,372.66,371.04,371.57,370.92,356.87,24.76,32.37
3,358.89,23.26,366.56,368.37,369.09,370.42,370.18,372.64,370.98,371.54,370.86,356.93,24.77,32.38
4,358.91,23.24,366.5,368.36,369.1,370.43,370.19,372.63,370.93,371.54,370.76,357.02,24.76,32.37
5,358.92,23.23,366.44,368.36,369.11,370.45,370.2,372.61,370.9,371.53,370.68,357.1,24.76,32.37
6,358.94,23.21,366.39,368.36,369.12,370.45,370.2,372.59,370.89,371.52,370.63,357.15,24.76,32.37
7,358.96,23.21,366.33,368.35,369.13,370.47,370.21,372.59,370.89,371.53,370.6,357.2,24.75,32.37
8,358.97,23.25,366.26,368.35,369.14,370.48,370.21,372.59,370.86,371.55,370.56,357.23,24.76,32.37
9,358.98,23.26,366.18,368.34,369.15,370.5,370.2,372.59,370.84,371.56,370.55,357.27,24.76,32.37
10,359,23.25,366.06,368.35,369.17,370.5,370.21,372.57,370.83,371.57,370.61,357.3,24.76,32.37
11,359.01,23.25,365.94,368.33,369.17,370.51,370.2,372.57,370.8,371.57,370.67,357.3,24.75,32.37
12,359.01,23.25,365.89,368.32,369.18,370.51,370.2,372.57,370.8,371.56,370.72,357.3,24.75,32.37
13,359.02,23.28,365.82,368.32,369.18,370.51,370.19,372.57,370.78,371.56,370.75,357.3,24.75,32.37
14,359.02,23.29,365.76,368.3,369.17,370.52,370.19,372.57,370.76,371.55,370.77,357.32,24.76,32.36
15,359.03,23.29,365.71,368.29,369.18,370.52,370.19,372.56,370.78,371.56,370.83,357.36,24.75,32.37
16,359.03,23.31,365.67,368.27,369.18,370.53,370.19,372.56,370.78,371.55,370.82,357.39,24.75,32.36
17,359.02,23.31,365.61,368.25,369.19,370.53,370.18,372.55,370.78,371.55,370.78,357.42,24.75,32.37
18,359.02,23.29,365.57,368.24,369.18,370.52,370.19,372.55,370.78,371.55,370.76,357.43,24.76,32.37
19,359.02,23.3,365.5,368.21,369.18,370.52,370.18,372.54,370.77,371.55,370.76,357.45,24.75,32.37
20,359.01,23.29,365.43,368.18,369.17,370.53,370.18,372.54,370.73,371.56,370.88,357.47,24.76,32.37
21,359.01,23.27,365.35,368.13,369.17,370.59,370.2,372.52,370.74,371.56,371.02,357.42,24.75,32.37
22,359,23.26,365.24,368.06,369.21,370.69,370.23,372.5,370.88,371.71,371.23,357.38,24.74,32.36
23,359,23.26,365.24,368.07,369.25,370.73,370.26,372.52,370.96,371.88,371.44,357.36,24.76,32.37
24,359.02,23.24,365.45,368.15,369.29,370.72,370.3,372.55,371.02,371.94,371.58,357.35,24.75,32.38
25,359.05,23.24,365.74,368.15,369.27,370.76,370.36,372.61,371.1,372.05,371.68,357.31,24.76,32.38
26,359.09,23.24,366.08,368.22,369.28,370.8,370.42,372.64,371.15,372.12,371.7,357.26,24.76,32.37
27,359.16,23.23,366.55,368.47,369.31,370.86,370.49,372.68,371.23,372.16,371.66,357.2,24.76,32.38
28,359.31,23.21,367.11,368.59,369.39,370.92,370.58,372.73,371.26,372.15,371.6,357.1,24.75,32.38
29,359.46,23.2,367.5,368.69,369.52,370.99,370.68,372.79,371.28,372.1,371.49,356.98,24.76,32.38
30,359.57,23.18,367.7,368.75,369.57,371.05,370.76,372.83,371.29,372.07,371.42,356.91,24.76,32.38
31,359.67,23.17,367.83,368.83,369.6,371.12,370.81,372.9,371.45,372.03,371.34,356.83,24.75,32.38
32,359.77,23.18,367.95,368.9,369.64,371.18,370.86,372.95,371.67,372.16,371.28,356.75,24.75,32.38
33,359.86,23.2,368.1,368.99,369.69,371.25,370.91,373.01,371.74,372.31,371.26,356.63,24.75,32.38
34,359.94,23.2,368.21,369.05,369.74,371.31,370.96,373.09,371.88,372.32,371.3,356.55,24.75,32.38
35,360.02,23.19,368.22,369.09,369.76,371.34,371.01,373.14,372.39,372.32,371.37,356.51,24.76,32.39
36,360.07,23.18,368.29,369.13,369.77,371.36,371.03,373.21,372.44,372.4,371.41,356.43,24.76,32.39
37,360.16,23.19,368.29,369.16,369.8,371.37,371.05,373.26,372.34,372.43,371.47,356.29,24.76,32.38
38,360.24,23.2,368.27,369.18,369.86,371.37,371.06,373.3,372.23,372.53,371.49,356.14,24.75,32.37
39,360.29,23.19,368.23,369.19,369.92,371.37,371.05,373.33,372.13,372.57,371.49,356.03,24.75,32.38
40,360.32,23.19,368.19,369.22,369.97,371.38,371.05,373.32,372.02,372.57,371.48,355.91,24.74,32.37
41,360.36,23.21,368.14,369.27,370.03,371.39,371.04,373.33,371.9,372.54,371.47,355.83,24.75,32.37
42,360.41,23.21,368.08,369.31,370.07,371.4,371.04,373.31,371.82,372.45,371.45,355.78,24.75,32.37
43,360.43,23.21,368.02,369.35,370.12,371.4,371.02,373.3,371.73,372.34,371.41,355.72,24.76,32.37
44,360.46,23.21,367.95,369.38,370.14,371.4,371.02,373.28,371.65,372.25,371.36,355.7,24.76,32.37
45,360.47,23.2,367.87,369.4,370.15,371.4,371,373.26,371.58,372.2,371.28,355.67,24.75,32.38
46,360.51,23.19,367.75,369.44,370.17,371.39,371,373.25,371.5,372.14,371.19,355.63,24.76,32.38
47,360.53,23.18,367.62,369.45,370.18,371.39,371,373.24,371.42,372.14,371.1,355.61,24.77,32.38
48,360.55,23.2,367.53,369.45,370.18,371.37,370.97,373.23,371.38,372.12,371.01,355.59,24.76,32.38
49,360.55,23.18,367.45,369.45,370.18,371.36,370.97,373.2,371.34,372.1,370.9,355.56,24.76,32.39
50,360.56,23.16,367.38,369.43,370.17,371.36,370.96,373.19,371.32,372.09,370.82,355.54,24.76,32.38
51,360.57,23.15,367.33,369.42,370.18,371.36,370.95,373.18,371.3,372.1,370.77,355.5,24.76,32.38
52,360.57,23.15,367.29,369.4,370.16,371.36,370.94,373.17,371.29,372.12,370.74,355.43,24.76,32.39
53,360.57,23.16,367.24,369.37,370.15,371.35,370.92,373.16,371.28,372.14,370.62,355.34,24.76,32.39
54,360.58,23.17,367.2,369.36,370.15,371.34,370.91,373.16,371.26,372.13,370.44,355.25,24.77,32.39
55,360.58,23.19,367.15,369.32,370.13,371.32,370.88,373.14,371.24,372.13,370.13,355.14,24.76,32.4
56,360.57,23.2,367.09,369.31,370.13,371.31,370.87,373.14,371.24,372.11,369.95,355.04,24.76,32.39
57,360.58,23.21,367.01,369.29,370.11,371.29,370.85,373.12,371.23,372.1,369.95,354.98,24.77,32.4
58,360.57,23.2,366.96,369.29,370.1,371.27,370.84,373.11,371.23,372.08,370.01,354.91,24.77,32.39
59,360.57,23.19,366.9,369.28,370.11,371.25,370.83,373.1,371.22,372.06,370.1,354.85,24.76,32.39
60,360.56,23.18,366.84,369.27,370.1,371.23,370.82,373.08,371.21,372.04,370.2,354.77,24.77,32.39
61,360.55,23.18,366.78,369.26,370.09,371.22,370.81,373.07,371.2,372.02,370.21,354.69,24.77,32.4
62,360.56,23.19,366.74,369.25,370.09,371.22,370.8,373.05,371.2,372.02,370.2,354.61,24.77,32.39
63,360.54,23.16,366.69,369.23,370.09,371.2,370.78,373.03,371.19,372.02,370.19,354.49,24.76,32.39
64,360.52,23.16,366.6,369.2,370.09,371.18,370.76,373.02,371.18,372.01,370.17,354.33,24.77,32.39
65,360.51,23.17,366.5,369.17,370.08,371.18,370.74,373.01,371.17,372.02,370.02,354.18,24.77,32.39
66,360.49,23.18,366.44,369.14,370.07,371.17,370.73,373,371.15,372.01,369.92,354.09,24.77,32.4
67,360.49,23.19,366.4,369.14,370.08,371.17,370.73,373,371.15,372,370.03,353.99,24.78,32.4
68,360.48,23.18,366.45,369.12,370.07,371.18,370.71,373.01,371.19,372.03,370.28,353.91,24.78,32.4
69,360.48,23.17,366.45,369.08,370.07,371.18,370.73,373.01,371.18,372.01,370.52,353.94,24.77,32.4
70,360.49,23.15,366.52,368.94,370.07,371.18,370.74,373.01,371.16,371.96,370.7,354.04,24.77,32.39
71,360.5,23.13,366.64,368.85,370.05,371.18,370.74,373,371.09,371.89,370.8,354.17,24.77,32.4
72,360.53,23.13,366.92,368.8,370.04,371.17,370.75,372.98,371.03,371.79,370.85,354.34,24.77,32.39
73,360.61,23.12,367.39,369.04,370.04,371.16,370.76,372.96,370.92,371.7,370.88,354.62,24.77,32.4
74,360.72,23.11,367.84,369.23,370.02,371.11,370.76,372.94,370.84,371.61,370.83,354.87,24.78,32.4
75,360.78,23.08,368.08,369.31,369.99,371.08,370.72,372.91,370.73,371.57,370.76,354.97,24.78,32.41
76,360.88,23.06,368.3,369.42,369.95,371.02,370.65,372.86,370.62,371.49,370.67,355.03,24.77,32.41
77,360.98,23.06,368.5,369.52,369.94,370.96,370.6,372.78,370.54,371.39,370.56,355.06,24.77,32.41
78,361.09,23.05,368.68,369.59,369.97,370.93,370.55,372.72,370.46,371.31,370.45,355.04,24.76,32.41
79,361.18,23.04,368.83,369.64,369.96,370.89,370.5,372.64,370.37,371.21,370.35,355.02,24.77,32.41
80,361.29,23.05,368.98,369.65,369.96,370.87,370.45,372.58,370.31,371.11,370.22,355.01,24.77,32.41
81,361.4,23.06,369.11,369.72,369.99,370.83,370.41,372.52,370.27,371,370.13,355,24.76,32.42
82,361.56,23.06,369.27,369.74,369.99,370.8,370.34,372.46,370.18,370.89,369.97,354.93,24.77,32.41
83,361.73,23.05,369.39,369.74,369.96,370.75,370.27,372.4,370.08,370.79,369.79,354.83,24.76,32.42
84,361.85,23.04,369.46,369.71,369.93,370.74,370.25,372.37,370.01,370.72,369.69,354.75,24.77,32.42
85,361.97,23.05,369.49,369.68,369.9,370.7,370.21,372.31,369.95,370.67,369.62,354.68,24.76,32.43
86,362.07,23.05,369.48,369.64,369.88,370.67,370.18,372.26,369.9,370.62,369.57,354.58,24.77,32.44
87,362.16,23.04,369.47,369.61,369.85,370.64,370.15,372.21,369.87,370.59,369.51,354.46,24.76,32.43
88,362.25,23.02,369.46,369.59,369.83,370.62,370.12,372.16,369.85,370.55,369.46,354.32,24.77,32.43
89,362.33,23.04,369.43,369.59,369.82,370.6,370.1,372.12,369.84,370.53,369.42,354.15,24.77,32.43
90,362.4,23.05,369.4,369.58,369.8,370.58,370.08,372.07,369.81,370.49,369.35,353.96,24.76,32.44
91,362.48,23.03,369.3,369.53,369.75,370.57,370.04,372.04,369.75,370.47,369.22,353.66,24.76,32.44
92,362.56,23.03,369.2,369.51,369.72,370.56,370.01,372,369.68,370.43,369.04,353.31,24.76,32.43
