Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10,h,flux,abs,surf
0,359.78,358.95,359.6,360.29,359.45,361.32,358.01,358.55,356.51,346.13,331.43,0.1575,25900,100,0.98
1,359.66,358.9,359.55,360.27,359.43,361.29,358.05,358.6,356.68,346.08,331.25,0.1575,25900,100,0.98
2,359.51,358.87,359.49,360.24,359.39,361.26,358.13,358.63,356.91,346.02,331.06,0.1575,25900,100,0.98
3,359.33,358.85,359.43,360.21,359.35,361.23,358.23,358.64,357.07,345.93,330.98,0.1575,25900,100,0.98
4,359.19,358.82,359.39,360.18,359.34,361.21,358.29,358.67,357.18,345.84,330.95,0.1575,25900,100,0.98
5,359.11,358.76,359.35,360.16,359.3,361.21,358.32,358.7,357.27,345.74,330.96,0.1575,25900,100,0.98
6,359.06,358.72,359.3,360.13,359.28,361.21,358.32,358.75,357.36,345.7,330.98,0.1575,25900,100,0.98
7,359.0,358.67,359.23,360.09,359.27,361.18,358.29,358.78,357.46,345.68,330.99,0.1575,25900,100,0.98
8,358.97,358.65,359.19,360.04,359.23,361.17,358.27,358.79,357.57,345.65,330.99,0.1575,25900,100,0.98
9,358.94,358.6,359.1,359.98,359.19,361.15,358.25,358.78,357.67,345.6,331.0,0.1575,25900,100,0.98
10,358.94,358.55,359.03,359.93,359.15,361.14,358.24,358.8,357.75,345.54,331.06,0.1575,25900,100,0.98
11,358.92,358.48,358.94,359.85,359.07,361.1,358.26,358.82,357.82,345.56,331.24,0.1575,25900,100,0.98
12,358.9,358.43,358.88,359.78,359.01,361.06,358.27,358.85,357.86,345.75,331.5,0.1575,25900,100,0.98
13,358.89,358.41,358.85,359.73,358.96,361.04,358.26,358.86,357.86,345.9,331.7,0.1575,25900,100,0.98
14,358.88,358.37,358.83,359.7,358.91,361.0,358.23,358.85,357.89,346.08,331.93,0.1575,25900,100,0.98
15,358.86,358.34,358.8,359.67,358.87,360.98,358.19,358.85,357.95,346.25,332.18,0.1575,25900,100,0.98
16,358.85,358.31,358.77,359.64,358.83,360.95,358.15,358.84,358.05,346.38,332.45,0.1575,25900,100,0.98
17,358.83,358.28,358.75,359.6,358.79,360.92,358.12,358.82,358.15,346.47,332.7,0.1575,25900,100,0.98
18,358.82,358.26,358.73,359.58,358.75,360.89,358.08,358.82,358.25,346.56,332.93,0.1575,25900,100,0.98
19,358.8,358.22,358.7,359.56,358.72,360.85,358.07,358.81,358.34,346.66,333.16,0.1575,25900,100,0.98
20,358.77,358.19,358.66,359.52,358.68,360.81,358.04,358.79,358.46,346.83,333.51,0.1575,25900,100,0.98
21,358.75,358.15,358.63,359.48,358.64,360.76,358.03,358.78,358.61,346.96,333.86,0.1575,25900,100,0.98
22,358.73,358.13,358.61,359.44,358.6,360.73,358.03,358.78,358.72,347.05,334.11,0.1575,25900,100,0.98
23,358.7,358.11,358.58,359.42,358.56,360.7,358.03,358.77,358.84,347.18,334.35,0.1575,25900,100,0.98
24,358.69,358.09,358.56,359.39,358.53,360.67,358.02,358.76,358.98,347.33,334.61,0.1575,25900,100,0.98
25,358.66,358.07,358.53,359.36,358.52,360.65,358.02,358.76,359.12,347.52,334.89,0.1575,25900,100,0.98
26,358.64,358.06,358.52,359.34,358.5,360.63,358.01,358.76,359.25,347.75,335.2,0.1575,25900,100,0.98
27,358.62,358.04,358.49,359.31,358.48,360.61,358.01,358.76,359.38,347.98,335.52,0.1575,25900,100,0.98
28,358.6,358.01,358.47,359.27,358.45,360.59,358.0,358.76,359.5,348.24,335.84,0.1575,25900,100,0.98
29,358.56,358.0,358.44,359.25,358.43,360.56,358.0,358.76,359.71,348.59,336.31,0.1575,25900,100,0.98
30,358.54,357.98,358.41,359.2,358.41,360.53,357.99,358.76,359.92,348.96,336.77,0.1575,25900,100,0.98
31,358.52,357.97,358.37,359.19,358.38,360.52,357.98,358.77,360.04,349.2,337.09,0.1575,25900,100,0.98
32,358.5,357.95,358.35,359.17,358.37,360.53,357.97,358.77,360.16,349.4,337.42,0.1575,25900,100,0.98
33,358.48,357.94,358.34,359.14,358.36,360.5,357.98,358.76,360.29,349.58,337.75,0.1575,25900,100,0.98
34,358.46,357.94,358.32,359.12,358.34,360.49,357.97,358.75,360.38,349.75,338.06,0.1575,25900,100,0.98
35,358.45,357.94,358.29,359.1,358.33,360.48,357.96,358.75,360.48,349.9,338.35,0.1575,25900,100,0.98
36,358.43,357.92,358.28,359.09,358.32,360.48,357.96,358.74,360.57,350.08,338.62,0.1575,25900,100,0.98
37,358.41,357.92,358.26,359.06,358.31,360.46,357.95,358.72,360.67,350.25,338.91,0.1575,25900,100,0.98
38,358.38,357.9,358.24,359.03,358.3,360.44,357.94,358.71,360.83,350.51,339.39,0.1575,25900,100,0.98
39,358.37,357.89,358.22,359.01,358.28,360.42,357.94,358.72,360.99,350.79,339.87,0.1575,25900,100,0.98
40,358.35,357.89,358.2,358.99,358.27,360.41,357.94,358.7,361.09,350.98,340.22,0.1575,25900,100,0.98
