seq len,horizon,mae,rmse,r2
20,60,1.9212732315063477,6.531650066375732,0.9108088538050652
20,180,3.5682291984558105,10.923819541931152,0.7779196947813034
20,300,3.87314248085022,10.648089408874512,0.7766498178243637
20,480,4.4236578941345215,10.851372718811035,0.779674768447876
20,600,8.363240242004395,16.442035675048828,0.5308901369571686
20,60,0.6716772317886353,1.2927649021148682,0.9965893323533236
20,180,1.706053614616394,3.202279806137085,0.9796849619597195
20,300,2.229743480682373,2.9671599864959717,0.983030680567026
20,480,1.2744773626327517,2.387197732925415,0.9895292809233068
20,600,3.127178430557251,6.161190032958984,0.932510994374752
20,900,10.279373168945312,20.20736312866211,0.3325573205947876
